1,The Constitution and Governance in Cameroon,2
2,Routledge Studies on Law in Africa,3
2,Series Editor: Makau W. Mutua,3
10,Library of Congress Cataloging-in-Publication Data,5
1,ISBN,5
2,A catalog record has been requested for this book ISBN: 978-1-138-49310-0 (hbk),5
1,Contents,8
2,vill Contents,9
1,List of Abbreviations,10
1,Nigeria,14
2,Law No. 2019/019 of 24 December 2019 on the Promotion of Official Languages in Cameroon,16
3,Table of Legislation,17
4,Introduction,22
1,Notes,28
2,A history of the constitution and governance in Cameroon,29
3,Part I. Background,29
4,ENistory of constitution,30
5,Part II. Colonial governance and administration,30
6,A. The civil law and governance in French Cameroon,30
1,10 History of constitution,31
2,ENstory of constitution 11 B. The common law and governance in British Cameroons,32
3,31 and,32
4,C. The decolonisation process,34
5,I. French Cameroon,34
1,IT. Southern Cameroons,35
2,(a) Do you wish to achieve independence by joining the independent Federation of Nigeria?,36
1,22 Fiistory of constitution,43
2,B. The Glorious Revolution of May Twentieth and the demise of the Westminster model,43
3,C. The return to multi-party democracy,44
1,Conclusion,48
2,Notes,48
1,EN story of constitution,49
1,The Lyttleton Constitution of 1954,50
2,See for instance Resolution 1352(XIV) para 4 Resolution 1608(XV) of 21 April,51
2,ibid 159-164 Stark Federalism in Cameroon n 94 427 See also Rubin n 1,51
1,ENstory of constitution,52
3,References,54
5,Les Camerounais Occidentaux,52
1,Part I. Semi-presidentialism and the structure of the executive,57
2,A. Structure of the executive,57
3,B. Semi-presidentialism and executive power,58
1,Part II. The President,58
2,A. Election,58
1,B. Competencies and powers,60
3,IT. Legislative powers,62
4,IIT. Dissolution powers,63
5,IV. Power to extend or abridge the parliamentary term,64
1,V. Emergency powers,66
2,VIL. Foreign affairs,69
3,C. Accountability,69
4,I. Immunity from prosecution,69
5,accountable for them after the exercise of his functions,70
1,IT. Impeachment,70
2,Part III. The PM and the government,72
3,A. Powers of the PM,72
5,IT. Policy implementation,72
1,Regulatory powers,73
2,Il. The CONAC,76
1,Conclusion,77
3,Notes,78
1,Executive power and semi-presidentialism,79
2,See instance BBC News Paul Biya Cameroon's Absentee President,80
3,Cameroon National Assembly,87
1,Cameroon's Neopatrimonial Dilemma,85
1,A. Structure of the National Electoral Commission,88
2,The electoral system and the legislature I. Role and powers of ELECAM,91
4,Territorial Institution Jurisdiction Membership Responsibilities,94
1,Part II. Election of members of parliament,97
2,A. National Assembly,97
3,B. The Senate,98
4,Table 3.2 Results of legislative elections,100
1,Part IV. Powers and functions of the legislature,105
2,Powers and functions of the legislature,105
3,The legislative domain and law making,105
4,of the house hosting the committee shall take precedence.,103
5,C. The relationship between the National Assembly and Senate,103
1,legislative institution,106
3,B. Scrutiny of the executive,108
4,I. Oral and written questions,109
5,IT. Vote of no confidence and motion of censure,110
3, Commissions of inquiry,112
2, Fiscal oversight,114
1, Democratisation and bicameralism in a one-party dominated state,119
