2,J. Peyton Doub,4
3,Cumulative Impacts in a Biological Assessment............. 129,10
4,Biological Assessment Conclusion ............,10
5,Species Act.,12
10,Author,16
1,Roots of Endangered Species Conservation,18
2,Some Basic Concepts,34
1,Eastern indigo snake,35
2,Species,48
3,the inadequacy of existing regulatory mechanisms; or,75
4,other natural or manmade factors affecting its continued existence”,75
1,Other natural or manmade factors affecting its continued existence,75
2,Provide a global index of the state of change of biodiversity.,85
1,Threatened conservation statuses,85
3,PHOTO 1,90
3,ay,93
1,Related Environmental Statutes and Regulations,94
2,TABLE 4.1,96
3,Topics Commonly Covered in Environmental Impact Statements,98
4,Land use,98
2,visual quality and aesthetics (value) ; and threatened or endangered species habitat (value),107
1,American eagle,109
3,Unlike the better-known and more controversial Clean Water Act Section,118
4,Notes,123
1,Section 7: The Federal Consultation Process,126
2,Availability of relevant data; Frequent and effective communication with experts; and Careful evaluation of possible impacts and how those impacts may be mitigated.,126
3,TABLE 5.1,129
4,(Campanula robinsiae) (E),137
6,way in 2009,137
1,Severity of disturbances,145
2,Historic range,137
4,Is likely to adversely affect (LAA); and Is likely to jeopardize,152
5,Cooley’s water- October 2011 Hernando,137
1,Notes,156
2,Take Permits and Mitigation,158
3,Introductory paragraph,166
4,Compensating for the impact by replacing or providing substitute resources or environments.,174
1,Notes,191
2,Dr,200
3,Notes,221
4,N,221
1,Future of the Endangered Species Act,224
2,Wood Storks Shun Corkscrew Swamp Sanctuary,222
3,Notes,255
1,Index,260
2,Note: CI indicates color insert,260
3,A,260
4,'Obama''s position on ESA',260
5,'Paul''s position on ESA',260
6,'Romney''s position on ESA',260
7,'Santorum''s position on ESA',260
8,'Bacteria',261
9,Bald and Golden Eagle Protection Act,261
10,Manual,264
11,Council on Environmental Quality (CEQ),264
12,County lists,264
1,non-delegation to states,266
4,Fecundity,267
1,E,265
2,Refuge,269
2,Great white shark (Carcharodon carcharias),269
3,General location figures,269
2,Japanese honeysuckle (Lonicera japonica),271
1,Lacey Act of 1900,271
2,loss,273
3,N N,275
4,O,275
5,P,275
2,Qualified surveyors,277
3,Runoff,278
2,Safe Drinking Water Act,278
1,Take amount/extent of anticipated,280
2,Effects of,280
3,Florida definitions,280
4,Terms and conditions,280
5,Take permits,280
