1,Gemma Andreone Editor,3
1,The Future of the Law of the Sea,1
1,Scope and Aim of the Volume,4
3,Chair of the Cost Action IS1105 Gemma Andreone Marsafenet,9
4,Editor,4
5,vi Foreword,6
1,Institute for International Legal Studies of the Italian,9
2,National Research Council,9
3,Peer Review Process,10
4,COST is supported by EU Framework Programme Horizon 2020,11
1,XIV Funding Institutions,12
2,Funding Institutions,12
3,COST Action IS 1105,12
4,Contents,14
5,Part II The National and International Response to Maritime Crimes,15
1,The Right of Innocent Passage,15
2,List of Contributors,16
2,Part I,18
1,Sarra Sefrioui,19
1,Introduction,19
2,Each Maritime Zone Is Measured from Lines Joining Appropriate Points on Land: Baselines,21
3,The Establishment of Baselines Under UNCLOS: Relevant Provisions,21
4,Normal Baselines,22
1,Straight Baselines,23
2,Baselines in Establishing Maritime Limits and in Drawing Maritime Boundary,24
2,Maritime Limits,24
3,Maritime Delimitation,25
2,Baselines Would Naturally Change Because of Sea Level Rise,26
1,When Baselines Shift Landward,26
2,2.3 When Baselines Shift Landward,26
1,When Base Points Are Situated on Disappeared Island and Low-Tide Elevation,27
2,2.3.2 When Base Points Are Situated on Disappeared Island and Low-Tide Elevation,27
1,Potential Responses to Baseline Alteration and Base Point Disappearance,29
2,3 Potential Responses to Baseline Alteration and Base Point Disappearance,29
1,The Practical Implications of the Use of Shifting Baselines,29
2,3.1 The Practical Implications of the Use of Shifting Baselines,29
1,Toward the Preservation of Baselines and Its Practical Implications,32
2,3.2 Toward the Preservation of Baselines and Its Practical Implications,32
1,4 Conclusion,36
2,References,37
3,Origin and Enshrining of Relative Stability,40
4,2 Origin and Enshrining of Relative Stability,40
5,2.1 Origin of Relative Stability,41
6,2.2 Enshrining Relative Stability,43
1,The Nature of Relative Stability,45
2,Future Predictability,45
3,The States as Beneficiaries of Relative Stability,46
4,Allocation Formula Contained in the Derived Legislation,47
5,The Discard Ban,49
1,4.2 The Landing Obligation,51
2,The EU carries out a stock-by-stock management based on TACs (EU) and quotas (MSs),53
3,5 Final Considerations,56
1,References,58
1,The evolution of a discard policy in Europe,58
1,Some Recent Questions Regarding the European Union’s Public Access Fisheries Agreements,58
2,The EC Common Fisheries Policy,58
3,Characterization of fisheries dependence in Galicia (Spain),59
4,The quest for sustainability,58
5,Recent Questions Regarding the European Union’s Public Access Fisheries Agreements,60
1,Introduction,60
2,Public access fisheries agreements,60
3,The European Commission’s Competence to Represent the EU Before the ITLOS,63
4,Final Remarks,75
5,References,76
1,Barnidge R-P (2006) The due diligence principle under international law.,76
2,The Protection of Biodiversity in the Framework of the Common Fisheries,79
3,The Prescriptive Competence of the Coastal Member State: Fishing Vessels Flying Its Flag,86
4,Beyond Art. 11: The Contribution of Other Provisions for the Protection of Marine Biodiversity,91
5,Twelve Nautical Mile Zone: Fishing Vessels Flying the Flag of the Coastal Member State,92
1,Twelve Nautical Mile Zone: Fishing Vessels Flying the Flag of Other Member States,93
2,Concluding Remarks: Balance and Tension Between Exclusive and Shared Competences,98
3,References,99
5,Rosas A (2015) EU External Relations: Exclusive Competence Revisited. Fordham Int Law J 38 (4):1073—1096,100
1,2.1 From Geneva to Montego Bay: A Brief Legislative History,103
1,From Theory to Practice: Implementing the MSR Regime,108
2,Where? The Spatial Dimension,108
1,Which Activities Fall Under MSR? The Functional Dimension,111
1,Who Is Involved? The Unexplored Duty of Cooperation,113
2,3.3,113
1,Conclusion,115
2,Concluding Remarks,115
1,References,116
10,Roach JA (1996) Marine scientific research and the new law of the sea. Ocean Dev Int Law 27 (1-2):59-72 ,116
1,Protecting Arctic Ocean Marine Biodiversity in the Area Beyond National Jurisdiction,118
1,The Arctic Ocean: A Critical Intersection of Competing and Common Interests,121
2,Changing Tides: The Inclusion of Non-Arctic States as Arctic Council Observers,123
2,Heightened Industry-Caused Pressure on Marine Species,124
3,Need for Arctic Marine Protected Areas,125
4,The Arctic Council’s State-Led Pathway for MPA Creation,127
1,Arctic Sanctuary: Demand for an Antarctic Model Treaty,128
2,Looking to the High Arctic: Legal Obligation for MPAs in ABNJs,130
3,United Nations Convention on the Law of the Sea (UNCLOS) Implementing Agreement,131
4,United Nations Convention on Biological Diversity (UNCBD) Additional Protocol,133
5,Conclusion: A Regional Arrangement in Wait of a Formal Legal Framework,136
1,References,136
2,ACIA (2005) Arctic climate impact assessment. ACIA Overview report. Cambridge University Press,136
3,Arctic Council (2009) Arctic Marine Shipping Assessment 2009 Report,136
4,Arctic Council Agreements,137
3,The Environmental Legal Framework for the Development of Blue Energy in Europe,140
1,Arctic opening: opportunity and risk in the high North (Rep.).,137
3,Introduction,140
1,Enrique J. Martinez Pérez,140
1,Introduction,140
2,The Impact of the Law of the Sea: Maritime Safety Issues,141
3,The Integration of Ocean Energy in Maritime Spatial Plans,145
4,Atthe EU Level,146
1,Ina Cross-Border Context: The Obligation of Due Diligence,149
2,4.2 Ina Cross-Border Context: The Obligation of Due Diligence,149
3,6 Marine Environmental Protection,153
4,Marine Environmental Protection,153
5,7 Final Remarks,155
6,References,156
1,Equitable principles of maritime boundary delimitation,156
2,The manufacture and laying of submarine cable,156
3,Introduction,158
3,The Black Sea enjoys enormous importance from a number of standpoints: if we,158
4,The Black Sea and Blue Energy,158
1,3 Sources of Marine Renewable Energies and Adequacy in the Case of the Black Sea,163
2,Kinds of Marine Renewable Energies,163
2,Marine Renewable Energies and the Black Sea,164
1,Conclusion,173
1,References,173
2,Oral N (2013) PSSA for the Black Sea,174
2,Postiglione A (2007) The Mediterranean and black sea ecosystem under discussion,174
2,Vinnyk OM (2013) The public-private partnership agreements: problems of legal regulation,174
1,Introduction,176
1,3.2 In Territorial Waters,185
2,The UN Security Council Resolution,185
2,The Consent of Libya,187
3,Between the Need and the Obligation to Turn into a Rescue Scheme,189
1,The Search for Clarity on the Place of Safety,191
2,On the High Seas,192
3,In the Libyan Territorial Sea,194
2,Concluding Remarks,196
1,References,198
1,Scarpa S (2008) Trafficking in human beings: modern slavery. Oxford Scholarship Online,199
1,Private Maritime Security Contractors and Use of Lethal Force in Maritime Domain,201
4,Right to Self-Defense,208
5,Relevant Maritime-Related National Legislation and Guidelines,209
6,Excessive Self-Defense and Putative Self-Defense,210
1,Assessment of Reasonable Conduct,212
2,IMO Interim Guidance,213
3,3.2.4 Assessment of Reasonable Conduct,212
2,BIMCO Guidance and GUARDCON,214
2,The 100 Series Rules,214
1,Use of Force,215
2,ITAMSP-2011-01-UOF-001 v2.0,215
4,Present and Imminent Attack,216
5,Reasonability and Proportionality vs. Extreme Circumstances,217
6,Conclusion,218
7,References,218
1,What is maritime security?,218
2,Journals and Articles,218
3,Maritime Policy,218
4,Private military contractor liability under the worldwide personal protective service II contract,218
5,Public Contract Law J,218
6,Armed guards on vessels: insurance and liability,219
7,Poredbeno pomorsko pravo,219
9,Insecurity at sea: piracy and other risks to navigation,219
10,Modern piracy: legal challenges and responses,219
11,International maritime security law,220
12,Piracy at sea,220
3,Introduction,221
2,BIMCO (2012a) GUARDCON Standard Contract for the Employment of Security Guards on Vessels (2012),221
2,International Association of Maritime Security Professionals (2011) Use of Force. IAMSP-2011- 01-UOF-001 v2.0,221
1,M. Frostad,223
2,The History of UN Security Council Authorized Maritime Interdictions,224
3,Material Scope,224
4,The Future of the Law of the Sea,223
5,Other Aspects of the Geographical Application of the Libyan Embargo,230
1,2.4 The Authorization to Use Force,232
1,The Reach of the Enforcement Authority Granted in UNSC Res. 2182,235
2,3 Somalia,233
2,3.1 General Aspects,233
3,4 Challenges,237
3,3.2 The Reach of the Enforcement Authority Granted in UNSC Res. 2182,235
1,4.1 General Issues,237
2,4.3 Flag State Consent,239
2,4.4 Detention of Persons,239
2,4.5 Seizure and Disposal,240
1,5 Conclusions,243
1,References,245
2,Journals and Articles,245
3,Books and Chapters,245
1,Introduction,248
2,The Demilitarisation of the Aland Islands,251
3,Scope of the UNSC Resolutions,258
4,Legal Problems with the PSI and the Right of Innocent Passage,260
1,5 Interdictions by Participants in Their Territorial Sea,261
2,5.1 Sovereignty and Jurisdiction of Coastal States,261
3,The Right of Innocent Passage,264
4,5.3 The Territorial Waters of the Aland Islands,268
5,Article 25 of UNCLOS,270
1,Innocent passage may be suspended temporarily for two reasons in particular. Article 25(2) says that,270
2,territorial sea’.””,271
2,Criminal Jurisdiction in the Territorial Sea,271
3,Concluding Observations,275
1,Allen CH (2007) Matitime counterproliferation operations and the rule of law,276
1,Hakapaa K (1988) Uusi kansainvalinen merioikeus,277
2,References,276
1,Yearbook of International Law Commission Volume II (1956),278
3,Case,278
