1,Herausgegeben vom,2
1,Max-Planck-Institut fiir auslandisches und internationales Privatrecht,2
2,Justin Monsenepwo,4
3,The Law Applicable to Security Interests in Intermediated Securities Under OHADA Law,4
1,Summary of Contents ,14
2,Foreword ,12
3,Preface ,8
4,Part I— The Intermediary System in the OHADA Region ,16
1,Chapter 1: The Organisation for the Harmonisation of Business Law,16
2,Chapter 2: Basic Structure and Functioning of the Indirect Holding,17
2,Security Interests in Intermediated Securities under the Geneva Securities CONVENTION,20
3,XVII Contents,19
3,XxX Contents,21
1,Convention into Force (Article 19(1)),26
2,For Subsequent States and REIOs under,26
3,Temporal Scope of Application and Pre-convention Account Agreements and Securities Accounts,26
4,Interaction of the Hague Securities Convention with Securities Law,28
5,Relationship with Public Law,28
6,Diversity of Laws in the Securities Settlement System,28
7,Second Variation: Collateral Provider and Collateral Taker Hold through Different Intermediaries and Collateral Is Provided by way of Pledge,29
8,A Variation on the Fact Pattern,29
9,Solution under Different Conflict of Laws Rules,29
10,General Conclusion,30
1,A. Indicative List of the Travaux Préparatoires for the Financial Collateral Directive,30
2,Financial Collateral Directive,30
3,B. Indicative List of the Travaux Préparatoires for Directive,30
4,Rights in Respect of Securities held with an Intermediary .................. Bibliography,30
5,Tables and Figures,32
6,'Table 1: Chronological Table of the Ratifications of the OHADA',32
1,Intermediaries,32
2,Are Identified in an Intermediary Account with the CSD...,32
3,XXXII Tables and Figures,33
4,Hold through the Same Intermediary and Collateral Is Provided by,33
5,Second Variation: Collateral Provider and Collateral Taker,33
1,CAA CAEMC CCJA CJEU CCP CFA,34
2,Part I,48
3,The Intermediary System in the OHADA Region,48
4,Chapter 1: The Organisation for the Harmonisation of Business Law in Africa,48
5,A. Historical Perspective,48
1,A. Historical Perspective,48
2,Table 1: Chronological Table of the Ratifications of the OHADA Treaty,52
3,B. Purpose of OHADA I. Contribution to Regional Integration in Africa,53
1,Unification in lieu of Harmonisation,56
2,OHADA's Institutional Framework,57
3,II. Facilitating Investments and Improving the Economies of Its Members,54
4,C. OHADA’s Institutional Framework,58
5,The Conference of Heads of State and Government,58
1,I. The Conference of Heads of State and Government,58
2,II. The Council of Ministers I. Composition,58
3,Functioning,59
4,Duties,60
5,Il. The Permanent Secretariat 1. Organisation,60
1,(ii) Finance and accounting; and,60
2,2. Duties,60
1,IV. The Common Court of Justice and Arbitration (CCJA),61
2,I. Composition,61
1,(iii) Law professors with at least fifteen years of academic experience.”,62
1,The CCJA has four main functions,62
2,Functions,62
2,b) Geographical Origins of the Appeals lodged before the CCJA,65
3,Geographical Origins of the Appeals lodged before the CCJA,65
2,Table 2: Geographical Origins of the Appeals Lodged before the CCJA,65
1,N° OHADA Member States |= Number of Appeals Percentage Lodged with the CCJA,65
2,V. The Regional School for Magistrates,67
1,D. Instruments of OHADA,67
2,I. Uniform Acts,67
3,1. Object of the Uniform Acts,67
4,2. The Process of Adopting Uniform Acts,68
5,a) Drafting,68
6,b) Advisory Opinion of the CCJA,69
7,c) Final Adoption,69
1,Exclusion of Legislative Authorities,69
2,Interpretation of Article 10 by the CCJA,72
3,(vi),73
4,The Uniform Act on the Law of Commercial Companies and Economic Interest Groups,73
5,(vii),73
6,The Uniform Act on Contracts of Carriage of Goods by Road,73
1,The text of the conclusions of the OHADA Council of Ministers from Niamey in,76
2,II. Regulations,77
3,Chapter 2: Basic Structure and Functioning of the Indirect Holding System in the OHADA Region,80
4,Issuer Certificate Investor,80
5,Figure 1: Non-intermediated Securities Holding — Physical Certificates,80
1,II. The Intermediated System under OHADA Law,83
4,b) The New Act on the Dematerialisation of Securities under the Law of Cameroon,89
5,(1) Presentation of the New Act on the Dematerialisation of Securities,89
1,The global dematerialisation of securities in Cameroon under Act n°2014/,90
2,Modalities for the Dematerialisation of Securities,90
4,B. Basic Structure of OHADA’s Indirect Holding System Compared to Existing Models of Intermediated Systems,91
5,I. Introduction,91
2,Account Rights Tivestor Trust Interests In Securities ,94
1,V. The Security Entitlement Model,94
2,CSD Intermediary ,95
3,maintains securities accounts on behalf of individual investors,95
2,Investor,95
1,VI. The Contractual Model,95
2,securities Issuer |icscssissicsscieses CSD,96
3,x. CSD ‘. ~*s._ (Intermediary 1),97
4,Securities,99
1,Proprietary Interests Rights Attached to Securities Account Rights,99
2,C. Summary and Evaluation,99
3,Chapter 1: The Pledge of Securities Accounts under the OHADA Uniform Act on Security Interests,102
4,A. Introduction: Relevance of the 2010 Revision of the Uniform Act on Security Interests,102
5,I. Definition of the Pledge of Securities Accounts,103
1,Chapter 1: The Pledge of Securities Accounts,108
2,Table 4: Provisions on Pledges of Securities Accounts under different,108
3,'Elements to identify of the special pledged account.',112
4,The Requirement of a Prior Contract,114
5,D. Basis of the Pledge,114
6,I. The Contents of the Securities Account,114
1,a) Financial Instruments recorded in the Pledged Securities Account,114
2,b) Inalienable Securities,115
4,c) Securities Whose Transfer is Subject to an Approval Clause,116
5,°° Note that such restrictions are subject to the conditions provided in Articles 765-1 to 771-3 of the Uniform Act on Commercial Companies,116
2,Proof of the Content of the Pledged Securities Account,117
3,E. Evolution of the Pledged Securities Account,118
1,I. Introduction,118
3,IT. Inclusion of Products and Benefits deriving from the Pledged Securities Account,119
2,I. Substituted Securities,120
1,F. Right to Use the Intermediated Securities recorded in the Pledged Securities Account,122
2,I. Right of Use,122
3,II. Right of Retention,125
4,'G. Realisation of the Pledge I. Introduction',127
5,'II. Formal Notice',127
1,Chapter 2: Security Interests in Intermediated Securities,134
1,III. Enforcement,129
2,Summary and Evaluation,131
3,Security Interests in Intermediated Securities under the Geneva Securities Convention,134
3,A. Presentation of the Geneva Securities Convention,134
1,A. Presentation of the Geneva Securities Convention,134
2,The Geneva Securities Convention,134
3,IT. Objectives and Guiding Principles of the Geneva Securities Convention,135
4,Current Status of the Geneva Securities Convention,138
5,Scope of Application of Chapter V of the Geneva Securities Convention,139
6,Introduction,139
7,II. Personal Scope,139
1,III. Material Scope,140
2,Types of Collateral,140
3,Recognition of Title Transfer Collateral Agreements,142
4,I. History of the Provision in Article 32 of the Geneva Securities Convention,142
5,II. Analysis of Article 32 of the Geneva Securities Convention,142
1,Analysis of the Enforcement Provision in the Geneva Securities Convention,144
2,Enforcement Provision in the Geneva Securities Convention,144
3,Realisation Methods Article 33 of the Geneva Securities Convention,144
2,Right to Use Collateral Securities under Article 34 of the Geneva Securities Convention,147
1,Geneva Securities Convention,147
3,History of Article 34 of the Geneva Securities Convention,147
2,Analysis of Article 34 of the Geneva Securities Convention,148
3,Use of Collateral Securities Article 34 of the Geneva Securities Convention,148
2,Top-Up or Substitution of Collateral,151
1,Geneva Securities Convention Top-Up Rule in Article 36,151
1,Analysis of Top-Up Rule in Article 36 of the Geneva Securities Convention,151
2,II. Analysis of Top-Up Rule in Article 36 of the Geneva Securities Convention,151
2,Top-Up a) Introduction,151
3,b) The Situation provided in Article 36(1)(a)(i) of the Geneva Securities Convention,152
4,c) The Situation provided in Article 36(1)(a)(ii) of the Geneva Securities Convention,153
1,The Situation provided in Article 36(1)(a)(iti) of the Geneva Securities Convention,154
2,Certain Insolvency Provisions Disapplied,157
2,Summary and Evaluation,159
1,Chapter 3: The EU Legislation on the Collateralisation of Intermediated Securities,160
1,The Collateralisation of Intermediated Securities under the Settlement Finality Directive,161
2,I. History of the Settlement Finality Directive,161
3,II. System and Participants,163
4,covers only limited payment and securities settlement systems and their par-,164
5,Not entered between interoperable systems,164
1,II. Collateral Transaction,166
2,IV. Insolvency Proceedings and Collateral Security,166
3,Collateral Agreements on Intermediated Securities under the Financial Collateral Directive,167
4,Objectives of the Financial Collateral Directive,167
1,II. History of the Financial Collateral Directive,168
2,Preparatory Work,168
4,III. Scope of Application,174
5,Personal Scope,174
6,IV. Formal Requirements and Enforcement,182
7,Right of Use,185
2,Recognition of Title Transfer Financial Collateral Arrangements,187
1,VI. Recognition of Title Transfer Financial Collateral Arrangements,187
3,Recognition of Close-Out Netting Provisions,188
2,VII. Recognition of Close-Out Netting Provisions,188
2,Certain Insolvency Provisions Disapplied,189
2,VII. Certain Insolvency Provisions Disapplied,189
3,Top-Up and Substitutions,190
2,IX. Top-Up and Substitutions,190
1,D. Summary and Evaluation,192
1,Chapter 4: Collateralisation of Intermediated Securities under the Law in the United States,193
2,A. General Overview I. Introduction,193
3,I. Historical Evolution,194
4,a) The 1962 Version of UCC Article §,194
5,b) The 1977 Version of UCC Article §,195
2,(vi),201
4,(vii),201
6,(ix),201
7,c) The 1994 Version of UCC Article §,204
1,A detail history of work long since accomplished.,206
2,b) The 1962 Version of UCC Article 9,207
3,c) The Pre-1972 Official Text and the 1977 Amendments,208
4,d) The 1994 Amendments to UCC Article 9,209
5,e) The 1999 Official Text,209
1,A security; ,211
1,Key Features of the US Indirect Holding System ,215
1,Holder (Investor) ,216
1,Figure 12: Basic Structure of the US Intermediated System,216
2,III. Concept of Security Entitlements,218
3,b) Enforcement of Property Rights against Third Parties,219
5,If the issuer of a financial asset makes a payment or distribution,223
1,Perfection of Security Interests in Investment Property,225
2,C. Perfection of Security Interests in Investment Property I. Introduction,225
3,II. Attachment and Perfection,226
4,(ii) The debtor has rights in the collateral; and (iii) The secured party gives value,226
6,Figure 14: Methods of Obtaining Control of an Uncertificated Security,230
1,Secured party becomes the entitlement holder,230
2,Figure 15: Methods of Obtaining Control of Security Entitlements,230
3,D. Priorities,232
4,Does SP-2 have control?,233
5,Is the debtor an intermediary?,233
1,Figure 16: Priority of Security Interests in Investment Property!,233
2,E. Summary and Evaluation,233
3,Conflict of Laws Analysis,236
4,Chapter 1: The /ex rei sitae (lex cartae sitae) Rule in the OHADA Region,236
5,A. General Overview of OHADA’s Private International Law,236
1,I. Lesser Importance of Conflict of Laws Issues in OHADA’s Legislative Agenda,236
2,II. Scarce Conflict of Laws Rules under OHADA Law®,238
3,III. Lack of Conflict of Laws Provisions regarding Intermediated Securities at the OHADA Level,240
1,I. The lex rei sitae Rule under the Laws of the OHADA Member States,241
2,II. Rejection of the lex rei sitae Rule and the “Look-Through Approach””,245
1,Assume Paping SA is incorporated in Porto-Novo (Benin).,247
2,Chapter 2: The Place of the Relevant Intermediary Approach,250
3,The Place of the Relevant Intermediary Approach under European Law,250
4,Analysis of the EU PRIMA Rule I. Contents of the EU PRIMA Rule,250
5,(iii) Article 24 of the Winding-up Directive,251
1,II. Illustrations of How PRIMA Operates,253
2,II. Unclear Location of Securities Accounts under PRIMA,263
2,III. Uncertainty as to the Relevant Account under PRIMA,266
3,(iii) The account of the collateral provider.,267
3,IV. Uncertainty as to How Many Laws Apply in the Holding Chain under PRIMA,267
1,V. Renvoi,267
2,VI. The Location of the Securities Account and European Discussions regarding the Hague Securities Convention,268
4,during the process of negotiating the Hague Securities Convention,274
5,'C. Summary and Evaluation',276
1,Chapter 3: Conflict of Laws Rules under the Uniform Commercial Code,278
2,Chapter 3: Conflict of Laws Rules for Intermediated Securities under the Uniform Commercial Code,278
2,A. Conflict of Laws Issues under UCC Article 8 I. Introduction,278
3,II. Issues governed by the Applicable Law,278
