1,The Regulation of Megabanks,2
1,Global Financial Crisis (GFC),2
2,Vulnerable Consumers and Fair Access to Financial Services Present and Future Challenges,3
3,Edited by Catalin Gabriel Stanescu and Asress Adimi Gikay,3
1,Routledge Research in Finance and Banking Law,3
2,Present and Future Challenges,3
1,Contents,8
2,Acknowledgments,8
2,List of abbreviations,8
2,Introduction,8
2,International level,10
1,Acknowledgments,12
2,Acknowledgments,13
1,Abbreviations,14
2,Context and rationale,16
3,Introduction,17
1,Evaluation of the effects of too-big-to-fail reforms. Final Report,17
1,Bibliography,24
2,G-SIBs in the USA and in the EU,26
4,General shift from traditional banking business,27
5,Traditional banking and change-driving forces,28
1,Modern activities of banks ,33
2,Modern ways of funding ,35
2,Risks of modern banking ,36
2,Modern banking business models ,38
3,Rise of the G-SIBs — differences at the outset ,39
1,G-SIBs as an un-uniform group — differences now,40
2,Combining and expanding G-SIBs in the USA and in the EU,40
3,An un-uniform group,44
4,Growth,41
5,'1.2.1 Combining and expanding',40
1,Activities,44
2,Funding,47
3,Risks,48
4,Legal structure,52
5,Ownership,54
1,Attempts at business model classification,56
2,Challenges and opportunities facing G-SIBs — differences in the future?,59
3,Big Tech,59
4,Green revolution,62
1,By the end of the 20th century the process of banking transformation from simple deposit-taking and lending into comprehensive financial services was practically completed.,67
3,Natural Disasters and Bank Stability: Evidence from the,78
1,2 G-SIBs and the Global Financial Crisis,81
2,Regulation before the GFC: Regulatory loopholes and generalization,81
3,Non-existent regulation,82
4,Overly general regulation,85
5,Lack of supervisory discretion,87
1,2.2 G-SIBs’ adjustments to the general rules,89
2,2.2.1 Size of assets,89
2,Size cannot be treated as an accurate indicator of financial health (or illness),90
3,Losses and write-downs in relation to mortgage-backed assets,94
1,Securitization,101
2,Liquidity supplementation,100
2,Origination,102
1,Underwriting,103
2,Contagion,105
3,Authorities awaken,108
4,Ad-hoc help,108
5,G-SIBs' redemption,111
1,Regulatory resolutions,112
1,Summary,112
2,Bibliography,114
2,Too Interconnected to Fail” Financial Network of US CDS Market: Topological Fragility and Systemic Risk,116
2,Regulation of G-SIBs in the USA and the EU,118
4,Institutional supervisory framework,119
5,International level,119
1,“Dynamic Precaution” in Maintaining Financial Stability. The Importance of FSOC,121
2,3.1.2.1 USA,121
2,3.2 Designation,124
3,3.2.1 International level,124
2,3.1.2.2 EU,122
1,Assessment Methodology and the Higher Loss Absorbency Requirement,124
2,New Details on Global Systemically Important Banks',124
3,Network-sensitive Financial Regulation,126
4,A Primer on Systemic Risk,126
6,Table 3.1 Indicators and sub-indicators from the BCBS G-SIB Methodology 2018,128
1,Indicators Sub-indicators Weighting,128
2,3.2.2 Regional level,131
3,3.2.2.1 USA,131
4,3.2.2.2 EU,132
5,3.3. G-SIB capital buffer,135
1,International level,135
2,Regional level,138
3,USA,138
4,Table Brief comparison of US G-SIB buffer calculation methods,138
5,Method 1 Method 2,138
1,General Leverage Ratio Requirement,142
2,Minimum Leverage Ratio Requirement,142
4,USA Leverage Ratio Requirement,143
5,EU Leverage Ratio Requirement,145
1,Large exposure limit ,145
2,Risk-based G-SIB surcharge and the G-SIB leverage ratio buffer ,145
3,Regional level ,147
4,USA ,147
5,EU ,147
1,Resolution of G-SIBs and TLAC,148
2,3.6 Resolution of G-SIBs and TLAC,148
3,International level,148
4,3.6.1 International level,148
5,Regional level,151
6,3.6.2 Regional level,151
7,USA,154
8,3.6.2.1 USA,154
9,EU,154
10,3.6.2.2 EU,154
1,3.7 Pillar 2 powers,158
2,3.7.1 International level,158
2,3.7.2 Regional level,160
3,3.7.2.1 USA,160
3,3.7.2.2 EU,163
2,3.8 Summary,166
1,The Global Financial Crisis,166
1,Summary of G-SIBs,166
2,An overly general approach,166
2,Specific features of G-SIBs,166
2,Systemic importance of G-SIBs,166
3,joubly juojsoduy,167
4,Ayjooiuaysag SSadppY 0} Sainspayy AoOg “{SA) asd,167
2,duo (OD Tel ‘Vv — (uonososip uOTBOOT[e JONG WOT PoAliop),171
3,(O\B)LL 7ST § UAO TI  — S[OA9] JOU ‘suUOT}dUDXa JO SUID} UT],171
2,quowionber [euontppe Aue ouruniajop 0} UOT}OIOSIp AJOSTAJOdns 1991,172
3,UU 8I “LT “HV — ernyysoarp 0} dn “AUIQVA[OSAI 0} syudtUIpodul Suronpos SoINSKoU dye} 0} AWWUS Ue oIMbo1,172
1,Macroeconomic Assessment Group. Assessment of the Macroeconomic Impact of Higher Loss Absorbency for Globally Systemically Important Banks,179
2,Loss Absorbency for Globally Systemically Important Banks,179
6,4 G-SIBs and supervisory discretion,181
1,G-SIBs and supervisory discretion,182
2,4.1 General theory behind supervisory discretion,182
3,Discretion as a double-edged sword,183
5,nn,184
6,4.1.3 Behavioral aspects of discretion,184
7,'Credit Rating Agency Downgrades and the Eurozone Sovereign Debt Crises',184
1,4.2 Supervisory discretion to adjust regulation on G-SIBs,185
2,4.2.1 Positive potential of supervisory discretion,185
3,Breaking up the big banks,187
1,Federal Reserve provides additional information to financial institutions on how,192
2,Federal Reserve Board releases results of stress tests for 2020 and additional,192
3,Greener path,194
5,International level,196
1,Table 4.1 Supervisory judgment in the FSB/BCBS G-SIB designation process,197
2,Year of Allocations/designations based on Overall allocations/designations publication supervisory judgment,197
1,Regional level,198
2,USA,198
3,Table 4.2 Results of the CCAR exercise,200
1,Year Objections Number of all firms undergoing,200
2,Quantitative Qualitative Regarding Regarding US G-SIBs US firms of,200
3,4.2.2.2.2 EU,201
4,Table 4.3 Supervisory judgment exercised in the aspect of G-SH designation,202
1,Table 4.4 Changes in Pillar 2 Requirement for EU G-SIBs,204
2,en Deutsche BNP BPCE Crédit Société Banco UniCredit ING : Bank Paribas Agricole Générale Santander,204
3,2016 2.75% 1.25% 1.5% 1.5% 1.5% 1.5% 2.5% 1.75%,204
4,4.2.3 Obstacles for the application of supervisory discretion,205
5,Uncertainty,205
1,Table of Entities involved in supervisory discretion proceedings,207
2,Arbitrariness,209
3,Regulatory capture,209
2,How to make supervisory discretion work,211
1,4.2.4.2 Choice architecture and system of guidelines,214
2,4.2.4.3 Concept of ultimate decision maker,217
2,4.2.4.4 Transparency,219
2,4.2.4.5 Independent checks,219
1,4.3 Summary,221
1,Concluding remarks,223
2,Perspectives beyond G-SIBs,235
3,Bibliography,223
4,'Exile on Wall Street: One Analyst’s Fight to Save the Big Banks from Themselves',228
5,'Understanding Regulatory Capture: An Academic Perspective from the United States',223
4,Perspectives beyond the USA and EU,237
1,an,237
2,Bibliography,238
3,Index,240
