1,Acknowledgment,5
1,Abstract,9
2,Introduction,10
1,Agenda 21 (1992),22
1,Convention on Biological Diversity (1993),22
1,UN Framework Convention on Climate Change (1994),23
2,Responsibility for Vulnerable Countries,24
3,Push Factors,24
1,Expert Group on Transfer of Technology,25
2,Bali Action Plan and Technology Transfer,25
3,Ad Hoc Working Group on Long-term Cooperative Action,25
4,UN Convention to Combat Desertification (1996),27
5,Kyoto Protocol (1997),27
1,A. Role of Patent Law ,34
2,TRIPS Article 27(2) and Ordre Public ,34
1,Exceptions to Rights under TRIPS Article 30 ,28
2,Compulsory Licensing under TRIPS and Beyond ,30
1,For Public Health ,30
3,? of an invention without the approval ofa right-holder upon authorization from the government. ,30
2,b) For Climate Change? ,31
1,2. Business Method Patents: Bilski and Carbon Trading Inventions,37
2,3. Novelty and ‘Green’ Indication of a Known Substance,39
2,4. Non-obviousness: KSR and Green Technology,40
2,5. ‘Greenness’ and Utility Requirements,41
1,B. Role of Patent Policy,42
1,Activities by WIPO and Patent Offices ,43
2,Patent Cooperation Treaty ,43
2,Patent Classification: Catchword Index for Environmentally Sound Technology ,44
3,WIPO Development Agenda and Climate Change ,44
3,Fast-tracking Services (1) UK Intellectual Property Office: Green Channel ,45
1,USPTO: Green Technology Pilot Program,46
2,Preferential Treatment for Patenting Green Inventions,46
3,Benefits of Early Patenting,46
1,Non-discrimination under TRIPS Article 27(1),48
2,Alternative: Verifying ‘Greenness’ Independent from Patent Grant,50
1,Information Services,50
2,Patents and Clean Energy Project,51
3,(2) Opportunities Provided by Patent Information,52
1,Souspuodsa.09,56
2,V. Green Technology Transfer and IP,58
3,Decision-making processes at the domestic level and those at the international lev- el.,58
4,Japan Intellectual Property Association Proposal,59
5,Open Innovation: GreenXchange,60
1,B. IP Issues in Green Technology Transfer,61
2,1. Effects of Non-assertion Commitments,61
3,2. IP Ownership in R&D Collaboration,62
4,3. Financing Innovation and Patenting Costs,63
5,2. Patent Law and Practices,68
1,B. Standardization and Patent Pooling 1. Green Technology Standards and Patent Pools,69
2,Green Technology Standards and IP Policies,71
3,The Unocal Case: Abuse in Law of Environmental Standards,70
1,List of Works Cited,80
2,Why Business Method Patents?,80
1,JPO and Jeo ANNUAL Report,85
2,UKIPO Green Channel for Patent Applications,86
3,Report of the 17th Session WIPO,88
4,WIPO Expert Determination,88
2,Press Release,89
5,Cleantech Definition: Clean is More Than Green,90
6,Eco-Patent Commons Responds to Critics,90
