1,About the Author,3
2,About CALI eLangdell Press,3
1,Preface,6
3,Notices,4
10,iv,4
1,Deborah A. Geier,9
2,Professor of Law Cleveland-Marshall College of Law Cleveland State University,9
3,Unit II: Two Types of Gross Income: Compensation and Residual Gross Income,12
4,COMMISSIONER v. KOWALSKI,13
5,Table of Contents,10
1,Excerpt from Defining Income by Alice G. Abreu & Richard K. Greenstein,13
2,Unit III: The Possibilities for Income Shifting Introduction to Chapters 7 through 9,13
3,HELVERING v. CLIFFORD,15
4,Income splitting USING A NONGTANTOL CrUSE,15
5,Chapter 9: Income Shifting in the Fractured Family,15
6,Unit IV: Everything You Ever Wanted To Know About Debt but Were Afraid To Ask,15
7,Borrowing and Lending,16
8,A. The basic rules of the road,16
9,NORTH AMERICAN OIL CONSOLIDATED v. BURNET,16
10,A. The purchase of property with borrowed money—the front-end rule in Crane,16
1,The transfer of property subject to debt—the back-end rule,16
2,Reduction of property debt without a property transfer,17
3,Depreciation and Amortization in a Realization-Based Income Tax,17
4,Planning possibilities regarding the timing of realized capital gains and losses,18
1,C. The meaning of “capital asset” and “sale or exchange”,18
2,§ 1231 BAINS ANA LOSSES,19
5,Unit VII: The Taxable Year and Methods of Accounting,22
1,Deferred compensation,23
2,the economic benefit doctrine,23
3,Rabbi trusts,23
4,§ 409A,23
5,Introduction,24
6,The legislative branch,26
7,The executive branch,26
8,Tax procedure overview,32
1,This is a tax case. Deny,35
2,The Core Structures of Income and Consumption Taxation and Tax Policy,37
2,Chapter 1: The Essential Structure of the Income Tax,39
3,Essential Structure of the Income Tax Chapter 1,40
2,Gross Income (wealth increases) Less Deductions (certain wealth reductions),41
1,Taxable Income (the tax base—what is ultimately taxed),41
2,Gross Income (wealth increases: exclusion available?) Less Deductions (certain wealth reductions),43
3,Deductions (part 1): nondeductible “capital expenditures” vs. potentially deductible “expenses,43
4,Table A: Compound Interest,46
1,Amount to Which $1 Now Will Grow by End of Specified Year at Compounded Interest,46
2,Year 3% 4% 5% 6% 7% 8% 10% 12% 15%,46
3,Present Value What $1 at End of Specified Future Year Is Worth Today,47
4,Table B:,47
1,Deductions (part 2): which “expenses” are deductible and why?,51
3,Deductions (part 3): § 1001 “loss” (and more on normative income tax theory),54
4,Deductions (part 4): depreciation,55
5,§ 1016 basis adjustments,56
1,A brief introduction to the concept of “capital” gains and losses,57
2,Problems,61
4,2016 Table for Unmarried Individuals,63
5,Equals Adjusted Gross,64
1,§ 62 above-the-line deductions,65
2,Personal and dependent exemption deductions,66
2,Standard deduction versus itemized deductions,66
1,Because Joan and Jim are not itemizing their deductions but rather taking the Standard,67
2,§ 68: the partial phase-out of itemized deductions,68
3,§ 67: the 2% floor under “miscellaneous itemized deductions”,68
4,Alternative minimum tax,69
5,Among the most important deductions that are allowed for regular tax purposes but denied for,69
1,Nonemployee: Above the Line,70
2,Above the line,71
3,Child tax credit and earned income tax credit,71
2,Percent,74
1,Adjusted Gross Income,76
3,Problems,77
4,What is Daphne’s and David’s marginal tax rate? Their effective tax rate (using AGI)?,77
5,Chapter 2: Consumption Taxation and Our Hybrid Income/Consumption Tax,78
1,Chapter 2 Consumption Taxation,79
2,A retail sales tax,79
2,A value added tax,79
3,Example: Assume that the VAT rate is 5%,79
