1,UN Human Rights Institutions and the Environment,4
2,Developing States,2
3,a critical analysis of the potential fragmentation and cross-fertilization in this emerging field”,2
2,Manuel Vallée Addicted to Growth,5
4,ISBN: 978-0-367-65310-1 (hbk) ISBN: 978-0-367-65313-2 (pbk) ISBN: 978-1-003-12884-7 (ebk),7
5,DOT: 10.4324/9781003128847,7
6,Typeset in Goudy by codeMantra,7
1,Foreword,10
2,Abbreviations,10
1,PART II Charter-Based Mechanisms,11
3,Conclusion,14
1,Foreword,16
1,Acknowledgments,18
3,International Cases and Complaints to Human Rights Treaty Bodies,22
4,GC GHGs GPBHR GR HEPA,20
1,Table of Treaties and Other Instruments,24
1,1945 United Nations Charter,24
2,Universal Declaration of Human Rights,24
2,United Nations General Assembly Resolution 2200A (XXI),24
3,International Convention on the Elimination of All Forms of Racial Discrimination,24
3,General Assembly resolution 2200A (XXI),24
2,General Assembly resolution 2200A (XXI),24
1,Convention on the Elimination of All Forms of Discrimination Against Women,25
2,United Nations General Assembly Resolution 2200A (XXI),25
1,Rio Declaration on Environment and Development,25
2,Convention on Biological Diversity,25
3,UN Guiding Principles on Internal Displacement,25
4,adopted June 25 1998,26
5,UNESCO Universal Declaration on Cultural Diversity,26
6,(International Centre of Comparative Environmental Law),27
7,Framework Principles on Human Rights and the Environment,27
1,Institutions and the Environment,30
2,Framing the Issues,30
3,Introduction,30
4,1.2 Environmental Issues Covered,33
1,Climate Change,33
1,Sustainable Development and Sustainable Development Goals,34
3,Methodology,35
1,Outline of the book and overview of chapters,35
1,Notes,38
1,UNGa Transforming our World Agenda 2030 for Sustainable Development (2015) A/ UN Paris Agreement (2015),41
2,Introduction,42
2,An Overview of International Human Rights Law,42
3,2.2 An Overview of International Human Rights Law,42
3,2.1 Introduction,42
3,International Bill of Rights,44
1,Typology of Rights,44
1,An Overview of Human Rights Institutions,45
2,Treaty-Based Mechanisms,45
3,Charter-Based Mechanisms,46
4,Office of the High Commissioner for Human Rights,47
1,2.4 Rights Affected by Environmental Degradation,47
2,2.4.1 Right to Life,48
2,2.4.2 Right to Health,48
1,2.5 Specialized Treaties on Vulnerable Groups,50
1,Emergence of Environmental Rights and the Right to a Healthy Environment,50
2,Articulation of Environmental Rights,51
3,Developments at the UN: The Creation of Special Mandates,53
4,Other Global Efforts to Recognize Environmental Rights,54
5,Draft International Covenant on the Human Right to the Environment,54
1,Global Pact for the Environment,54
2,Regional Developments,55
3,Developments at the National Level,56
4,Conclusion,57
5,Notes,57
1,Commissioner for Human,58
1,References,62
1,3. Human Rights Council,68
2,3.1 Introduction and Mandate,68
1,Introduction and Mandate of HRC,68
2,3.1.1 Introduction and Mandate,68
2,3.1.2 Universal Periodic Review and Working Group Recommendations,69
1,3.1.2 Universal Periodic Review and Working Group Recommendations,69
2,3.1.2.1 Environmental Protection,70
2,3.1.2.2 Climate Change,72
1,Indigenous Rights,76
2,UN Human Rights Council and OHCHR,78
3,Resolutions of the HRC,78
4,Environmental Protection/Degradation,78
5,Climate Change,80
1,Sustainable Development and SDGs,81
2,UN Human Rights Council and OHCHR — 55,82
3,Office of the High Commissioner for Human Rights,82
4,Environmental Protection/Degradation,82
5,Climate Change,83
1,3.2.3 Sustainable Development and SDGs,87
2,Conclusion,89
2,Notes,90
2,References,97
1,Mandate Holders,102
1,4.1 Introduction,102
2,Appointment of a Special Rapporteur on Human Rights and the Environment,102
3,Independent Expert on Human Rights and the Environment,105
2,Special Rapporteur on Human Rights and Environment,106
1,Comprehensive Multilateral Treaty with General Application Governing Disasters,107
2,Framework Principles on Human Rights and Environment,107
2,Special Rapporteur on Cultural Rights,113
3,Right to Food,116
2,Extreme Poverty and Human Rights,122
1,4.9 The Working Group on Human Rights and Transnational Corporations and Other Business Enterprises,124
3,4.11 Special Rapporteur on Indigenous Peoples,127
1,multiple violations of the collective and individual human rights of indige- nous peoples.!©,129
2,4.12 Special Rapporteur on Climate Change and Human Rights,130
1,4.14 Conclusion,132
2,Notes,132
3,See Chapter 5,134
10,https://www.ohchr.org/en/specialprocedures/sr-climate-change#,139
1,References,140
1,Special Rapporteur on climate change (2022),142
2,5.1 Introduction and Mandate,146
3,5.2 General Comments,147
1,Climate Change,151
2,Indigenous Peoples,152
3,Individual Communications,154
2,Conclusion,164
1,Notes,165
2,6.1 Introduction,174
3,6.2 General Comments,175
4,'Right to Life (replaced by GC No 36)',168
5,References,170
2,Concluding Observations,181
3,Climate Change,181
4,rights obligations as a primary consideration in its natural resource exploita- tion and export policies.,182
1,Sustainable Development and Sustainable Development Goals,194
2,Pledge to leave no one behind (E/C.12/2019/1),195
2,Indigenous Rights,195
3,account”?,197
2,Human Rights Defenders,199
2,Notes,201
3,See Section 6.3.4,203
3,See Section 6.3.3,203
1,The Committee referred to inadequate and heavily polluted living condition in the,207
1,Sustainable Development and SDGs,220
3,Climate Change,221
4,Concluding Observations,226
5,Climate Change,226
1,7.3 Sustainable Development Goals,233
2,7.3.2 Environmental Pollution,234
2,7.3.4 Renewable Energy,237
2,7.3.5 Women Human Rights Defenders,238
1,7.4 Conclusion,238
1,Notes,239
1,References,248
2,Committee on the Rights of the Child,254
1,Similar comments were made on the report of Australia,268
3,to ensure that Australian companies and their subsidiaries are held legally accountable for violations of children’s rights including environmental health and establish mechanisms to investigate and redress; and recommended in almost,268
1,views be enforced!,273
1,Notes,280
1,References,290
5,Notes,313
1,References,320
3,Notes,330
4,Index,332
1,pygmy communities,343
2,reparations,343
3,respiratory diseases,343
4,rights-based approach to governance,344
