1,Kastom and state justice systems in Vanuatu,3
2,A BIRD THAT FLIES WITH TWO WINGS,1
2,Miranda Forsyth,3
3,Foreword,11
1,A Bird that Flies with Two Wings,12
3,xii,12
1,ENDNOTES,14
1,Prologue,15
2,A Bird that Flies with Two Wings,16
3,ENDNOTES,19
2,‘lgat fulap rod blong hen’,21
2,Brief history of Vanuatu,21
1,Forces from Papua New Guinea and Pluralities in Vanuatu,22
2,Place,22
3,Islandism,23
4,The urban-rural divide: which one is the ‘easy life’?,24
1,Land,27
2,time soon’.,27
3,Language,28
4,country in the world.°8,28
1,Politics,29
2,shift in power in parliament can initiate a complete reorganisation of ruling coalitions.,30
1,Religion and denomination,31
2,Missionaries arrived in Vanuatu in the nineteenth century and today more than,31
3,90 per cent of the population is Christian. The churches play a central role in most communities and are involved in many aspects of peoples’ lives—from education to sports training and counselling to dispute settlement.,31
2,hemi mixup [these two things are interwoven],32
1,Gender,33
3,and hold the majority of positions of power.,33
4,Age,36
2,which had as one of its five main objectives to ‘identify the strategy and mechanisms needed to develop and provide an alternative system which effectively negotiates and incorporates kastom and western legal conceptions of justice to respond in a positive way to the situation of young offenders in,38
1,Conclusion,39
1,The positivist approach,50
2,General principles Questions of how to deal with a plurality of legal systems first came to the fore,50
1,Positivism in Melanesia,50
2,The legal anthropological approach,52
3,The Cheyenne Way and Norms Study,54
3,Social Control Theory in Legal Anthropology,55
2,The legal pluralist approach,56
1,General principles,56
3,Theoretical issues,58
4,What's in a name?,58
5,individual or possessing the socially recognised privilege of so acting’,59
1,sources of information most readily available,60
2,social groups treat as law.,61
1,Is state law fundamentally different to non-state law?,61
2,more difficult to establish what this implies’!,61
2,proliferation of the nation state’ 17°,62
1,Is it possible to have a situation of legal pluralism within a state system?,62
2,The possibilities of legal pluralism,63
3,social forms that support it’ 132,62
4,assume. 31,62
5,forms’ .1°°,65
1,The current limitations of legal pluralism,66
2,normative regimes between different legal systems.,66
3,legitimacy of the State.171 They explain that,67
4,Using legal pluralism as a normative tool,68
1,Conclusion,72
2,ENDNOTES,72
3,Leadership structures and conflict management in the nineteenth century and early twentieth century,81
1,Leadership structures,82
2,The graded system,82
3,Hereditary/mixed systems,83
1,Maintenance of law and order and conflict-management mechanisms,85
2,Leadership structures and conflict-management mechanisms during the Condominium,88
3,Pre-contact warfare and introduction of guns,86
4,Extinction narratives in societies accustomed to war,86
5,Social control through black magic,87
1,Christianisation of society,89
2,Leadership systems,89
3,Maintenance of law and order and conflict-management mechanisms,91
4,kinship by the economic pressures of a cash and wage economy,91
1,Leadership structures and conflict management post-independence,95
2,Kastom and the ‘invention of tradition’,95
3,power.,94
4,in terms of the finding—rather than negotiating—of consensus”,94
1,What is kastom?,96
2,Kastom as ‘invention’?,97
3,‘ancustomary’ attitude towards cultural differentiation’,98
4,fixed truths rather than to fluid and dynamic representations of culture,98
2,The significance of kastom as invention,99
1,Leadership structures in Vanuatu today,100
2,Conflict management,101
3,Conclusion,103
4,Neutralize subaltern voices and perspectives’,99
1,Conflict Management in Anthropology,105
2,ENDNOTES,105
3,Diversity of Indigenous Legal Systems in Vanuatu,115
4,Critique of the Term 'System' for Kastom System,116
5,Perception of Kastom System by Its Administrators,116
1,The pervasiveness of the kastom system,117
2,Diversity in conflict management,118
3,The people in charge of the management of the conflict,119
4,Who attends?,120
5,Who speaks?,120
1,The restorative nature of the kastom system,125
2,How is a decision reached?,121
3,After the meeting,125
1,Privileging the community over individuals,128
2,Kastom procedures and kastom law,130
3,The dynamism of the kastom system,131
4,It will make it easier to judge conflicts,132
5,It will harmonise the different rates of penalty among the different villages/throughout the province,132
1,Challenges for the kastom system today,133
2,Too many chiefs,134
2,Respek hemi lus (Respect has been lost),135
3,Problems of enforcement of kastom payments,136
3,the norm and many people left the village fearing for their safety,135
2,Problems of people attending meetings,137
2,Chiefly misbehaviour,137
3,Lack of disciplinary mechanisms,138
2,Chiefs and modern society,139
1,Table 4.1 Problems within the kastom system,140
1,Widespread support for the continuation of the kKastom system,140
2,Women and the kastom system,141
3,We had a case where there was a woman who had left her husband about,142
2,Youth and the kastom system,144
1,Conclusion,146
1,ENDNOTES,147
1,The courts,159
3,The current condition of the court system,160
4,A third problem is the delays in the system.,161
5,The relationship between the courts and the kastom system,162
1,The relationship between customary law and state law,162
3,to encourage the use of customary law.,165
4,comprehensive manner.*’,167
5,The relationship between the kastom system and the court system,168
1,The Vanuatu Police Force,170
2,The condition of the police today,170
3,The relationship between the police and the kastom system,172
4,Ways the police assist the kastom system,174
2,Views of stakeholders about the relationship,169
1,Ways the kastom system assists the police,175
2,View of stakeholders about the relationship,175
3,The prisons,177
4,Vanuatu’ .!?3,179
5,The Public Prosecutor and the Public Solicitor,180
1,The condition of the prosecution and Public Solicitor,180
2,of prosecution’ 137,180
3,The relationship between the prosecution and the Public Solicitor with the kastom system,181
4,The Malvatumauri,182
5,Conclusion,184
1,Problems with Legal Systems,186
2,Table 5.1 Problems with the state system,186
3,The facts of the case study,196
4,Problems within the two systems demonstrated by the case study,200
5,Problems within the state system,200
1,Problems within the kastom system,202
2,Problems with the relationship between the two systems,202
3,Uncertainty about where the conflict should be dealt with puts complainants in a vulnerable situation,202
4,Dispute and confusion over jurisdiction,203
5,station they were advised to ‘solve the matter according to the traditional way’,205
1,The problem of which system should deal with a case first,206
2,The problems with the kastom system dealing with a matter first,206
2,The problems with the state system dealing with a matter first,208
3,Table 6.1 Temporal ordering problems,209
2,The problem of ‘double jeopardy’,209
1,The operation of the state system creates feelings of disempowerment among the chiefs,210
2,The state system hinders the operation of the kastom system,210
3,Direct hindering of the kastom system by the state system,210
4,overturned by the courts’ .4?,211
5,Indirect hindering of the kastom system by the state system,212
1,The existence of the kastom system hinders the operation of the state system,214
2,Another way the kastom system is indirectly hindered by the state system,213
3,Conclusion,215
4,Table 6.2 Four classes of problems flowing from unrestricted forum shopping,217
5,ENDNOTES,217
1,A framework for analysing different types of relationship between non-state and state justice systems,222
2,A typology of relationships between state and non-state justice systems,223
3,Model 1: Repression of a non-state justice system by the state system,226
1,Democracy and International Human Rights,227
2,Significant Features,228
3,Table 7.3,230
2,An Example of Jurisdiction with This Model: The Samoan Village ‘Fono’,231
1,Should the non-state justice system be funded in any way by the State?,233
5,What should the geographical boundary of the non-state justice system be?,233
2,Table 7.4,234
1,Significant features,234
1,Model 5: Formal recognition of exclusive jurisdiction in a defined area,234
2,‘parallel justice systems’ ’°,234
3,of a unified body of positive law.”8!,235
4,option for Nigeria.®”,236
5,Table 7.5,237
1,Significant features,245
2,corruption. tal,244
3,curtailed.!2?,244
4,its distinctive communal nature” .!73,244
5,down in customary courts.!2°,244
1,Mutual adaptations/innovations by state and non-state systems,245
2,Advantages,245
2,Disadvantages,245
3,Sharing of procedures,248
4,State,246
5,Customary justice system  Mutual learning,246
1,Changes to State System Procedures,248
2,Creation of Hybrid Institutions,248
3,Courts' Issues,248
2,Adoption of a Less Adversarial Approach,249
3,Legal Systems Comparison,249
2,Reform the Laws of Evidence,250
1,Introduction of good management initiatives,250
2,Changes the customary justice system could make to its procedures,250
1,Awareness programs about different types of decision-making procedures,252
1,Use of human rights principles,253
3,Use of key players/institutions from the other system,255
4,Use by the state system Use of chiefs/traditional leaders in state courts,255
5,Referral of issues/cases to customary justice systems,256
1,Involve traditional leaders in judicial appointment committees,256
2,Use of key players by the customary justice system,257
4,Degree of articulation between formal and informal fields of justice,257
1,Step 1: Analyse the operation of the state and non-state systems,270
2,Referral of cases to the state system,257
2,Involve a member of the state judiciary in the customary justice system,258
3,Consider the aims of the overall justice system,271
4,Examine the current positive and problematic features in the relationship between the systems,273
1,The operation of the state system disempowers and demoralises chiefs,274
2,Step 4: Consider the applicability of the different models of relationship to this context,275
2,Internal adaptations,277
3,The state system,277
3,The kastom system,277
1,Recognition,278
2,State recognition of the kastom system,278
3,Kastom system recognition of the state system,279
1,Regulation,279
2,State regulation of the kastom system,279
1,Kastom system regulation of the State,280
2,Step 6: Develop a method of progressive implementation and evaluation of changes,281
2,Step 7: Revise the model pluralist method,282
2,Conclusion: doing legal pluralism,282
1,Bibliography,287
1,Legal cases,316
5,Vanuatu,316
