1,Restorative Justice in the Pacific Islands,3
2,Edited by Sinclair Dinnen with Anita Jowitt and Tess Newton,3
3,a kind of mending,1
4,re-inventing the cultural wheel: re-conceptualising restorative justice and peace building in ethnically divided fiji,8
1,Acknowledgements,9
2,List of Abbreviations,10
3,An Introduction,15
1,About the Conference,15
3,Order Without State,21
3,Differentiated legal system.,22
2,Colonial Interludes,23
1,Post-independence Law and Order,26
2,What the Chapters say,36
3,Conclusions,45
4,peace to communities’,35
1,Restorative Justice,49
3,Reflections on Violence in Melanesia,47
5,Endnotes,57
6,constructed identity and recalcitrant youth in a Papua New Guinea village,59
7,Acknowledgement,46
1,Introduction,59
2,The history of Pari village,61
3,The construction of Pari’s modern identity,68
4,Negotiating profane modern sociality,72
1,The age of steam,75
2,Conclusions,81
3,Endnotes,82
4,Braithwaite 1999: p 6,82
1,Tribal Warfare and Transformative Justice in the New Guinea Highlands,87
2,Introduction,87
3,The Most Striking Feature of Warfare Throughout the Kompiama and Wider Enga Area,90
1,Warfare and exchange in the Ku Waru area,90
2,Kompiama and wider Enga area is the oft-quoted saying,90
3,warfare take place among contiguous groups.,90
1,NEW GUINEA,91
2,Tambul Range,93
3,our actions aren’t very well known to you [i.e. you,102
3,bring newspaper reporters and Radio Western Highlands.,102
1,Conclusion,103
2,Endnotes,105
3,Background,109
1,Introduction,110
2,The fears,110
2,The hopes,111
1,Conclusion,113
2,restorative programs in the formal justice system of vanuatu,119
1,Administrative bodies and adjudication,119
2,Courts and ADR,120
3,Use of ADR in the criminal justice system,121
4,Use of ADR as an alternative to trial in cases involving juveniles,121
5,Consent order,122
1,Conclusion,122
3,Current Situation,123
1,Impact on and Benefits for the Community,126
2,The future,126
3,e allowances; and,127
4,A case study in bride price,127
1,Community development and restorative justice,129
1,What then is development?,129
2,Restorative justice: an aspect of community development,131
2,Self determination,132
3,Example 1,134
3,Example 2,135
1,Role of change agents (in restorative justice within communities),135
2,Conclusions,136
1,Rehabilitation for change in Fiji: a women’s initiative,137
2,Background,138
2,Age group 1994 1995 1996 1997 1998 Under 17 years 3 2 6 1 0,139
3,17-20 years 345 296 173 233 238 21-25 years 415 409 360 363 433 26-50 years 420 471 349 340 409 Over 50 years 14 5 17 19 24,139
1,the vanuatu cultural centre’s juvenile justice project,153
2,Aims,142
2,Methodology,142
3,What I Like In Prison,146
3,Endnotes,152
1,Rationale of the Juvenile Justice Project,153
2,The project’s objectives,156
1,Research and consultation process,156
2,Training and orientation of project staff in the field of juvenile justice,157
3,Organisation of national summit meeting,157
4,Drafting of a plan of action,157
2,The Lakalakabulu Area Council of Chiefs in Vanuatu,159
1,National Constitution recognises under Article,160
2,institutions to resolve land disputes; and the,160
3,the National Constitution recognises under,160
4,Paul Vuhu General Secretary of the Lakalakabulu Area Council of Chiefs,159
1,Re-conceptualizing Restorative Justice and Peace Building in Ethnically Divided Fiji,163
2,Introduction,163
3,Primary Means for Reclaiming Their Rightful Position in the Post-2000 State System,164
4,Inter-Ethnic Conflict in Fiji,165
5,Claims to Legitimacy,165
1,Institutionalised conflict,166
2,the means by which separate identities are formally defined and reproduced.,167
3,Socio-economic distribution,167
4,Inter-cultural discourse,167
1,Ethnic conflict and the syncretic syndrome,168
1,Restorative justice through customary socio-cultural mechanisms,169
2,The Veisorosorovi (VSS) Model,170
3,The Ceremonial setting,171
3,Admission of mistakes,171
4,Reciprocal engagement,172
1,Re-contextualizing the VSS model for inter-communal peace building in Fiji,174
2,Trust and expectations,173
3,Transforming and crystallizing collective relations,173
4,Some shortcomings of VSS,173
5,Pre-emptive approach,172
2,Fijian Socio-Political Structure,180
3,When Europeans began arriving in large numbers in the,179
4,Conclusion,175
1,Village Council (headed by the Turaga ni Koro),181
1,Traditional Leadership Within the Fijian Social System,182
2,Table 1 Rural/Urban Distribution of Indigenous Fijians in the 14 Provinces,183
2,Table 2 Ethnic Origins of Prisoners in Fiji from 1988 to 1991,185
1,The Fijian Challenge,186
2,Year Fijian (%) Indian(%) Others (%) Total Number,185
3,Informal Justice and the Role of the Ministry of Fijian Affairs,188
2,Conclusion,189
1,Endnotes,190
1,Cultural Relations,192
2,Traditional Worries,194
2,Expectations of Restitution,195
3,Bureau of Statistics 1996. ‘Census of Population and Housing: General Tables’,190
3,A Mixed Bag,191
1,The Present Conflict,195
2,Guale Attack,196
2,The Eye of the Storm,197
2,Mala Retaliation,198
2,Present Problems,199
1,Seeking Reconciliation,201
2,Value of Cash,203
3,Complications,204
4,Corporate Compensation,204
5,Biblical Approaches,205
1,Church means the Way,207
2,Casual Presumptions,207
3,Moving On,208
1,Bougainville women’s role in conflict resolution in the Bougainville peace process,209
2,Some background to the current situation in Bougainville in the year 2000,210
1,Potential difficulties and conflicts in traditional restorative justice,212
2,The ‘haves’ and the ‘have nots’ in urban areas,212
3,Example 1,212
4,From pockets of Bougainville,213
1,From pockets of Bougainville,213
2,My involvement in the peace process,216
3,Women’s efforts in conflict resolution and restorative justice,216
2,we must never lose its value and significance.,214
1,The women’s role in the peace process,217
2,PNGDF use of women’s position of power. The Bougainville Women for Peace and Freedom (BWPF) is a,219
3,A team of four women. Turning a small meeting into a big meeting,221
1,Why did the peace process work in Bougainville?,226
2,common goal of freedom ... °,226
3,Endnotes,227
5,restorative justice in bougainville,229
1,Theodore Miriung’s vision in Bougainville,230
2,We are planning to develop our government on the Council of Chiefs,230
3,Peace Foundation begins training in Buka,231
4,Target group for training,231
5,Process of training adult education,231
1,Effects of courses on the participants,232
2,Selecting trainers for Buka,232
3,Beginning of mediation in Buka,233
4,Other signs of change in Buka,233
5,Support for work of Peace Foundation,233
1,Peace Foundation makes its mark on mainland Bougainville,234
2,Case studies from Buka,234
3,Value of a neutral mediator,234
4,On using a Facilitator - ‘There is no other way now!’,238
5,Mediation and negotiation skills by magistrates from Steamas strengthen custom justice,239
1,Peace in Buin 1995,240
2,co-trainer with the People Skills and Conflict Resolution courses,240
3,Now he has changed ... Since he attended the People Skills course,240
4,Good Friday peace march,243
1,Buin Peace Foundation Committee Activities,243
2,Courses conducted in Buin,243
3,Joint law and order process in Buin,244
4,Mediation work in Buin,244
5,Change of Army policy in Buin,245
6,Talk from the soldier who replaced Enuma,245
1,War breaks out again in Buin,246
2,The Icebreakers,246
3,Ice breakers killed,247
2,Mediation between BRA and Resistance,247
3,Tari requests training in Buin,247
1,Feuding and mediation after the death of Paul Bobby,248
2,Troubles caused by the feud,248
3,Pressure to reconcile,249
4,Reconciliation ceremony in Buin for Bobby/Tari,249
5,MOU for peace,249
1,The PMG at Buin and what they thought,250
2,What role Francis was playing,251
3,you did me wrong. | forgive you and you forgive me.,251
5,| was involved in a big reconciliation at Section 6 [Arawa],253
1,Compensation gifts and blood money,255
2,they should also kill a pig to present to the family of,258
3,Compensation paid for man shot dead by accident. Compensation Highlands fashion,258
4,A police officer accidentally shot a man from Kape [Highlands] area.,258
5, Acting Madang Provincial Police Commander James,258
1,Violent trauma and restorative justice,259
3,two young fellows who went into the bush [with the BRA] at about nine or ten years of age and now they are about eighteen or nineteen. They had been,261
4,about six o’clock in the evening and finished at about 3 o'clock in the morning. No sooner had we finished with this than they brought in another one whose leg,261
5,This process deals with almost all the problems mentioned Offensive behaviour is recognised for what it is and blame is placed squarely on the perpetrator/s.,262
1,Community Justice Training Program,263
2,Stigmatisation,263
3,Dedicated trainers,264
4,Training women,265
5,Saturation,266
6,Training in the village,266
1,Community Justice Package Number of Participants and Types of Courses,267
2,Importance of awareness,267
2,Divisions in the community must be noted,267
3,People Conflict §=§ Community Training Mediation Skills Resolution Development of Restorative Planning Trainers Justice,267
1,The Bougainville crisis and justice,271
2,My introduction to conflict resolution,272
2,The customary and formal dispute resolution systems,273
2,A case study of restorative justice,274
3,The mediation process,275
1,Step 1. Talking with the Victim(s),275
2,Step 2. Talking with the Offender/s,276
3,Step 3. Meeting with both Parties,276
4,Step 4. Discussions within each Group,277
5,Step 5. Reaching a Decision with both Parties,277
