1,The Information Revolution and Global Politics,3
2,Information Revolution and Developing Countries,3
3,Preface ix,6
3,Acknowledgments xi,6
3,Author Biographies xiii,6
1,Preface,10
2,Acknowledgments,12
3,xii Acknowledgments,13
2,Author Biographies,14
1,Foreword,16
1,Beyond Denial Introducing Next-Generation Information Access Controls,20
2,Ronald Deibert and Rafal Rohozinski,20
3,Introduction,20
4,Beyond Denial 5,22
1,Chapter Overview,24
2,Control and Subversion in Russian Cyberspace,32
3,Introduction,32
4,Conclusion,27
5,Box 1.1,22
1,Introduction,32
2,More Authoritarian,33
2,RUNET,34
3,Table 2.2 Population Number of Internet Internet Growth,36
2,Next-Generation Information Controls in the CIS,37
1,SPECTRUM OF CYBERSPACE CONTENT CONTROLS IN THE CIS,40
2,First-Generation Controls,39
3,ONI Tests for Internet Controls in RUNET,38
2,Table 2.4,40
3,Filtering Cybercafés Control! Requests Shutdowns Attack Surveillance Cyberzones Campaigns Action,40
1,Second-Generation Controls,41
2,Third-Generation Controls,44
3,Assessing the Evolution of Next-Generation Controls in the CIS,45
4,Spectrum of cyberspace content controls in the CIS (clustered by generation and EIU Index of Democracy),46
5,Conclusion: Next-Generation Controls Beyond the CIS?,47
1,3 The EU Data Retention Directive in an Era of Internet Surveillance,52
2,Hal Roberts and John Palfrey,52
3,Introduction,52
4,36 Hal Roberts and John Palfrey,53
5, Notes,49
1,Network Surveillance,53
2,Server Surveillance,58
3,Client Surveillance,62
4,Conclusion,66
5,Notes,67
1,Introduction,72
2,Nart Villeneuve,72
3,Barriers to Cooperation 57,74
4,Competing Perceptions of Cooperation,74
5,The Emergence of Filtering,77
1,The Legitimization of Filtering,79
2,Prospects for Dynamic Cooperation,80
3,Conclusion,83
4,Notes,83
1,Introduction,88
2,Points of Control,89
2,Host-Based Censorship in China,90
2,OSP-Based Censorship in the United States,91
1,The Economics of Intermediary Censorship,95
2,Implications for Researchers,97
2,Imbalanced Incentives and Free Speech,98
2,Conclusion,99
3,An Emerging Trend?,94
1,Introduction,104
2,Colin M. MacLay,104
3,Notes,100
4,Government and Business Collide: Expression and Privacy at Risk,106
1,Government Steps In: Policy and Regulatory Responses,107
2,Stakeholders Unite: Global Network Initiative,108
3,Beginnings,109
4,Participants,110
5,Foundational Elements,111
1,Implementation Guidelines,112
3,Criticisms and Challenges,114
4,Lackluster Participation,114
3,Accountability,115
1,Public Communication and Remedy,117
2,Learning and Understanding,118
2,Scope and Specificity,118
2,Criteria for Success,119
1,Conclusion,120
1,Introduction to the Country Profiles,128
2,Notes,122
3,Sources for Key Indicators,131
4,CIS Overview,136
1,The CIS Region: Ethnocultural Diversity and a Shared Historical Space,138
2,Access to the Internet in the CIS,139
2,The Role of New Technology in the CIS,140
2,Legal and Regulatory Mechanisms to Control the Internet in the CIS,141
3,Restrictions on Access to or Dissemination of Certain Types of Content,141
1,Registration Requirements for Internet Web Sites,142
2,Defamatory Provisions,143
2,National Security Concerns,143
2,Surveillance,144
2,Other Means to Control the Internet,145
1,Emerging Second- and Third-Generation Controls in the CIS,148
2,Crowd-Sourced Attacks: Pro-Government or Patriotic Hacktivists,146
2,Administrative Mechanisms to Shut Down Access to the Internet,147
2,Upstream Filtering,149
3,Conclusion,150
1,Armenia,154
2,Surveillance,160
3,ONI Testing Results,161
1,Notes,150
1,Conclusion,161
1,Azerbaijan,166
2,tion and communication technology (ICT) hub for the Caucasus region.,166
1,Background,166
2,Legal and Regulatory Frameworks,171
3,Surveillance,172
4,ONI Testing Results,173
1,Conclusion,174
2,Notes,175
1,Belarus,178
2,Surveillance,183
2,ONI Testing Results,184
1,Georgia,190
2,Internet Filtering during the 2008 Russia-Georgia War,195
3,Surveillance,196
3,ONI Testing Results,196
3,Notes,186
2,Conclusion,197
3,Notes,197
2,Kazakhstan,200
2,Surveillance,204
3,ONI Testing Results,205
1,Conclusion,205
2,Notes,206
3,Sovmestnyi Proekt Isledovatelskoy Kompanii ‘Komkon-2 Evraziya’ i Informacionnogo Portala” 'Centr Tyazhesti',206
1,Kyrgyzstan,208
2,Surveillance,213
2,ONI Testing Results,214
2,Conclusion,214
3,Notes,215
3,United Nations e-Government Survey 2008: From e-Government to Connected Governance,215
1,Moldova,218
1,Surveillance,222
1,ONI Testing Results,223
1,Legal and Regulatory Frameworks,231
2,Russia,226
3,Surveillance,235
4,Conclusion,223
5,Notes,224
1,ONI Testing Results,237
2,Conclusion,237
3,Notes,237
1,Tajikistan,244
1,Surveillance,249
1,Turkmenistan,254
2,ONI Testing Results,249
3,Conclusion,250
3,Notes,250
2,Legal and Regulatory Frameworks,259
1,Surveillance,261
2,ONI Testing Results,262
3,Conclusion,262
4,Notes,262
1,Ukraine,266
1,Legal and Regulatory Frameworks,270
2,Surveillance,274
3,ONI Testing Results,276
4,Conclusion,276
5,Notes,276
1,Prava lyudey v Ukraine—2007. V. Pravo na privatnost.,280
2,Uzbekistan,282
3,Legal and Regulatory Frameworks,285
4,Surveillance,287
5,ONI Testing Results,288
1,Conclusion,289
2,Notes,289
2,Regional Regulation,296
1,280 Europe Overview,297
3,Exploring the legal implications of promoting the safer use of the Internet; and,297
1,Copyright,298
2,Social Filtering,300
3,Nationalistic Filtering,301
2,Hate Speech,302
2,Defamation,303
1,Surveillance,305
2,Conclusion,307
3,Notes,308
4,France,314
1,Legal and Regulatory Frameworks,317
2,Surveillance,317
2,ONI Testing Results,319
2,Conclusion,319
1,Germany,324
2,Surveillance,328
3,The alleged crime would weigh heavily even taken individually,328
2,ONI Testing Results,329
1,Italy,334
2,Freedom of Speech Online,334
3,Conclusion,330
4,Internet Surveillance,338
5,ONI Testing Results,338
6,Notes,330
1,Nordic Countries,342
2,Regional ICT Penetration,342
1,Conclusion,338
1,Notes,339
1,Nordic Countries,343
2,Regional Regulation,343
3,Copyright,344
4,Filtering,345
5,Surveillance,347
1,Perspectives,349
3,Conclusion,351
3,Notes,352
2,Turkey,358
2,Regulatory Framework,361
1,Legal Framework,362
2,Compromising the judicial process (Art. 19),363
3,Crimes against Atattirk (Article 8/b) Prostitution,365
2,Web site contains sexual abuse of children or obscenity and its host resides in Turkey.,366
1,Defamation,368
1,Surveillance,369
2,ONI Testing Results,370
2,Conclusion,370
3,Notes,371
1,United Kingdom,374
1,Internet Surveillance,378
2,ONI Testing Results,379
2,Conclusion,379
3,Notes,379
1,United States and Canada Overview,386
1,Regulating Obscene and Explicit Content,387
2,Regulation of Online Gambling,392
2,Defamation,393
2,Copyright,394
2,Computer Security,396
1,Network Neutrality,397
2,Surveillance,397
3,Conclusion,398
1,Australia and New Zealand Overview,409
