1,Access to Knowledge: A Conceptual Genealogy,19
2,Preface,11
3,EPILOGUE: A2K IN THE FUTURE—VISIONS AND SCENARIOS,10
1,The Rise of Intellectual Property Law,25
2,HOW KNOWLEDGE MATTERS,20
3,A New Mode of Conquest and Imperium,27
3,that form an important kind of capital.38,28
1,LEGITIMATING INTELLECTUAL PROPERTY IN THE INFORMATION AGE,28
2,property rights in material resources (such as land) popularized in the 1980s and,31
3,INVENTING A POLITICS FOR THE INFORMATION AGE,32
4,THE PUBLIC DOMAIN,32
5,THE COMMONS,34
1,FOUR QUESTIONS FOR A2K,41
3,informational commons.§8,35
5,development.79,38
1,WHAT IS THE NATURE OF THE FREEDOM THAT A2K DEMANDS?,41
2,IS A2K COMMITTED MORE TO THE MODEL OF THE PUBLIC DOMAIN OR OF THE COMMONS? CAN IT BE COMMITTED TO BOTH?,43
3,CAN A2K CREATE A POLITICS OF KNOWLEDGE? WHAT ARE THE PROPER LIMITS OF THE POLITICS OF A2K?,47
3,CONCLUSION,49
4,NOTES,50
2,A CONCEPTUAL GENEALOGY,57
1,Access to Knowledge as a Field of Activism,59
2,THE DIGITAL ERA AND IMMATERIAL WALLS,60
3,POLITICAL CONTEXT AND POLITICAL PRACTICES: FROM INTELLECTUAL PROPERTY TO ACCESS TO KNOWLEDGE,67
4,WHAT IS A2K?,71
1,GOVERNANCE AND RESISTANCE SEEN THROUGH THE PRISM OF ACCESS,76
2,PERSPECTIVES AND REPRESENTATIONS SEEN THROUGH THE A2K PRISM,80
3,CONCLUSION,88
4,NOTES,90
1,PART TWO,99
2,THE EMERGENCE OF THE POLITICS OF A2K,99
3,How do you say A2K?,100
1,GLOBAL INTELLECTUAL PROPERTY DEBATES: A2K IN HISTORICAL CONTEXT FROM THE PERSPECTIVE OF DEVELOPING COUNTRIES,101
2,The Emergence of the A2K Movement: Reminiscences and Reflections of a Developing-Country Delegate,101
3,Ahmed Abdel Latif,101
1,FROM ACCESS TO MEDICINES TO A2K,105
1,THE FORMATION OF THE A2K MOVEMENT,107
1,THE EMERGENCE OF THE A2K MOVEMENT,107
1,THE GENESIS OF THE TERM “A2K” AND THE FRAMING OF A2K AS A CONCEPT,112
1,THE WIPO DEVELOPMENT AGENDA,114
1,A2K AND THE WIPO DEVELOPMENT AGENDA,117
3,FUTURE DIRECTIONS FOR THE A2K MOVEMENT,120
3,CONCLUSION,123
4,NOTES,123
2,Ellen ‘t Hoen,129
1,THE ADOPTION OF THE REVISED DRUG STRATEGY,130
2,THE CONCEPT OF ESSENTIAL MEDICINES,131
3,TRADE CONCERNS EMERGE,133
4,ESSENTIAL MEDICINES AND INTELLECTUAL PROPERTY AT THE WHO: FROM RED BOOK TO BLUE BOOK,134
5,The WHO Executive Board established an ad-hoc group chaired by France to,135
1,UPDATING AND DISSEMINATING THE WHO’S MODEL LIST OF ESSENTIAL DRUGS,137
2,ESSENTIAL MEDICINES AND COMPULSORY LICENSING,139
3,The Doha Declaration on TRIPS and Public Health: An Impetus for Access to Medicines,143
1,THE DOHA NEGOTIATIONS,145
2,THE ROLE OF NGOS IN THE ACCESS DEBATE,152
3,Notes,156
3,Access and Activism: The Provision of Antiretroviral Therapy in Developing Countries,157
1,An Uncertain Victory: The 2005 Rejection of Software Patents by the European Parliament,163
2,BATTLES OVER SOFTWARE PATENTABILITY PRIOR TO 2005,165
4,WHAT MADE THE “VICTORY” POSSIBLE?,170
1,A2K at WIPO: The Development Agenda and the Debate on the Proposed Broadcasting Treaty,177
2,Viviana Mufoz Tellez and Sisule F. Musungu,177
3,THE WIPO DEVELOPMENT AGENDA: PATHWAY TO A2K,179
4,WHERE DO THINGS STAND?,172
5,NOTES,173
1,THE HISTORY OF THE WIPO DEVELOPMENT AGENDA,180
2,The establishment of a WIPO Development Agenda was formally approved by the 184 member states of WIPO in September 2007 after three years of discussion. The initial proposal was presented by Brazil and Argentina at the September-—October 2004 session of the WIPO General Assembly.,180
1,THE NECESSITY FOR A DEVELOPMENT AGENDA FOR WIPO,181
2,CONCEPTUAL FRAMING AND PROCESS STRATEGIES,185
2,THE EFFECT OF THE DEVELOPMENT AGENDA ON A2K GOALS,187
1,THE PROPOSED WIPO TREATY ON THE PROTECTION OF BROADCASTING ORGANIZATIONS,188
2,THE ROLE OF THE A2K MOVEMENT,190
3,THE FUTURE OF A2K IN WIPO,192
4,NOTES,193
1,PART THREE,197
1,Peter Drahos,199
2,TOO MUCH INTELLECTUAL PROPERTY?,200
3,SOCIAL WELFARE,200
