1,Comparative Constitutional Change,3
2,Illiberal Constitutionalism in Poland and Hungary,3
4,Timea Drinoczi and Agnieszka Bien-Kacala,3
1,Accountability and the Law,2
2,List of contributors,6
3,PART I Law,6
3,PART II Fairness and rights,6
1,Transparency and Accountability in Intelligence Operations,7
2,Non-judicial Legal Accountability: The Case of the Chilean Comptroller-General,7
3,Presidents’ (Mis)use of Public Accountability: Going-Public Tactics in European Semi-presidential Regimes,7
4,Ministerial Criminal Liability in the Greek Legal Order: A Concise Critical Review,7
5,Introduction,12
6,Contributors,8
1,Introduction,14
2,Chapter 4: Financial Accountability and Transparency in the Republic of Serbia,14
3,2.1 Introduction: A New Accountability Environment,20
2,Kyriaki Topidi,20
4,Regulators of Content and Platform Regulation in Europe,25
1,2. Online Platforms’ Accountability,26
2,2.3 Content moderation instruments and accountability,26
3,2.3.1 Automated social media content moderation tools and accountability,28
3,2.3.2 Appeals system,29
2,2.4 Online platforms’ accountability in a European context,30
2,2.5 Concluding remarks,35
1,3. Economic crises and transformation to the theoretical model of budget process,39
2,3.1 Introduction,39
3,Grzegorz Kuca,39
4,References,36
2,3.3 Economic crisis and budget process,44
2,3.4 Final remarks,53
5,References,54
1,4 Financial accountability and transparency of public sector institutions in the Republic of Serbia,57
1,4 Introduction to Financial Accountability in the Public Sector,57
2,4.1 Introduction,57
3,4.2 The role of internal financial control in the public sector,59
4,4.4 The role of the State Audit Institution and Budget Inspection,64
1,4 Conclusion,67
2,5 Disciplinary liability of judges The Polish case,74
3,5.1 Introduction,74
1,5. Models of Disciplinary Liability,76
2,5.2 Models of disciplinary liability of judges and the Polish solutions,76
3,5.4 Current jurisdiction of disciplinary courts and of disciplinary commissioners,82
2,5.5 Final remarks,88
1,6 ‘Transparency and accountability versus secrecy in intelligence operations’,91
2,6.1 Introduction,91
3,6.2 The history of intelligence: a brief overview,92
2,References,88
1,6 Intelligence History and Structure,93
2,6.2 Intelligence from Early History to the Restoration: A Comparative Perspective,93
3,6.2.1 Intelligence from early history to the Restoration: a comparative perspective,93
2,6.2 Intelligence from the 19th Century Onwards,94
3,6.2.2 Intelligence from the 19th century onwards: focus on Italy,94
2,6.3 Legislative Aspects of Intelligence,98
3,6.3.1 Law no. 124/2007: main features,98
1,6.4 The Italian intelligence system and its interactions with state powers,102
2,6.4.1 Political oversight of secret services’ activities,102
2,6.4.2 Judicial oversight and the use of state secrecy in criminal proceedings,104
1,6.5 Intelligence agencies ‘in action’ in times of international terrorism,105
2,6.5.1 International terrorism and the metamorphosis of security threats,106
1,Non-judicial legal accountability,113
2,Introduction,113
4,Concluding remarks,109
5,References,110
1,7 Introduction,113
2,7.2 Constitutional and legal framework,116
3,7.2.1 Constitutional regulation,116
3,7.2.2 Organisational structure,116
4,7.2.2.1 Hierarchical arrangements,116
1,7 The Comptroller-General's Office,118
2,7.2 Appointment and Structure,118
3,7.2.2 Appointment Process,118
4,7.2.2.2 The office head,118
2,7.3 Mandate and Powers,120
3,7.3.1 Multitasking,120
3,7.3.2 Ex-ante legality review,120
4,7.3.2.1 Basic provisions,120
1,7.3 Administrative Review Procedure,121
2,7.3.2 Types of Administrative Actions Under Review,121
3,7.3.2.3 Participants,123
4,7.3.2.4 Standard of Review,124
5,7.3.2.5 The Insistence Mechanism—the Presidential Override,124
1,7.3.3 The power of dispute resolution,127
2,7.3.3.1 Basic provisions,127
3,7.3.3.2 Aims and functions,128
4,7.3.3.3 Access,129
1,8 Presidents’ (mis)use of public accountability,140
2,Thomas Sedelius,140
3,8.1 Introduction,140
4,7.3.3.4 Legal authority and limits,130
3,7.4 Conclusion,131
10,References,132
1,8 Introduction,140
2,8.1 Introduction,140
2,8.2 Research design and data,142
2,8.3 Theory and definitions,143
3,Table 8.1 Level of democracy and formal presidential powers in European semi-presidential (premier-presidential) regimes,146
1,8 Analysis,149
2,8.5 Analysis,149
4,8.5.2 A strictly constrained but highly popular presidency in post-2000 Finland,149
2,Table 8.2 Shugart and Carey’s presidential power scores for European semi-presidential (premier-presidential) regimes,147
2,PRESIDENT’S POWER,153
2,The presidency in Lithuania: popular leadership as a lever for power grabs,154
1,8.6 Conclusions,160
2,9 Ministerial criminal liability in the Greek legal order,167
3,A concise critical review,167
4,Eugenia Kopsidi and Ioannis A. Vlachos,167
1,Introduction,167
2,The scope of ministerial offences under Article 86,169
1,9.3 Statute of limitations and the extinguishing deadline: a hasty elimination of punishability,175
2,9.4 Issues on complicity,176
2,9.5 In defence of amending Article 86,177
1,References,183
1,10 Transparency and accountability of the Italian public administration in the context of public procurement,185
2,10.1 Introduction,185
3,10.2 Transparency and accountability as two sides of the same coin,187
4,Italian public administration 177,188
1,10.3 Transparency and accountability in the context of Italian public procurement,189
2,(Legislative Decree no. 50/2016 art 30),190
1,11. Introduction,204
2,11.1 Introduction,204
1,References,203
1,11.2 The UK’s exit from the EU,205
2,11.2.1 The conduct of the UK’s foreign affairs—a brief outline,205
3,11.2.2 Triggering of Article 50(2) of the TEU without parliamentary authorisation,206
4,11.2.2.1 Miller I case judgement,208
1,11 The EU/UK Approach to Transparency and Accountability in Brexit Negotiations,213
2,11.3 The EU/UK Approach to Transparency in the Brexit Negotiations,213
2,11.4 The Brexit Negotiations and the UK Government’s Accountability,217
3,11.4.1 The Role of the UK’s Select Committees in Influencing the EU Decision-Making Process,220
3,11.4.2 The Process of Constitutional Change in ‘vegaining’ the UK Parliament’s Sovereignty,224
1,11.5 Conclusion,227
2,References,229
3,bias (algorithmic),232
3,withdrawal agreement,234
