1,WHAT EFFECT WTO ACCESSION AND REGIONAL TRADE ARRANGEMENTS?,3
2,CHUNLAI CHEN AND RON DUNCAN (EDS),3
3,THE AUSTRALIAN NATIONAL UNIVERSITY,3
4,E PRESS,3
5,E PRESS,4
1,Sector classification in the CERD model,8
2,by commodity,10
2,China’s market access commitments on farm products,10
2,Changes in the new ASEAN members in supply prices and,11
3,Percentage of tariff lines at 0-5 per cent in the tentative 2004 CEPT package,13
1,Achieving food security in China Implications of WTO accession,21
2,Agriculture and Food Security in China,22
3,ABBREVIATIONS,14
4,PREFACE,18
5,Chunlai Chen and Ron Duncan,21
1,China’s agricultural development and policies,22
1,Food self-sufficiency and food security,23
2,Table 1.2 Changes in tariffs required for food self-sufficiency by 2010,27
1,Surplus agricultural labour,31
2,Restrictions on migration,32
1,Macroeconomic implications of WTO accession,33
2,Simulations of short-run effects,34
2,Macroeconomic impacts on migration,37
1,China’s agricultural trade after WTO accession,38
2,Implications of the ASEAN-China Free Trade Agreement,38
3,Agricultural trade between China and ASEAN: complementary or competitive?,39
4,Economic effects of the ASEAN-China Free Trade Agreement,40
5,Summary and discussion,41
1,Agricultural development and policy before and after China’s WTO accession,47
2,Agricultural performance and policy before China’s WTO accession,48
3,Notes,44
4,References,45
1,China’s commitments to WTO accession and provisions related to agriculture,59
2,Table 2.3. Import tariff rates on major agricultural products subject to tariff-only protection in China,60
2,Table 2.4 China’s market access commitments on farm products subject to tariff rate quotas,62
1,Policy shifts since China’s WTO accession,63
2,Legal and legislative changes,64
3,Agricultural trade reforms,66
4,Domestic market reform and infrastructure development,67
5,Land-use policy,68
1,New agricultural and rural development policies,70
2,Farm organisations,69
2,Export subsidies and agricultural support policies,69
1,Conclusions,71
1,References,72
1,China’s WTO accession,75
2,The impact on its agricultural sector and grain policy,75
3,Feng Lu,75
4,China’s WTO entry commitments in the agricultural sector,75
5,Tariff binding and tariff reduction,76
1,China’s WTO accession,77
2,Tariff rate quota system,76
3,Reduction of market distortion measures,77
1,Trade pattern and comparative advantage in China’s agriculture,83
2,Table 3.2. China’s TRQ system for selected agricultural products (‘000 metric tonnes),80
2,Table 3.3 Production growth for selected agricultural products in China (million tonnes),82
1,Opportunities and benefits of agricultural liberalisation,86
2,Adjustment costs of WTO entry and their income implications,88
2,Food security and WTO accession,89
2,The regional pattern of the agricultural impact of WTO accession,91
3,‘Export promoting effects’ and ‘substitution effects from imports’,92
1,Regional pattern of the agricultural impact,97
2,Scenario one,97
