1,A GLOBAL HISTORY OF THE FIRST PALESTINIAN HUMAN RIGHTS ORGANIZATION,1
2,NEW DIRECTIONS IN PALESTINIAN STUDIES Series Editorial Committee,3
1,Lynn Welchman,6
1,A Global History of the First Palestinian Human Rights Organization,6
2,ACKNOWLEDGMENTS,14
3,xii ACKNOWLEDGMENTS,15
1,Introduction,18
1,WRITING AL-HAQ,18
2,INTRODUCTION 3,20
2,SCHOLARSHIP: AL-HAQ AND HUMAN RIGHTS,21
2,FRAMING THE WORK,23
3,AL-HAQ CONTRIBUTIONS,25
2,CONTEXT,30
3,14 CONTEXT,31
4,CONTEXT 15,32
2,WEST BANK LEGAL PROFESSION,33
1,International Law,40
2,Human Rights Organizations,37
3,HUMAN RIGHTS IN THE REGION,42
4,CAMP DAVID,35
5,Beginnings,45
1,Founders,64
2,RAJA SHEHADEH,64
3,48 FOUNDERS,65
4,FOUNDERS 49,66
2,JONATHAN KUTTAB,76
1,LSM STEERING COMMITTEE,89
2,Organization,90
3,WHO ARE WE? IN 1983,91
4,Jonathan Kuttab,76
5,Charles Shammas,83
1,THE POLITICS OF LSM,96
2,ORGANIZATION,112
1,INTO THE INTIFADA: TWENTY YEARS OF OCCUPATION,118
2,MEMBERS AND STAFFERS,115
3,AL-HAQ’S GOALS,122
3,THE OCCUPIER’S USE OF THE LAW,122
4,Rule of law—needs further discussion.,114
1,RESPONSE TO ISRAELI ARGUMENTS,122
2,ROLE OF AL-HAQ UNDER OCCUPATION,123
1,Interventions and Allies,125
3,collective punishment (including house demolition and sealing and punitive curfews); and,127
1,THE ICRC,148
1,THE ENFORCEMENT PROJECT,152
2,Field and Legal Research,164
3,FIELDWORK METHODOLOGY,164
4,THE RISKS OF FIELDWORK,169
5,INTIFADA EXPANSION,172
1,FROM AFFIDAVITS TO PUBLICATIONS AND CAMPAIGNS,173
2,AFFIDAVITS AND THE PALESTINIAN AUDIENCE,176
2,Palestinians killed by Israeli security forces or settlers in Hebron during the year 1994,177
3,FIELDWORK AND THE DATABASE,177
2,PUBLISHING ON PRISONS,178
1,STRUCTURAL WORK,182
2,LEGAL ADVICE AND KNOW YOUR RIGHTS,187
2,INVOKING THE LAW,195
1,FALLOUTS,200
1,Epilogue,228
2,required to carry out the new program of the reconstructed organization.,225
1,INTRODUCTION,246
2,CHAPTER 1. CONTEXT,250
1,CHAPTER 2. BEGINNINGS,256
2,The correspondence between the Palestinian group and the ICJ quoted here was provided from the personal archive of Nidal Taha.,256
1,CHAPTER 3. FOUNDERS,260
1,CHAPTER 4. ORGANISATION,266
1,CHAPTER 5. INTERVENTIONS AND ALLIES,270
1,CHAPTER 6. FIELD AND LEGAL RESEARCH,278
1,CHAPTER 7. FALLOUTS,286
1,EPILOGUE,291
3,1. Law on Charitable Associations and Civil Society Organizations (Law no. 1 of 2000). Follow-up work on this law included response to amendments and additions by decree ,291
3,14/1 (2012): 177.,297
1,BIBLIOGRAPHY,300
2,LSM/AL-HAQ PUBLICATIONS AND SOURCES  Al-Hag Publications Referred To in Text,300
1,Al-Hag Annual Reports and Anniversary Publications,301
3,Al-Haq Published / Al-Haq Originated,302
5,Administrative Detention in the Israeli-Occupied West Bank,304
1,Human Rights Sources,305
2,Other Sources,305
2,Arab World Policy Network Commentary,306
3,Reflections on Three Decades of Human Rights Work in the Arab Region,306
2,The Human Rights Movement in the Arab World,308
2,International Criminal Court Interview,308
1,Introduction—Responsibility to the Story,309
3,Journal of Human Rights Practice,309
5,The Writing on the Wall: Rethinking the International Law of Occupation,309
6,Concerning the Legality of General Security Services Interrogation Methods”,310
7,Berkeley Journal of International Law,310
8,On the Fourth Geneva Convention and the Occupied Palestinian Territory”,310
11,Torture in al-Fara‘a Prison: A Reply to the Israeli Ambassador,312
13,Official MI5 History Sheds Little Light”,313
15,Rightful Resistance”,313
17,International Law and the Israeli Occupation”,313
19,When the US Gets to Monitoring Human Rights”,313
1,INDEX,318
2,When the US Gets to Monitoring Human Rights.,313
3,Judicial Independence under Palestinian Rule.,313
4,Prolonged Military Occupation: The Israeli-Occupied Territories 1967–1988.,314
5,Legal Language.,315
6,HISTORY | MIDDLE EASTERN STUDIES,331
2,LYNN WELCHMAN is Professor of Law in the Middle East and North Africa at the School,331
