1,Amicus Curiae before International Courts and Tribunals,1
2,Successful Dispute Resolution,1
3,Acknowledgments,9
1,Summary of Contents,11
2,Table of Abbreviations,15
3,D. Substantive requirements and the content of submissions,19
3,E. Submission of evidence,19
3,Peoples’ Rights 411,20
1,Chapter §9 Conclusion,22
2,H. Conclusion,22
3,A. What is it?,22
4,B. Added value of amicus curiae participation in international dispute settlement,22
5,FTC Statement GPI,23
1,A. Structure,29
2,B. Methodology,30
2,C. Scope of the study,34
3,A. Presumed functions of amicus curiae,43
1,II. Representation of ‘the’ public interest,47
2,Il. Legitimacy and democratization,53
3,IV. Contribution to the coherence of international law,59
4,V. Increased transparency,62
5,B. Presumed drawbacks,64
1,I. Practical burdens,65
2,II. Compromising the parties’ rights,65
4,cy to represent its constituents than unaccountable (and sometimes foreign) NGOs?,70
3,IV. Overwhelming developing countries,70
1,V. Unmanageable quantities of submissions,71
2,VI. Denaturing of the judicial function,72
3,C. Conclusion,72
2,A. Amicus curiae before national courts,74
1,I. The origins of amicus curiae,74
2,II. Amicus curiae before the English courts,76
3,III. Amicus curiae before the United States Federal Courts and the Supreme Court,81
4,IV. Internationalization: amicus curiae in civil law systems and in inter- and supranational legal instruments,86
1,Comparative analysis,90
2,Emergence and rise of amicus curiae before international courts and tribunals,91
3,I. International Court of Justice,91
1,International Tribunal for the Law of the Sea,100
2,European Court of Human Rights,103
3,Inter-American Court of Human Rights,106
4,African Court on Human and Peoples’ Rights,108
5,WTO Appellate Body and panels,109
2,Conflict between the member states and the Appellate Body intensified after it adopted ad hoc procedures to regulate amicus curiae submissions pursuant to Article 16(1) Working Procedures for Appellate Review (EC—,110
3,of the political pressure exerted on the Appellate Body at the General Council Meeting.,111
2,Investor-state arbitration,115
2,Conclusion,121
1,A. Characteristics of the international amicus curiae,123
2,I. A procedural instrument,124
3,II. A non-party and a non-party instrument,126
2,III. Transmission of information,129
1,IV. An interested participant,130
2,V. An instrument of non-state actors?,132
3,B. Functions of the international amicus curiae,132
4,I. Information-based amicus curiae,133
5,II. Interest-based amicus curiae,138
1,International Court of Justice and International Tribunal for the Law of the Sea,139
2,European Court of Human Rights,140
3,Inter-American Court of Human Rights,144
4,WTO Appellate Body and panels,146
1,5. Investor-state arbitration,148
2,6. Comparative analysis,152
2,IH. Systemic amicus curiae,152
3,the ICSID-administered arbitral tribunals found that,153
4,IV. Analysis,154
1,The myth of ‘the’ international amicus curiae,155
2,An evolving concept,156
2,Are there limits to the functions amici curiae may assume?,156
3,Amicus curiae and other forms of non-party participation,157
1,International Court of Justice and International Tribunal for the Law of the Sea,159
1,II. WTO Appellate Body and panels,164
2,III. Investor-state arbitration,168
3,IV. Comparative analysis,171
4,D. Conclusion,172
1,International Court of Justice,180
2,A. Legal bases for amicus curiae participation,177
3,Article 105,184
4,II. International Tribunal for the Law of the Sea,191
1,IV. Inter-American Court of Human Rights,197
2,Rules of procedure granted in Article 60 ACHR and Article 25(1) IACtHR,198
3,VI. WTO Appellate Body and panels,202
4,1. Panels,202
1,Appellate Body,207
2,Investor-state arbitration,213
3,Clauses in investment treaties,213
4,Clauses in institutional procedural rules,215
5,Article 4. Submission by a third person,217
1,Codification and informal doctrine precedent?,226
2,Implied powers,222
3,Ad hoc agreements,224
5,Set out a precise statement of the third person’s position on issues; and,217
2,Common regulatory approaches,227
3,Conditions concerning the person of amicus curiae,228
2,International Court of Justice,229
2,International Tribunal for the Law of the Sea,231
3,Assembly of the Authority to make written and oral submissions.,232
1,I. European Court of Human Rights,235
2,Involving an Applicant Whose Affected Rights Fall into One of Their Areas of Operation.,238
1,IV. Inter-American Court of Human Rights,241
1,V. African Court on Human and Peoples’ Rights,246
1,VI. WTO Appellate Body and Panels,247
1,VII. Investor-state arbitration,250
2,1. Legal standards,250
3,2. Application,253
4,VIII. Comparative analysis,261
5,C. Request for leave procedures,266
1,I. Formal requirements,269
2,2. Form and length,283
1,II. Substantive requirements concerning the application,284
2,1. International Court of Justice,284
2,2. European Court on Human Rights,284
1,3. African Court on Human and Peoples’ Rights,286
2,4. WTO Appellate Body and panels,286
3,5. Investor-state arbitration,287
4,a) Legal standards,287
1,Application,288
2,Special knowledge or insight,289
3,Significant interest in the arbitration,294
3,Public interest in the subject matter of the arbitration,300
1,Comparative Analysis,312
2,Request for Leave Procedures Reviewed,312
3,International Court of Justice,318
4,Oral and Written Participation,318
5,Amicus Curiae Participation,314
6,Conclusion,314
7,Assessment,303
1,II. International Tribunal for the Law of the Sea,319
1,I. European Court of Human Rights,320
1,IV. Inter-American Court of Human Rights,323
2,VI. WTO Appellate Body and panels,326
1,VII. Comparative Analysis,330
2,VIL. Investor-state arbitration,328
3,Form of written submissions,335
4,Length,335
5,Regulatory reasons,332
1,II. Comparative analysis,343
2,D. Substantive requirements and the content of submissions,345
3,2. Language,336
4,3. Authentification,339
5,4. Failure to comply,342
1,I. International Court of Justice and International Tribunal for the Law of the Sea,346
2,information is relevant to the area of operation of the submitting organization,348
1,II. European Court of Human Rights,350
3,and law,356
1,Il. Inter-American Court of Human Rights,362
1,IV. African Court on Human and Peoples’ Rights,369
2,V. WTO Appellate Body and panels,370
