1,Analogy and Exemplary Reasoning in Legal Discourse,4
3,Creative Commons License CC BY NC ND (http://creativecommons.org/licenses/by-nc-nd/3.0),5
1,Introduction,6
2,Imitation and analogy,14
3,ANALOGY AND EXEMPLARY REASONING IN LEGAL DISCOURSE,9
4,Exemplarity and virtue,17
1,4 Models of exemplarity,20
2,4.1 Real and fictional exempla,20
2,4.2 Negative and positive exempla,21
2,4.4 Partial and complete exempla,23
1,The role of exemplary judges in law,28
2,Education and imitation,28
3,Theorizing about excellence in adjudication,29
4,The evolution of legal culture,30
5,Exempla and other normative ideals,24
1,7 Conclusions,31
2,Indefeasible analogical argument,34
2,Target (‘y’) = event in which a house was donated,45
1,(6) The plaintiffs argument is invalid [conclusion of the analogical argument],47
2,About the author,49
3,Bartosz Brozek,50
2,Abstract,50
1,About the Author,64
2,Damiano Canale and Giovanni Tuzet,66
3,Abstract,66
1,ANALOGICAL REASONING AND EXTENSIVE INTERPRETATION,68
2,About the authors,87
3,David Duarte,88
3,Abstract,88
1,ANALOGY AND BALANCING,90
3,the unregulated case does not fulfil the antecedent of P..’°,96
4,P.:‘everyone has freedom of action’;,93
2,Abstract,102
4,The partial reducibility thesis and the Alexian framework,102
5,rule: ‘cars are not allowed into the park’,98
2,About the author,108
3,David Duarte,110
3,Abstract,110
1,Reasoning by Analogy in Legal Discourse,124
2,Abstract,124
3,About the Author,123
4,The Competing Principles. No Gap Was Recognized and No Analogy Was Ever Hypothesized,114
5,Analogy and Balancing Once Again,112
1,ARGUMENT BY ANALOGY IN THE LAW,126
4,Hendrik Kaptein,138
1,Analogy in the strict liability rules in the Dutch Civil Code,166
2,Abstract,138
4,About the author,165
5,This is to be equivalent to,154
1,Bibliography,180
1,Index,190
