1,MIPLC Studies 29,1
2,Antitrust Enforcement and Standard Essential Patents,3
3,Moving beyond the FRAND Commitment,3
4,Abstract Part I. Introduction,7
1,Part I. Introduction,11
2,Part II. Standards-Setting and Competition Policy,15
3,A. The Standards-Setting Process i. Economic Benefits of Formal Standardisation,15
1,Part II. Standards-Setting and Antitrust Enforcement in the US,31
2,A. The Nature of the FRAND Commitment,31
3,ii. Formal Standardisation and its Superior Efficiency,18
3,ili. Anticompetitive Risks Prior-Adoption of a Standard,20
2,B. Theories of Post-Adoption Harm,22
1,Part III. Standards-Setting and Antitrust Enforcement in the US,32
2,B. Injunctive Relief Post-eBay,33
1,Part IV. Standards-Setting and EU Competition Law,41
2,A. Case-Law in Member States — The Orange Book Standard,41
3,Enforcement Action by the Commission,44
1,Part V. Patent Assertion Entities and Privateers: Moving Beyond the FRAND Commitment,49
2,C. Huawei V. ZTE,46
3,Enforcement of their patents in court by means of injunctions and awards of damages,51
4,Implications of PAE Activities for Social Welfare and Efficiency,53
5,PAEs and Privateers in the Context of Cooperative Standards-Setting,55
1,Part I. Introduction,58
2,C. PAEs and Opportunistic Assertion of SEPs: A Competition Law Problem?,58
3,ii. An Effects-Based Approach to Opportunism with SEPs: Anticompetitive Foreclosure and Article 102 TFEU,65
4,ili. Privateering Arrangements and Article 101 TFEU,68
1,Part VI. Conclusion,71
2,Bibliography,73
1,Books,73
2,Articles,73
3,Smart Phone Litigation and Standard Essential Patents,75
2,Antitrust and the Patent System: A Reexamination,75
