1,LUCIS SERIES ‘DEBATES ON ISLAM AND SOCIETY,3
3,Contents,6
1,Introduction,8
2,Section 11: Law Versus Culture,7
3,Section 111: The Need for Accommodation,7
4,8 Unregistered Islamic Marriages: Anxieties about Sexuality and Islam in the Netherlands 141 Annelies Moors,7
1,APPLYING SHARI‘A IN THE WEST,9
2,What do Western Muslims Mean by Shari'a?,9
3,INTRODUCTION,10
4,SHARI'A: A VIRTUOUS ABSTRACTION,10
5,SHARI'A: FOREIGN NATIONAL LAWS,11
1,SHARI'A,11
2,FOREIGN NATIONAL LAWS,11
2,THE PRACTICES AND DESIRES OF WESTERN MUSLIMS,11
3,Shari‘a Practices in a Western Legal Framework,13
4,THREE WESTERN REGIONS,13
5,Western Responses: Law Versus Culture,17
1,APPLYING SHARI‘A IN THE WEST,23
2,Adaptation in Western or Muslim Legal Systems?,19
3,Conclusion,20
4,Notes,21
1,External Reasons for the Formal or Informal Application of Shari'a in the West,27
2,Private International Law,27
3,Introduction of Islamic Legal Provisions,28
4,Recognition of Legal Facts Created Under Foreign Shari‘a Laws,29
5,Personal Law Systems,30
1,Internal Reasons for the Formal or Informal Application of Shari'a in the West,31
2,Technical/Institutional Reasons,31
3,Cultural Reasons,32
4,Religious Reasons,33
5,Alternative Dispute Resolution (ADR) and Shari‘a,36
1,APPLYING SHARI‘A IN THE WEST,43
2,Preliminary Conclusions,40
3,Notes,42
1,APPLYING SHARI‘A IN THE WEST,47
2,Islam and the Problems of Liberal Democracy,48
3,Bryan S. Turner and James T. Richardson,48
4,Istam in America: A Historical Summary,51
1,Istam in America: A Historical Summary,51
2,Several attempts were made early on to improve this situation.,53
2,Growing Fears Concerning Islam,53
3,Legal Plurality and the Spread of Shari'a,55
3,American Legal Exceptionalism and Shari'a,57
1,APPLYING SHARI‘A IN THE WEST,63
2,Relevant Research on Muslims,58
3,Conclusion,60
4,Notes,62
1,APPLYING SHARI‘A IN THE WEST,65
2,The Down-Under Approach and Reaction to Shari‘a: An Impasse in Post-Secularism?,66
3,Shari‘a in Australia,68
4,The Socio-Cultural Heterogeneity of Muslims and the Implication for Shari'a,66
1,The Relationship Between Shari'a and Australian Law,69
2,Australian Family Law and Islamic Arbitration,71
3,Recent Attempts to Bring Shari‘a into the Public Sphere: Two Case Studies,72
4,CASE STUDY 1: AUSTRALIAN FEDERATION OF ISLAMIC COUNCILS (IKEBAL PATEL),72
5,CASE STUDY 2: DIVORCE IN AUSTRALIA: FROM AN ISLAMIC LAW PERSPECTIVE?,73
1,The New Australian Conservative Modernity and Its Obstacles to Post-Secularism,74
2,Applying Shari‘a in the West,79
3,Jorgen S. Nielsen,80
4,Background,80
5,Notes,77
1,Seeking clarification,83
2,TABLE 1 Grounds for dissolution of marriage England Pakistan,86
3,Irretrievable breakdown of marriage Incompatibility,86
4,TABLE 2 Conditions for marriage,86
5,England Pakistan,86
1,Issues and implications,88
2,The Discussion Continues,92
3,Notes,95
4,Susan Rutten,98
5,FORMAL APPLICATION OF SHARI‘A,98
1,INFORMAL APPLICATION OF SHARI‘A,99
2,Applying Shari'a Under the Dutch Legal System,100
3,PARTY AUTONOMY,100
4,THE FAVOUR-PRINCIPLE,101
1,Express Provisions and Open Norms,101
2,Freedom of Religion,102
3,The Use of Shari‘a in Informal Social Settings and the Role of Human Rights,102
2,The Example of the ‘Chained Wife’,103
2,Application of Shari‘a: Politically Sensitive,105
1,Conclusion,107
2,Besnik Sinani,112
3,Under the Gaze of Europe,113
4,Islamic Marriage and Divorce in Secular Albania,116
5,The Reflection of Europe,121
2,The legal status provided by the Convention of Athens lasted until,128
3,Angeliki Ziaka,126
5,Notes,122
