1,2016-2017 Fourth Edition,1
2,William Kratzke Professor of Law,1
3,About the Author,3
3,Notices,4
3,About CALI eLangdell Press,6
1,Preface,7
2,WPK,8
3,Table of Contents,9
4,About the Author,9
5,Notice,9
6,About CALI eLangdell Press,9
7,Chapter 1: The Government Raises Money: Introduction to Some Basic,9
1,Chapter 1: The Government Raises Money: Introduction to Some Basic Concepts of Taxes and Taxing Income,9
2,I. Introduction to Some Basic Concepts,9
3,TL. Taxing Income,9
1,Chapter 2: What Is Gross Income: Section 61 and the Sixteenth Amendment,9
2,I. The Constitutional and Statutory Definitions of 'Gross Income',9
3,II. The Constitutional and Statutory Definitions of 'Gross Income',9
1,Chapter 8: Tax Consequences of Divorce and Intra-Family Transactions,11
2,LT. [Introduction w..,11
3,II. Before Marriage,11
4,TID. During Marriage w...,11
1,II. Taxing Income,17
2,Ill. Some Definitions,21
1,V. Not All Income Is Taxed Alike,29
1,VII. Sources of Tax Law and the Role of Courts,34
2,IX. What Is Income?,38
3,the store of property rights between the beginning and end of the period in question.,39
4,If Algebra or Economics Scare You —,39
5,Some Obvious or Not-so-Obvious Implications of the SHS Definition of “Income”,40
1,a. Taxing Income Is Taxing Consumption Plus Increments to the Power to Consume,41
2,Basis — Or Keeping Score with the Government,45
2,SHS Accounting for Spending Savings,48
3,Borrowing Money,48
1,Chapter 2: What Is Gross Income: Section 61 and the Sixteenth Amendment,51
2,26 Title I. — Income Tax,54
3,What have you learned?,49
4,Wrap-up Questions for Chapter 1,49
1,Part I. — On Individuals,54
1,I. Background,72
1,II. Analysis,73
2,B. Section 104(a)(2) of the IRC,73
3,C. Section 61 of the IRC,74
4,D. The Congress’s Power to Tax,77
5,2. Uniformity,82
1,II. The Constitutional and Statutory Definitions of “Gross Income:” Accessions to Wealth,86
2,A. Some Recurring Themes,86
4,Does the Commissioner’s position follow from the Supreme Court’s holding in Old Colony Trust?,92
5,What is the constitutional limitation upon Congress’s power to enact indirect taxes?,85
1,B. Section 61(a)(3): Gains Derived from Dealings in Property,102
2,e Does Judge Brown’s analysis support his conclusion?,98
1,DISCUSSION,108
1,(a) Inclusion in amount realized.,110
2,(1) * * *,110
3,(c) Examples * * *,110
4,treated independently. [citation omitted],110
5,to pay for something is a recognition event. Why?,111
6,Rev. Rul. 79-24 GROSS INCOME; BARTER TRANSACTIONS,112
1,FACTS,112
3,How much must Taxpayer report as gross income derived from the sale of Blackacre?,113
3,How much must Baxter Realty report as gross income derived from its dealings in Blackacre?,113
2,Improvements to Leaseholds and the Time Value of Money,113
3,Unamortized cost equals adjusted basis.,114
4,in two succeeding editions of the Treasury Regulations.,114
1,e What is conceptually wrong with §§ 109 and 1019? Isn’t there some untaxed consumption? Where?,118
2,How much gross income must taxpayer recognize for receiving the building and when?,120
3,E. Imputed Income,126
1,III. The Constitutional and Statutory Definitions of “Gross Income:” Realization,129
1,IV. The Constitutional and Statutory Definitions of “Gross Income:” Dominion and Control,145
3,B,139
1,Chapter 3: Exclusions from Gross Income,154
3,What have you learned?,152
1,MINUS deductions named in § 62 EQUALS (adjusted gross income (AGI)),154
2,Minus (standard deduction or itemized deductions) MINUS (personal exemptions) EQUALS (taxable income),154
3,Compute income tax liability from tables in § 1 (indexed for inflation) MINUS (credits against tax),154
1,The Society and Government that We Want,155
1,A Diedrich v. Commissioner of Internal Revenue,171
2,e Would § 274(b)(1) change the result of either Duberstein or Stanton?,167
3,Might these points ever be important in matters of estate planning? How so?,168
2,from the obligation to pay the gift tax.,174
1,On how much gain should taxpayer pay income tax? 4. Read Reg. § 1.1001-1(e)(1). This is the rule that the IRS applied in Diedrich.,177
1,@eaur,178
2,B. Exclusion of Gain from Sale of Principal Residence: § 121,178
3,c—/ Lessons,179
4,C. Interest on State and Local Bonds: § 103 Read §§ 103 and 141.,179
5,e State and local governments may elect to finance “too many” capital,180
1,II. Social Benefits,182
2,A. Life Insurance Death Benefits: § 101,183
3,When (why) would transfers such as those described in § 101(a)(2)(B) occur?,184
3,What is the amount and character of A’s income recognized upon the surrender or sale of the life insurance contracts described in the situations below?,185
1,FACTS,185
2,LAW AND ANALYSIS SITUATION 1,186
3,Amount of income recognized upon surrender of the life insurance contract,186
1,SITUATION 2,186
1,SITUATION 3,188
1,HOLDINGS,188
3,Read § 105. What rule emerges from §§ 105(a and b)?,192
1,Basic Federal Income Taxation: Gross Income,193
2,Do: CALI Lesson,193
3,Damages and Related Receipts,193
3,C. Social Security: § 86,193
4,e “(b)(1)(A) amount” of income that is above the statutory “adjusted base amount.”,194
5,D. Unemployment Benefits: § 85,197
1,III. Employment-Based Exclusions from Gross Income,197
2,A. Group Term Life Insurance: § 79,197
2,B. Educational Assistance Programs: § 127,198
2,C. Dependent Care Assistance Programs: § 129,198
2,E. Meals or Lodging Furnished for the Convenience of the Employer: § 119,199
1,A The starting point in the determination of the scope of “gross income” is the cardinal principle that Congress in creating the income tax intended “‘to use the full,200
4,e What conclusion did it suggest?,203
1,F. Employee Fringe Benefits: § 132,212
2,Explanation of Provisions,214
3,Springfield Memorial Hospital operates a cafeteria for its workers,217
1,Chapter 4: Loans and Cancellation of Indebtedness,221
3,What have you learned?,220
1,III. Is It a Loan? Is There an Accession to Wealth?,228
2,Income From the Discharge of Indebtedness,232
3,Enforceability,233
4,Disputed Debt,235
5,Deductibility of Gambling Losses,235
1,Purchase Money Debt Reduction,235
4,change for petitioner’s markers.,244
5,I. [The court recounts the facts. |,245
1,IV. Section 108(a)'s Other Provisions,253
2,V. Transactions Involving Property Subject to a Loan,255
3,What would be the rule if the obligation were a recourse obligation?,257
4,II,259
1,B,262
2,Ii,266
3,e Did the lender in Tufts discharge any indebtedness?,269
4,Rey. Rul. 90-16,270
5,FACTS,270
1,HOLDING,272
2,FACTS,273
1,HOLDING,275
2,through doi or through realization of the amount of the obligation?,276
3,VI. Transactions Treated as Loans,276
1,Wrap-up Questions for Chapter 4,280
2,What have you learned?,280
3,When a taxpayer is insolvent,281
3,What the conditions of excludability of a purchase money debt reduction under § 108(e)(5) are,281
1,Chapter 5: Progressivity and Assignment of Income,282
2,What a recourse loan is; what a non-recourse loan is,281
3,The courts have created the “assignment of income’’ doctrine to prevent abusive,283
