1,Bioethics and the Patent Eligibility of Human Embryonic Stem Cells-Related Inventions in Europe,4
2,Bioethics and the Patent Eligibility of Human Embryonic Stem Cells-Related Inventions in Europe,1
3,Cells-Related Inventions in Europe,1
1,Introduction,8
2,Il. Background to the Science,14
3,A. What Are Stem Cells?,14
3,B. Source of stem cells,14
1,II. Background to the Science,15
2,1. Adult Stem Cells,15
3,2. ESCs,15
4,3. iPSCs,16
1,III. Legal Provisions Applicable to the Patent Eligibility of hESC-Related Inventions,18
1,The EPC governs a centralized examination procedure,18
2,TRIPs Article 27 and Patentable Subject-Matter,19
3,Ethics and Stem Cell Related Patents,22
4,Ethics and Patent Law: Morality Based Exclusion,22
5,Patent Law Isolated from Morality Based Provisions? Legislative Discretion,23
1,A Closer Look at the EPC,26
2,Specific Examples of Immorality in the Biotech Directive,29
1,Moral Status of Human Embryos and Its Implications for the hESC Research,31
2,Debate on whether Human Embryo Has Human Dignity,32
3,Double-Edged Sword: A Need of Compromise Considering Different Methods of Obtaining hESCs,33
1,Research on Embryos Within 14 Days After Fertilisation,33
2,Research with Supernumerous Embryos,34
3,Research with Embryos from SCNT,35
4,The Panorama in Europe,36
5,The Patent Eligibility of hESC-related Inventions,37
1,The Destruction of Human Embryos for hESCs,38
2,The Creation of Human Embryos for hESCs,40
1,Application of the EPC,41
2,Lack of Uniform Moral Standard,41
3,Application of the EPC,42
2,Attempts to Create a Uniform Morality Standard,43
1,VI. EPO’s Web of Precedents,48
2,A. University of Edinburgh Case,48
3,2. The Rationale,51
4,an integral part of the industrial or commercial exploitation of the claimed invention.,53
5,VII. CJEU’s Briistle Judgment,56
6,A. Background,56
1,A. Background,56
2,cells were obtained from oocytes after nuclear transfer,56
3,cells obtained from embryonic germ cells,56
1,B. The Rationale,58
1,C. Comparison of WARF and Briistle Cases,63
1,E. Implications of the CJEU’s Judgment to the Future of hESC-Related Inventions,67
2,Germany,67
3,The EPO,71
1,VII. Conclusion,73
3,The development cycle until the birth.,76
4,TWO PATH FOLLOWED BY STEM CELLS: SELF COPYING AND DIFFERENTIATION stem cell,77
5,self copying stem cell differentiated stem cell to specialized cell,77
6,ANNEX III,78
7,EMBRYONIC STEM CELL EXTRACTION AND THEIR DIFFERENTIATION  Nutrition materials for cells,78
1,ANNEX V,80
2,SOMATIC CELL NUCLEAR TRANSFER (SCNT) hESCs from nuclear transfer,80
3,INDUCED PLURIPOTENT STEM CELLS (iPSCs),81
4,‘genetic reprogramming’ = add certain genes to the cell,81
1,List of Works Cited,82
2,Articles,82
2,Biotechnology and Patents,84
3,Intellectual Property Rights: Ethical Aspects,84
1,Monographies,84
2,Ethics of Emerging Technologies,84
1,International Treaties,85
1,MIPLC Class Materials,87
3,The Oxford English Dictionary 421 (2nd ed. 1989),87
