1,Asia-Pacific Environment Monograph 2,1
2,BOATS TO BURN: BAJA FISHING ACTIVITY IN THE AUSTRALIAN FISHING ZONE,1
3,List of Maps,8
4,List of Figures,8
1,Boats to Burn,12
2,Foreword,11
3,List of Plates,9
4,of Plates,9
1,Acknowledgments,15
2,Abbreviations,19
3,Chapter 2: Bajo Settlement History,27
1,Origin and Dispersion of the Sama-Bajau,29
2,The Tukang Besi Islands,32
3,Kecamatan Wangi Wangi Kaledupa Tomia Binongko,34
4,Population 34 081 14 379 12 948 11 843,34
2,Bajo Settlements in the Tukang Besi Islands,35
1,The Villages of Mola Utara and Mola Selatan,36
2,Other Bajo Settlements,41
2,The History of Bajo Settlement in the Tukang Besi Islands,42
2,The Kahar Muzakkar Rebellion and Bajo Migration,44
1,Chapter 3: The Maritime World of the Bajo,51
2,Bajo World Views,51
2,Supernatural Beings,51
2,Magic and Ritual,53
3,Bajo Settlement at Pepela,48
1,Concepts of the Soul,54
2,‘Custom’ (Adat),56
3,Maritime Livelihoods,57
4,The Monsoon Regime,57
5,The Local Fishing Economy,58
1,Distant Shore Fishing Activities,61
2,Ngambai Net Fishing,63
3,The technique can be described essentially as a fish drive requiring around,64
4,Maritime Technology,65
1,Chapter 4: Bajo Voyages to the Timor Sea,77
2,Rituals of Boat Construction,70
3,The Drilling of the Navel and Ritual Launching,72
3,The Bajo Encounter with Tuan Robin,81
4,The Bajo Encounter with British Airmen in 1936,86
5,Bajo Fishing in the Timor Sea Before World War II,92
1,Chapter 5: Australian Maritime Expansion,103
2,The Bajo Encounter with Australian Scientists in 1949,94
1,Australian Government Perspectives in the Post-War Period,105
2,New Bilateral Arrangements with Indonesia,108
3,The 1974 Memorandum of Understanding,109
1,INDONESIA,110
2,Australian Enforcement of the MOU,111
5,Extension of the Australian Fishing Zone,114
1,The Ashmore Reef National Nature Reserve,115
2,Amendments to the 1974 MOU,118
3,The Institutional Regime,120
1,Types,121
2,Apprehensions in Darwin and Broome 1985-93,123
3,Q31. Do you have any knowledge of such a thing called the Australian Fishing Zone?,123
4,Q42. Do you have anything else you wish to say?,124
1,Policy Reviews in the Mid-1990s,134
2,Chapter 6: Bajo Responses to Australian Policy,137
3,On 12 March the Pacific Adventurer towed all four vessels to the outer limit of,125
3,Twenty of these industrial shark boats were apprehended in 1989 and 11 in,126
3,on board and two lines set. The boats were apprehended and towed to Darwin?,130
1,The Growing Focus on Sharks,138
2,With the increase in Australian surveillance and enforcement measures from,142
3,Bajo Perceptions of Australian Policy,144
2,Shark Fins and Longlines,146
1,The dramatic rise in the value of shark fin during the late 1980s and early 1990s,149
2,Black fin cut potong biasa potong semi potong full,150
3,Price per kilogram (Rp) 40 000 105 000 150 00,150
2,Preparations for Departure,155
2,Perahu Sumber Jaya Cahaya Mola Tunas Baru,157
2,The Day of Departure,161
2,The Bajo Fleet in Pepela,163
3,Mola Pepela in Pepela Bajo crew Mantigola,164
1,The Fishing Grounds,169
2,Navigation Techniques,169
3,No. of trips 1 2 3 4 Total,164
4,No. of perahu 6* 26 32 10 194,164
3,Utara,170
1,Fishing Rituals,172
2,The Economics of Shark Fishing,174
3,The Trader-Bosses of Pepela,175
3,Grading and Marketing Shark Fin,176
2,Credit and Profits,180
1,Financial Independence and Indebtedness,184
2,Karya Satu 1 200 000 6 000 000,185
3,Sumber Bahagia 10 000 000 3 000 000,185
4,Sumber Jaya 7 000 000 6 083 000,185
1,Chapter 8: An Evaluation of Australian Policy,191
2,The Risk and Cost of Apprehension,187
3,What is ‘Traditional’ Activity?,192
4,In an overview of developments in the ‘invention of tradition’ literature since,193
1,Traditional’ Activities in the MOU,194
2,The Case of the Karya Abadi,196
3,Commerce and Tradition,198
4,How Effective is Australian Policy?,201
1,The Australian Aid Program,203
2,The Record of Apprehensions,205
3,Year Total Type 2 Bajo Type 2,207
2,New Policy Approaches,208
1,A Licensing System,208
2,Reasons for Inaction,209
3,Appendix A: Sources on Indonesian Fishing in Australian Waters,215
2,Memorandum of Understanding of 1974,219
3,North West Coast of Australia,220
1,Arafura Sea,221
2,Fishing in waters between Christmas Island and Java and other waters,221
3,Wildlife Cooperation,221
4,Consultations,221
1,Nomadic Peoples,231
2,Recent Research on Southeast Asian Nomads.,231
2,Malays’ as Indentured Labour: Western Australia 1870-1900,231
1,Philippine Studies,232
2,Religious Beliefs of the Tawi-Tawi Bajau.,232
1,Applied Anthropology in Australasia,233
2,Constructions of Aboriginal Tradition for Public Purpose.,233
1,Unpublished Reports on Marine Surveys,234
2,Index,237
