1,BORDER FLOWS: A Century of the Canadian-American Water Relationship,1
2,Canadian History and Environment Series,4
3,Series Editor ISSN 1925-3702 (Print) ISSN 1925-3710 (Online),4
2,A Century of the Canadian-American Water Relationship,5
3,Edited by LYNNE HEASLEY and DANIEL MACFARLANE,5
1,Negotiating Abundance and Scarcity: Introduction to a Fluid Border,21
2,LYNNE HEASLEY AND DANIEL MACFARLANE,21
4,Mean Annual Precipitation (mm) 1981-2010 (7-20 a>1-,27
1,Borders embody dualisms,28
2,The Boundary Waters Treaty of 1909 and the IJC figure prominently in Border Flows,30
3,Notes,38
4,The foundational work of North American water history on which historians and theorists continue,38
1,PART ONE,45
1,Political Ecologies on the Border,47
2,Openings,47
3,DAVE DEMPSEY,47
4,“Pollution doesn’t respect political boundaries.”,47
2,Noau D. HALL AND PETER STARR |. Introduction: The Origins of United States- Canada Water Management,57
3,|. Introduction: The Origins of United States- Canada Water Management,57
1,Illinois,60
2,U.S. Context: Approaches to Transboundary (Interstate) Water Management,60
3,Interstate Water Allocation through Equitable Apportionment,61
3,Interstate Water Allocation through Interstate Compacts,61
3,Historical Interstate Nuisance: Example of the Chicago Diversion Litigation,63
1,Contemporary Interstate Nuisance: Asian Carp and the Chicago Diversion Today,65
2,Ill. Binational Context: International Agreements on Water Management,67
3,THE GREAT LAKES WATER QUALITY AGREEMENT,67
4,THE GREAT LAKES CHARTER OF 1985,69
5,ANNEX 2001 TO THE GREAT LAKES CHARTER,71
1,STATE-PROVINCIAL COOPERATION UNDER THE GREAT LAKES AGREEMENT,76
2,INTERSTATE MANAGEMENT UNDER THE GREAT LAKES COMPACT,78
3,e improvement to the Waters and Water-Dependent Natural Resources of the Great Lakes Basin; and,71
5,pass a reasonable-use balancing test.”,75
1,IV. CONCLUSION,79
3,Great Lakes Water Quality Agreement of 1978,81
5,Council of Great Lakes Governors,81
2,Introduction,83
3,Il. Defining “The Border”: A Process of Social Construction,84
4,lll. Sharing a Continent: Indigenous Space and Governing Water,87
3,Making Native Space: Water Is Life ... Billy’s Story,90
4,The Coast Salish Gatherings Today: A Transboundary Success Story,94
1,IV. Sharing a Landscape: Watershed Boundaries as “New” Borderlands,95
2,Beyond the Westphalian Model,95
3,The IJC Embraces Integrated Water Resource Management,97
4,The Hidden Complexity of Watershed Boundaries: Challenges and Uncertain Outcomes,98
5,V. Conclusion: Sharing a Landscape,100
1,Contesting the Northwest Passage: Four Far-North Narratives,101
2,ANDREA CHARRON,105
3,Is the Northwest Passage of the Arctic an international strait or historic internal waters? A transnational economic throughway or one country’s sovereign territory? The diplomatic and environmental history of the,105
1,A Nineteenth-Century Frontier: The Initial Claim,106
2,Ill. 1970-1990: A Region to Protect Environmentally,112
3,IV. Present Day: Resources to Develop,117
1,Transboundary Power Flows,131
2,MATTHEW EVENDEN,131
2,Matthew Evenden,138
3,Introduction,141
4,DANIEL MACFARLANE,141
5,Negotiations,143
6,Ontario,144
1,Postwar Agreements,148
2,Construction,151
2,Lake St. Lawrence,152
4,unbroken and satisfactory crest line while allowing for the diversion of water for power production.,155
2,Conclusion,162
1,Dam the Consequences,165
2,Niagara Falls Preservation Program Starts,165
3,Many Fine Homes Soon to Disappear—St. Lawrence Families’ Plight,165
4,Clio in Canada: The Interpretation of Canadian History,166
5,The Kingdom of Canada: A General History from Earliest Times,166
1,Quebec’s Water Export Schemes: The Rise and Fall of a Resource Development Idea,169
1,Power from the North: Quebec experimenting with the water export idea,172
2,Strong Lobbying by the Business Community,175
3,Water Tanker Exports: Saving the Water-Poor Is Not Profitable,175
4,Renewal of the Export Scheme to the United States,178
1,Canada’s Renewable Freshwater Resources and Quebec's Share,182
2,Setting Harmonized Thresholds of Water Withdrawal Impacts,185
1,Engineering a Treaty: The Negotiation of the Columbia River Treaty of 1961/1964,187
2,JEREMY MOUAT,187
1,Revue Internationale d’Histoire Militaire,211
3,The Columbia River Treaty,211
2,Mountain Social Science Journal,212
1,BC government's negotiations with the Wenner-Gren interests in,214
2,David Mitchell Fonds,215
1,PART THREE,223
2,Challenging the Border: Ecological Agents of Change,223
3,Border Ecologies in Boundary Waters,225
4,Memorandum on Implications of Treaty Delay,216
2,JOSEPH E. TAYLOR III,233
3,Lone Star (1996),233
4,NANCY LANGSTON,257
1,Lake Trout,259
2,Lake Superior Overview,260
1,Watershed Changes,263
1,Loggers on the American shores of Lake Superior between 1890 and 1910 created new disturbances,265
2,Fishing,266
2,Sea Lamprey,269
2,Lake Trout Recovery,271
1,Climate Change and Lake Superior,273
3,Conclusion,275
4,References,277
1,Law Textbook Chapters,278
2,Contributors and Authors,278
3,Thomas A. Edsall and Murray,278
3,Nancy Langston,278
1,Research Topics and Studies,279
1,Case Studies in Environmental Science,280
1,The Lakes at Night,283
2,Jerry Dennis,283
3,Note,287
1,Crossings Jeremy MouAtT,289
2,Jeremy MouAtT,291
1,Meditations on Ice,293
2,CoLIn A.M. DUNCAN AND ANDREW MARCILLE,293
3,Bordering on Significance?,297
4,DANIEL MACFARLANE,297
5,Leading Waters,307
6,Noau D. HALL,307
1,Headwaters of Hope,313
2,Dave Dempsey,313
3,Noau D. Hall,307
3,Lynne Heasley,309
1,Keeping Up the Flow,317
2,GRAEME WYNN,317
2,Il. Printed Primary Sources and Government Documents,328
1,Ill. Secondary Sources,330
