1,European Constitutional Law Network-Series Vol. 10,1
2,Ingolf Pernice | Ana Maria Guerra Martins (eds.),1
3,Brexit and the Future of EU Politics,3
1,Introduction,5
2,Inhalt,13
3,Abstract,17
1,Sovereignty In The European Way,19
2,Brexit: a miscarriage of democracy,19
3,Sovereignty in general and in the context of EU,19
4,Sovereignty as a notion: more than legal,23
1,Creation of the Euro-summit and its permanent chair,24
2,Conclusion: suggestions for reading sovereignty and the EU constitution,25
3,Abstract,29
4,Ana Maria Guerra Martins,29
5,Ana Marta Guerra Martins,30
1,Brexit From The Perspective Of EU Sovereignty,31
2,The EU’s challenges to the idea of sovereignty,32
3,The EU Sovereignty Idea May Cause More Damages than Gains,34
4,Other difficulties Raised by the Extension of the Concept of Sovereignty,35
1,3 Denial of EU Sovereignty,37
2,3.1 The evolution of EMU Governance denies the EU Sovereignty,37
2,3.2 The reversibility of the UK decision of leaving the EU,38
1,4 The Role of Sovereignty within the Negotiations of Brexit,41
1,5 May EU Sovereignty emerge after Brexit?,42
1,Abstract,45
1,I. Introduction,45
2,II. Two Visions of Europe (I): An “Ever Closer Union”,47
3,A. A Union of Peoples,47
3,B. Community of Destiny,49
1,C. A Unitary Institutional Framework,51
2,D. Flexibility Within Unity,55
3,E. The Difficulties of this Vision of Europe,56
2,B. A ‘Community of Interests’,59
3,C. The Shift from Principles to ‘Values’,61
1,IV. The Institutional Mechanisms of Differentiated Integration within the EU,66
2,A. Clarity and Coherence,66
3,D. From Transitional to Permanent Differences,63
4,E. The Difficulties of this Vision of Europe,64
6,D. ‘Internal’ International Agreements: the Fiscal Compact,74
1,E. Two-speed Europe: Concept and Issues,77
2,F. A Synthesis,80
1,V. Legal Mechanisms of Integration Beyond the EU,81
2,A. A Single Market Beyond the Union: the European Economic Area,81
2,B. Schengen’s Mixed Membership,82
1,C. A Europe of Concentric Circles: a ‘Misleading Simple Idea’,85
2,E. Implications for the post-Brexit Scenario,87
3,VI. Conclusion,89
4,Abstract,91
1,I. Introduction,91
2,II. The position of the EU charter in United Kingdom,94
3,IV. Recent developments,97
4,V. Conclusions,98
1,Abstract,101
2,I. The Brexit Process as an Exercise of Democracy,104
3,A. The Cameron Strategy was democratic,105
3,B. Advisory Referendum and Democracy,106
3,C. The Terms of Article 50 TEU as an Expression of Democracy,107
1,The Brexit Process and Democratic Challenges,110
2,The Brexit Process as a Challenge to Democracy,110
3,Union Citizens who have made use of their fundamental Freedoms,110
4,Decisions with no Voice for those affected,111
5,The Principle of loyal Cooperation as a negotiation Guideline,112
1,Stimulating democratic Processes in the EU,109
1,European Union Law and Citizens' Rights,113
2,Exclusion of Nationals in other Member States from the Vote,113
3,The European Parliament and the Union Citizens’ Rights,114
4,Protection of acquired Rights by the Countries of Residence?,115
5,Lies and Democracy,115
6,Parliamentary Democracy and Systemic Lying: Trust and Distrust,117
1,Direct Democracy: the Risks of Irreversible Decisions,118
2,‘Advisory’ Referendum?,119
3,Courts and Democracy,122
4,Rule of Law in Judiciary Proceedings,123
1,Lessons learned: Democracy in the EU,123
1,Dynamics of Democracy: What if Brexit loses Support?,124
2,Growing Awareness of the Externalities of national Politics,127
3,People and Citizens of Member States acting as Citizens of the EU,129
4,Conclusion,129
1,Brexit and its Economic Effects,133
2,I. Internal Market and the UK,133
3,II. Economic Impacts of Brexit,134
4,III. Legal Framework for UK’S ‘Access to the EU Single Market’,139
5,IV. Financial Contribution,142
1,I. Introduction: the current debate on non-national EU citizens social rights in a host State,145
2,Abstract,145
3,Rut Lanceiro,145
4,III. The evolution of the case-law: the UK child benefit or child tax credit case,160
5,Conclusive Remarks,143
1,Immigration after Brexit: Ironies and Challenges,185
2,I. Introduction,185
3,V. Critical Analysis,172
1,II. Immigration of Third Country Nationals: Reversed Dynamics,186
2,A. Status Quo: Extended Opt-out,186
2,B. Brexit: Loss of the Opt-in Option,187
2,C. The Future: Reversed Dynamics,189
1,III. British-Irish Border: The Search For Pragmatic Solutions,190
1,IV. EU Citizenship and Free Movement Of Persons,193
2,A. Securing Citizens’ Rights,193
2,B. Intra-European Mobility and Immigration After Brexit,196
1,A. Immigration and Border Controls,191
1,B. Customs Controls and the so-called “Backstop”,192
1,Introduction,201
2,Abstract,201
3,Conclusion,197
1,The declaration mentions in its introduction the determination of the Union and the United Kingdom,208
2,The UK would also have to leave the European Investment Bank (EIB).,212
3,IV. The economic and social consequences for the UK,214
4,V. The impact on the continental financial markets*,216
1,VI. Some short conclusive remarks,225
2,Stefan Griller,227
3,Abstract,227
4,Introductory Remarks,227
1,I. On the Dynamics of EMU-participation and EMU-reform,228
2,II. On the Importance of Commercial Presence on 31 October 2019,230
3,III. On the Systemic Importance of Clearing Houses,233
4,Common Foreign and Security Policy After Brexit,235
1,II. Initiatives addressing CFSP and CSDP after Brexit: the EU and the UK perspectives,247
2,A. The EU Perspective,247
3,Conclusion of such agreement*,255
4,A. The Agreement on the Withdrawal and the Common Foreign and Security Policy,264
5,Art 127 (7) (a) of the Withdrawal Agreement,265
3,A. Common grounds as a basis of the future EU-UK relationship,269
4,B. Possible issues and forms of cooperation to be addressed,272
