1,Series Editor,2
2,David Freestone,2
3,VOLUME 23,2
1,Climate Change and International Shipping,3
2,The Regulatory Framework for the Reduction of Greenhouse Gas Emissions,3
1,Contents,5
2,Classification: LCC K3593.5.C37 $449 2017 (print) | LCC K3593.5.C37 (ebook) | DDC 344.05/738746—dc23,4
3,ISSN 1875-0923 ISBN 978-90-04-32930-0 (hardback) ISBN 978-90-04-32931-7 (e-book),4
6,7:7,7
1,Foreword,9
2,Series Editor Preface,10
2,Acknowledgements,11
3,Introduction 423,7
4,Applicable International Environmental Law Principles 423,7
5,Findings on Main Stakeholders in GHG Emissions from International Shipping 426,7
1,Introduction,19
2,11 Greenhouse Gas Emissions as a Regulatory Challenge,22
3,11.1 Greenhouse Gas Emissions and Climate Change,23
1,An Overview of Climate Change,23
2,Global anthropogenic GHG emissions.*®,27
3,Transboundary Nature of Greenhouse Gas Emissions,27
2,Contribution of International Shipping to Greenhouse Gas Emissions,32
3,Introduction to International Shipping,32
1,Seaborne trade and World Merchant fleet > 100 GT,37
2,FIGURE 1.2 World seaborne trade and merchant fleet (Fearnleys Review),37
3,Greenhouse Gas Emissions from International Shipping,38
4,TABLE 1.1 Definitions of the ship categories that have been used in the emissions inventory®®,35
5,Ship Type Sub-type of Ships and their Definitions,36
1,1 Overview of Emissions and Regulatory Framework,40
2,1.2 General Emissions Statistics from International Shipping,40
3,TABLE 1.2 Summary of GHG emissions from shipping * during 2007,41
2,1.3 Statement of the Problem,44
2,1.4 Scope of the Book and Chapter Outline,47
1,TABLE 1.3. Book chapters and main line of argument,48
2,GHG EMISSIONS FROM INTERNATIONAL SHIPPING 33,51
3,The Concept of ‘Pollution’,51
4,‘Pollution’ and Greenhouse Gas Emissions from International Shipping,55
5,Legal Analysis of Treaty Definition of Pollution,55
1,2 Jurisdiction over Greenhouse Gas Emissions from International Shipping,62
2,2.1 National Legislation on the Legal Nature of GHG Emissions,58
3,2.1.2 National Legislation on the Legal Nature of GHG Emissions,58
4,2.1.2.2 National Legislation on the Legal Nature of GHG Emissions,58
5,2.2.1 The Concept of Jurisdiction,62
6,2.2.3 Coastal State Jurisdiction,67
7,2.2.4 Port State Jurisdiction,71
1,Environmental Liability for Transboundary Harm Caused by Greenhouse Gas Emissions from International Shipping,74
4,When applying this provision to the adoption of amended Annex vi to MARPOL,86
5,Apply precautionary measures pursuant to the doctrine of 'no regrets',95
2,Responsibilities,103
3,treatment as an incentive for developing States to participate in multilateral environmental agreements.,108
3,To date this principle has been consistently applied without exception to all,110
1,Different Categories of Polluters,125
2,Category Criteria of Polluters Types of Persons as Polluters,125
4,Different categories of polluters (cont.),126
1,Category Criteria of Polluters Types of Persons as Polluters,126
3,Different cost bearing arrangements by regional or international instruments,126
4,Regional or International Instruments  Types of Cost Bearing,127
5,Category Sub-category Examples,128
6,Regulatory Regime Command and control — Fuel sulphur emission limits in MARPOL Annex VI Self-regulation Market-based instruments,128
1,The UN Response to the Issue of Greenhouse Gas Emissions from International Shipping,136
2,TABLE 3.1 Evolution of the international climate change regime®,160
2,IPCC,161
3,Second World Climate Change Conference,161
2,UNFCCC COP 1,161
3,COP 2,161
2,Global mean temperature likely to increase by about,161
3,TABLE 3.1 Evolution of the International Climate Change Regime (cont.),162
4,Stage of Development Major Outcomes Meeting Date,164
5,Montreal Action Plan 28 Nov—g Dec 2005,164
1,Evolution of the International Climate Change Regime,166
2,TABLE 3.1 Evolution of the International Climate Change Regime (cont.),166
3,COP/CMP Key Elements/Contributions,165
4,COP 9 The Milan conference adopted decisions on the institutions and procedures of the Kyoto Protocol and the implementation of the UNFCCC.,165
5,COP 12 Accepted Belarus as an Annex B Party under the KP. /CMP 2,165
6,Endorsed the 1pcc Fourth Assessment Report of 2007; Bali Road Map is made up of a set of decisions that ,165
7,Copenhagen Accord 7-18 Dec 2009 Cancun Agreements 29 Nov—10 Dec 2010,166
8,COP/CMP Conferences,167
9,COP 15 /CMP5,167
10,COP 16 | CMP 6,167
11,COP 17,167
1,COP 17 / CMP 7,167
2,Raised climate change policy to ‘the highest political level’;,167
1,Lima Call for Climate Action,168
2,Paris Agreement,168
3,1-12 Dec 2014 30 Nov—11 Dec 2015,168
1,COP 20 /CMP 10,169
1,COP 21/CMP 11,169
4,The IMO Response to the Issue of Greenhouse Gas Emissions from International Shipping,195
1,The IMO's Structure and Membership,198
2,Main Events of the IMO’s Work on GHG Emissions from International Shipping*,203
5,MEPC Study on GHG Emissions from Ships,203
1,MEPC 59,204
2,Jul 2009 (designated Emission Control Area for sox and NOx),204
3,MEPC 59/ INF.10,204
1,THE IMO RESPONSE TO THE ISSUE OF GHG EMISSIONS,205
1,MEPC 64 Oct2012 Implementation of energy efficiency; MEPC.224(64),205
2,TABLE 4.1 Main events of IMo’s work on GHG emissions from international shipping (cont.),206
3,Meetings Meeting Major Outcomes Base Documents Date,206
4,Meeting Date,207
5,* alternative sources of energy.”,216
2,TABLE 4.2,217
3,Technologies for EEDI reduction,217
2,Remark,217
3,Optimised hull dimensions and form,217
2,dimensions and form,217
1,Ship design for efficiency via choice of main dimensions,217
3,(port and canal restrictions) and hull forms. 2 Lightweight construction New lightweight ship construction material.,217
2,SEEMP related measures?*,221
3,No. Energy Efficiency Measure Remark 1 Engine tuning and Engine operational performance and condition monitoring optimisation.,221
1,No. Energy Efficiency Measure Remark,221
2,Energy Efficiency Measures,221
3,Engine tuning and Engine operational performance and condition monitoring optimisation,221
3,Hull condition Hull operational fouling and damage avoidance,221
3,Propeller condition Propeller operational fouling and damage avoidance,221
1,Annual emission reduction by 2050 and new emissions levels (scenario A1B-4),227
2,FIGURE 4.2 Annual emission reduction by 2050 and new emissions levels (scenario A1B-4) - Context and Source,227
1,Seven types of MBM proposals submitted to the IMO (as of May 2013),234
2,TABLE 4.4 Seven types of MBM proposals submitted to the IMO (as of May 2013) - Details,234
3,MBM proposals Proponents Working mechanisms / Grouping of Base documents,234
1,Mechanism - In-Sector’ and ‘In-Sector & Out-of-Sector',235
1,In-Sector,235
2,Emission Reduction,236
3,Grouping: In-Sector & Out-of-Sector,236
4,Emission Reduction,237
5,Shipping Integrated with the International Maritime Emission Reduction Scheme. (integrated option),237
1,The origin of the modern shipping industry can be traced back to the year 1787 when steamships emerged.,245
2,* views and practice on proposed market-based measures (MBMs); and,246
3,views and practice on other issues in relation to the reduction of GHG emissions from ships.,246
1,Shipbuilding Deliveries (GT),252
2,as polluters who should be held responsible for employing the services of sub-standard vessels.34,253
1,(8) accommodating to leading technologies in the field of energy efficiency; and,255
3,the desired transparency will be provided.9°,264
3,resonates with other legislative developments around the world; and,279
2,Complexity in Defining Responsible Bodies About Emission Rights and Obligations,299
3,Uncertainty in ETS Market,299
1,India's Maritime Geography and Resources,301
1,Response from Flag & Port States to the Issue of GHG Emissions,307
3,Calculation Process Discussion at 65th MEPC Meeting,316
3,its Resolution A.963(23) adopted at the 23rd Session of the 1mo Assembly on,336
2,Or,339
3,Sources of funding and financing; and,350
4,Evaluation and reporting.?2,350
1,SCOPE 1,360
2,FIGURE 6.1 GHG emissions scopes relating to port operations.,360
3,LEGAL & INSTITUTIONAL FRAMEWORKS FOR REGULATING GHG EMISSIONS 357,375
4,The EED! is the main technical measure that the Mo has adopted in tackling GHG emissions from international shipping.,387
1,Effective Monitoring and Regulatory Frameworks,391
2,Monitoring of SEEMP Implementation via Rigorous Audits and Reviews,391
3,Collaboration between Industry Stakeholders and Solutions to Split-Incentives,391
4,International and Domestic Regulations and Standards,392
5,Port State Levy (PSL) and Other Proposals,404
6,Efficiency Incentive Scheme (EIS),404
7,Ship Efficiency and Credit Trading (SECT),404
1,Ship Efficiency and Credit Trading,404
2,Penalty on Trade and Development (Bahamas),405
3,TABLE 7.1. Grouping of the MBM proposals based on the reduction sectors,407
1,Conclusion,441
2,it has also been described as reflecting an ‘unprecedented normative and,428
3,technical and operational improvements,423
4,The harm is caused between the flag State and a third State; or,442
5,Bibliography,451
2,BIBLIOGRAPHY,453
1,International Monetary Fund (IMF),459
4,Imo Mandatory Energy Efficiency Measures for International Shipping: The First Mandatory Global Greenhouse Gas Reduction Instrument for an International Industry,459
5,International Environmental Law,459
6,Legality of the Threat or Use of Nuclear Weapons (Advisory Opinion),460
7,Rethinking Risk and the Precautionary Principle,461
1,Report of the Conference of the Parties on Its Eighteenth to Nineteenth Sessions,462
5,Report of the Marine Environment Protection Committee on Its Fifty-Sixth to Forty-Ninth Sessions,465
1,Clean Air Act of the United States of America,471
2,Application of EEDI to Ships other than Those Operating with Conventional Machinery and Power Distribution Arrangements,475
2,Comments on the Guidelines on the Method of Calculation of the Energy Efficiency Design Index for New Ships,476
2,Further Details on the Proposal of the United Nations to Reduce Greenhouse Gas Emissions from International Shipping,479
2,Doc MEPC 63/5/8 (23 December 2011),482
1,Partnerships in Environmental Management for the Seas of East Asia,483
2,Procedures for Port State Control,483
2,Proposal Submitted on behalf of the Group 77,484
1,Protection of Global Climate for Present and Future Generations of Mankind,484
1,Rio Declaration on Environment and Development,485
1,Scientific Study on International Shipping and Market-Based Instruments,485
2,Stockholm Declaration on the Human Environment,485
1,World Ports Climate Initiative,493
2,World Trade Organization (wTo),493
3,Index,494
4,HCS (Hellenic Chamber of Shipping) 263 Hybrid market-based measure 223,495
5,IsF (International Shipping Federation),496
6,Iso (International Organization for Standardization),496
1,ISO (International Organization for Standardization),496
2,ITLOS (International Tribunal for the Law of the Seas),496
2,NDC (Nationally Determined Contribution),497
3,Based Measure,498
1,UNCED (United Nations Conference on Environment and Development),498
