1,Beitrage zum auslandischen und internationalen Privatrecht,2
2,Herausgegeben vom Max-Planck-Institut fiir auslandisches und internationales Privatrecht,2
5,e-ISBN PDF 978-3-16-154407-1 ISBN 978-3-16-154406-4 ISSN 0340-6709 (Beitraége zum auslandischen und internationalen Privatrecht),5
1,Preface,6
2,Contents,10
3,Abbreviations,15
1,I. Introduction,20
2,1. The collective dimension,21
3,2. EU law and some other international legal instruments,22
2,Collective Labour Law in the Nordic Countries,22
1,II. Basic features in the development of Nordic labour law,23
2,I. The liberal era — the beginning of a new order,23
4,3. Legislation confirming self-regulation,25
5,4. Collective labour law today,26
1,Labour market organizations and trends,28
2,The trade union representative,30
3,Industrial action,31
4,Codetermination — information and consultation,32
5,The individual contract and labour law,34
1,Employment protection,35
2,Discrimination law,36
3,Challenges and impact from EU law,38
4,Collective regulation of working life together with state intervention?,41
5,Self-regulation within the framework of law,41
1,Self-regulation and the development of a reflexive law,41
2,Regulations on the individual employment contract,43
3,International influences and enforced individual rights,43
1,Final conclusions,44
1,Collective Bargaining in Germany and its Interaction with State Legislation and Individual Employment Contracts,46
1,I. Legal sources regulating the terms of employment and the two mechanisms of collective bargaining,48
2,a) Tarifvertrag,48
2,b) Betriebsvereinbarung,50
1,2. Hierarchy of legal sources,51
1,III. Current trends and developments,53
1,Flexibilisation,53
2,Advantages of flexibilisation: the case of working time regulation,54
2,Risks of flexibilisation: the case of temporary agency work,55
1,Decentralisation,57
2,Main aspects of decentralisation,57
1,The German model of collective bargaining,64
2,Impact on system of collective bargaining,59
3,Legislative responses,60
4,Decentralisation of collective bargaining within companies,61
5,Europeanisation,63
6,Summary,64
1,Collective Bargaining in the UK and its Interaction with State Legislation and Individual Employment Contracts,66
2,I. Introduction,66
3,II. Overview of collective bargaining in the UK,68
4,I. The contract of employment,70
5,2. Employment legislation,72
1,(2) A sex equality clause is a provision that has the following effect—,73
3,Contract of employment,74
2,or supplement Statutory rights the contract of employment,74
1,3. Collective agreements,74
1,IV. The voluntary role of collective agreements in UK labour law,77
2,I. Voluntary incorporation of collective agreements into the contract of employment: the contractual model,77
3,non-excludable,76
4,collective contract of agreement employment,76
5,2. Limited role of statutory recognition procedure,80
1,Modification of EU Imposed Standards,81
2,Contract of Employment,83
2,Conclusions,84
1,The Collective Contract System in China,86
2,Introduction,86
1,II. The significance of the collective contract system in China,87
2,III. Main content of the collective contract system in China,91
3,I. Types of collective contracts,91
4,2. Main provisions in a collective contract,91
5,3. Parties to a collective contract,92
1,IV. Improving the collective contract system in China,93
2,I. The legal nature of a collective contract,93
3,4. Concluding a collective contract,92
4,5. Effects of a collective contract,92
5,6. Dispute resolution under a collective contract,93
1,Part IT: Specific Issues of Collective Labour Law,98
2,Collective Agreements in Europe: European Social Dialogue and Contractual Autonomy,100
3,Mechanism for forming a collective contract,94
4,Improving the collective contract system,96
1,European Social Dialogue and Contractual Autonomy,102
2,I. European social partners as legislators?,102
3,I. Collective agreements at European level,103
4,2. The difficulty of implementing agreements at European level,104
2,Contractual autonomy of the national social partners: a factor in drafting transnational social law,110
3,Legitimacy of the social partners,104
3,Legal nature of agreements,107
1,International company agreements,112
2,The legislature and trade unions: the example of the European Works Council,114
1,Collective Contracts and Trade Unions in China,120
2,I. Introduction,120
3,LI Jianfei,121
1,II. Relevant definitions,122
2,1. Collective contract,122
3,2. Collective consultation,124
4,3. Trade union a) General remarks,126
5,aa) Details of the case,129
1,III. The connection between collective consultations and collective contracts,132
2,IV. The principles of collective consultations,134
3,V. The effectiveness of collective contracts,135
4,1. General remarks,135
5,bb) Trial and decision,130
1,Settlement of disputes related to collective consultations and collective contracts,136
2,A typical case: Normative priority of collective contracts,135
3,The trade union and collective contracts,137
4,Rights protection for the trade union chairman,139
5,Restrictions on demotion,139
1,General Remarks,139
2,A Typical Case: The First Case on Firing a Union President in Beijing,140
3,Removal of Protection,141
4,General Remarks,141
2,Ulla Liukkunen,146
3,I. Introduction,146
4,IX. Conclusion,142
5,b) Atypical case: Trade union chairmen fired during their terms of office,142
1,130 Ulla Liukkunen,147
2,II. International regulation and the right to strike,147
3,III. European regulatory framework,152
1,Collective Labour Conflicts in Europe,164
2,I. Introduction,164
3,Observations on imbalances in the EU regulatory approach,160
4,Concluding remarks,162
5,economic freedoms. These assessments fit poorly with the nature of the right to strike.*°,159
1,I. European Union and Council of Europe,165
2,II. Legal definitions,165
3,III. Legal basis of the right to strike,165
1,2. Constitutional guarantees a) Explicit and implicit guarantees,166
2,b) Bearer of the right to strike,167
3,c) Content of the right,167
2,d) Limitations of the right to strike,168
1,IV. The right to call a strike,168
1,V. The right to participate in a strike,169
1,VI. Lawful strikes according to their purpose,169
2,Procedural requirements,170
3,I. Exhaustion of all means of negotiation,170
4,2. Balloting,170
5,3. Obligation to notify the other party,171
1,4. Cooling off periods,171
2,VII. Peace obligations,171
3,IX. Other limitations to strikes,173
4,X. Public sector and “essential services”,174
5,2. Warning strikes,176
1,I. Legal consequences of lawful strikes,177
2,3. Rotating strikes,177
3,4. Other forms of industrial action,177
2,2. Legal consequences of unlawful strikes,179
1,XV. Conclusion,180
1,Workplace Representation in the EU,184
2,I. Introduction,185
3,II. Workplace representation is embedded in national systems and traditions,186
1,An ideal type of works council,187
3,I. Goal and function,188
4,Excursion: workplace representation and corporate governance,190
1,VI. The actors: who act as employee representatives?,190
3,Health and safety committees,191
4,VII. The establishment of works councils,192
5,Il. Thresholds,192
6,VII. Election and composition of works councils,193
7,I. Election systems,193
1,I. Election systems,193
2,b) The debate in the Netherlands,195
1,IX. The scope of I&C issues,196
1,X. Classification of I&C rights: from weak to strong,198
2,I. Positive and negative rights,198
1,I. General characteristics of internationalization and I&C,204
2,II. The evolution of the employees’ Congress SYStEM,208
3,I. The employees’ congress system under the planned economy,209
4,II. The evolution of the employees’ congress system,209
5,b) Consultation in the Netherlands,201
1,The role and significance of the employees’ congress,213
2,Characteristics of the employees’ congress system,215
3,Powers and organizational structure of employees’ congresses,217
4,Major problems in the current employees’ congress system,218
1,I. Dispersed and unsystematic legislation,218
2,VII. Issues that need to be solved in the employees’ congress system,219
3,I. The relationship between the employees’ congress and trade unions,219
4,VII. Conclusions,224
5,I. Introduction,226
1,II. Board-level employee participation in the EU Member States,228
2,Il. The European (Economic) Community as “transmission belt”,228
4,a) Employee representation on boards: the German example,230
5,b) Employees’ right to submit proposals for board members,232
1,Board-level employee participation in two-tier board structures,235
2,Board-level employee involvement in one-tier board structures,237
2,Interaction with trade unions,239
3,The risk of conflicts of interest,239
3,Exclusion of unions from board-level participation,240
1,III. Board-level employee participation in the European internal market,243
2,b) Interaction with other employee representatives,241
3,b) Cross-border mergers,247
4,c) The new understanding of freedom of establishment,249
2,I. Introduction,254
3,II. Stakeholders and the legal basis of employee involvement at board level,255
4,III. Employee involvement in China: past and present,256
1,IV. Concluding remarks,252
1,Democratic Management,257
2,Overview of employee involvement on boards in China,261
3,Company type,261
4,Rights and duties of employee representatives on the board,262
1,VI. Employee Involvement on Boards in China,263
2,Problems with employee involvement on boards in China,264
3,Improving employee involvement on boards in China,265
4,Further considerations,269
2,(10) formulating the basic management scheme of the company; and,263
3,(11) exercising other powers stipulated by the charter of the company.,263
1,IX. Summary,269
2,Contributors,272
3,Bernd Waas,274
3,ZHANG Hui,274
