1,Beiträge zum ausländischen und internationalen Privatrecht 118,2
2,Herausgegeben vom Max-Planck-Institut für ausländisches und internationales Privatrecht,2
1,Law and Policy Perspectives,4
1,Preface,6
2,Contents,8
3,I. Introduction,16
1,Organization Forms,16
2,Company Law,17
3,Securities Regulation,18
4,Stock Exchange Rules,19
1,II. Board Structure,20
2,III. Groups of Companies,22
3,IV. Recent Issues and Empirical Studies,23
4,1. Defensive Measures against Hostile Takeovers,23
5,2. Outside Directors,26
1,A Guide to German Company Law for International Lawyers,32
2,I. Legal Sources and Types of Business Organisations in Germany,33
4,3. Listing of Subsidiaries,28
5,4. Shareholder Activism,30
1,2. Multitude of Company Law Acts,35
2,3. No Single Dominant Organisational Form,36
3,a) Statistical Data,36
1,II. Main Players in Company Law,41
2,1. The Legislator a) Stock Corporation Act,41
3,b) Limited Liability Companies Act,43
4,2. Specialised Courts,44
1,III. Distinctive Features of German Stock Corporation Law,48
2,1. Interest of the Enterprise (“Unternehmensinteresse”),48
3,2. Two-tier Board (“duale Fiihrungsstruktur”) and Codetermination (“Mitbestimmung”),49
4,3. Mandatory Nature of the Stock Corporation Act (“aktienrechtliche Satzungsstrenge”),50
3,3. Company Law Scholarship,45
1,IV. Gradual Erosion of German Particularities in Company Law,55
2,4. Fiduciary Duties of Shareholders (“mitgliedschaftliche Treuepflichten”),51
2,5. Rescission Suits (“Beschlussmängelklagen”) as the Most Important Enforcement Mechanism,53
2,6. Codified Law of Corporate Groups (“Konzernrecht”),54
1,Directors’ Liability and Enforcement Mechanisms in Japan,60
1,Kenichi Osugi,60
2,I. Theme...,60
3,II. Brief Introduction to Japanese Laws and Practices,61
4,III. How Derivative Suits Operate: A Rough Comparison between the US and Japan,62
5,Table 2: Liability suits in Japan from 1991 through 2011,63
1,3. Rough Comparison between the US and Japan,63
2,Table 3: Frequency of shareholder lawsuit filings in the US and Japan,64
2,Table 4: Case outcomes — numbers of cases (ratio),64
1,IV. What Accounts for the Differences between the US and Japan,65
2,1. Entry Cost,65
3,2. Entry Barriers,66
4,3. Involuntary Settlement,67
5,Table 5: Success rate of suits in the two jurisdictions,65
1,Introduction to Evidence and Liability Rules,68
2,4. Rules on Gathering Evidence,68
2,5. Substantive Law,68
1,V. Why Shareholders Sue,69
1,VI. Other Findings,69
3,Table 6: Classification of liability suits in Japan from 1991 through 2011,70
1,Tables Summary,71
3,1991-1995 1996-2000 2001-2005 2006-2010,72
