1,HOHENHEIMER VOLKSWIRTSCHAFTLICHE SCHRIFTEN,1
2,Jan B. Rittaler,1
3,Industrial Concentration and the Chicago School of Antitrust Analysis,1
4,Industrial Concentration and the Chicago School of Antitrust Analysis,2
2,Market Power Test with Regard to Competitors,83
4,Compete and Control of Economic Power (Populist Approach),132
3,Downloaded Reference Information,293
2,References on Industry Structure and Performance,376
3,Further References on Antitrust Policy,377
1,Antitrust Policy,377
2,Marktkonzentration und Wettbewerbsverhalten von Unternehmungen,377
4,Zur MifSbrauchsaufsicht Uber Preise marktbeherrschender Unternehmen,385
6,Essays on Industrial Organization in Honor of Joe S. Bain,387
1,Public Policy Toward Mergers,392
3,Development of the German Legal Practice in Determining Structure-Performance Relationships and Antitrust Policy,393
2,Yes...Structure-Performance Relationships and Antitrust Policy,393
2,The Court and the Economic System,401
3,Foreword: The Court and the Economic System,401
1,Economic Theories and Legal Perspectives in Antitrust Law,401
2,Case Studies and Analyses,401
2,Review of Economic Studies (1934) by Power,407
2,Journal of Industrial Economics (1976),410
