2,Preface,6
1,Table of Contents,7
3,Jiirgen Basedow Toshiyuki Kono Axel Metzger,7
2,Part 4: Recognition and Enforcement,9
3,Paulius Juréys/Simon Vande Walle Summary of Comments and Discussion on Applicable Law.......................................... 229,9
1,Paulius Juréys/Simon Vande Walle Summary of Comments and Discussion on Recognition and Enforcement,9
2,Contributors,10
3,Jiirgen Basedow,10
1,VII. Multi-State Infringements,14
1,II. Intellectual Property: An Oscillating Concept,16
2,IV. Globalization and Intellectual Property,21
3,V. Intellectual Property and Neighboring Categories of Law,22
4,VI. A Survey of Choice-of-Law Principles,23
2,III. Territoriality,18
1,Lex loci protectionis,23
2,Lex originis,25
2,Lex contractus,25
2,Lex fori,28
1,Initial Ownership,29
1,Positive Law,29
2,Inconvenience of the lex loci protectionis,30
3,The Solution: The lex contractus or Party Autonomy,32
4,Multi-State Infringements,35
5,Basic Principle: lex loci protectionis,35
1,I. Introduction,42
2,FRANCOIS DESSEMONTET,42
3,Unitary IP Rights,36
3,Ubiquitous Infringements,38
1,IX. Conclusion,39
1,II. History and ambitions,43
2,32 Francois Dessemontet,43
3,Il. Jurisdiction,46
4,IV. Applicable Law,51
5,1. Territoriality,51
1,Title to IP Rights,53
2,Transfers and Licenses,54
1,Recognition and Enforcement of Foreign Judgments,57
2,Mandatory Grounds to Refuse Recognition and Enforcement,58
1,Conclusion,59
1,Summary of Discussion on Foundations by Paulius Juréys and Simon Vande Walle,60
2,Prof. Metzger commented on the present-day justification for the principle of territoriality of intellectual property rights.,60
3,50 Paulius Juréys/Simon Vande Walle,61
1,CHRISTIAN HEINZE I. Introduction II. The past: Strict territoriality of intellectual property litigation..... III. The present: Rise and fall of cross-border enforcement under the Brussels regime.,64
2,V. — Conclusion I. Introduction  Jurisdiction for intellectual property disputes is a subject that has been,64
1,I. Introduction,64
2,II. The past: Strict territoriality of intellectual property litigation,65
2,III. The present: Rise and fall of cross-border enforcement under the Brussels regime,65
3,The CLIP Principles on Jurisdiction 55,66
2,IV. A (possible) future: The CLIP Principles,68
1,General Jurisdiction,69
2,Exclusive Jurisdiction,70
2,Special Jurisdiction,73
3,Infringement,73
3,Contractual claims,80
1,Prorogation of Jurisdiction,84
2,Provisional Measures,84
3,Multiple Defendants,82
4,Conclusion,87
1,Jurisdiction in Intellectual Property Cases: The Transparency Proposal,88
3,Joinder of Claims in Intellectual Property Cases,89
4,Objective Joinder (Paragraph 1),89
5,General Remarks,90
6,Actions Concerning Validity of IP Rights,91
1,International Jurisdiction over IP Rights,93
2,Actions Concerning Registration of IP Rights,93
3,International Situation,94
4,Actions Concerning the Validity of IP Rights,97
5,Actions Concerning the Existence of IP Rights,99
6,Actions Concerning the Registration of IP Rights,100
1,Il. International Jurisdiction over Actions Concerning Intellectual Property Contracts,102
2,1. General Remarks,102
3,2. The Current State of Japanese Law,102
4,3. International Situation,103
5,b) Actions Concerning the Ownership of IP Rights,101
1,International Jurisdiction over IP Rights,103
2,4. International Jurisdiction over Actions Concerning Contracts Relating to IP Rights in the Transparency Proposal,103
1,IV. International Jurisdiction and IP Infringement Claims,105
2,1. Status Quo,105
1,§ 1332 Diversity of citizenship; amount in controversy; costs,106
1,Article 22,107
1,V. Choice-of-Court Agreements,111
2,1. General Remarks,111
3,2. Choice-of-Court Agreements in Japan,111
4,3. Foreign Law a) The 2005 Hague Choice of Court Convention,114
2,The Transparency Proposal®,109
1,VI. Exceptions Based on Public Interest Policy Considerations,118
2,4. The Transparency Proposal,117
3,c) The ALI Principles,117
4,1. Status Quo,118
5,2. The Transparency Proposal,119
1,Article 6 (General Rule on International Jurisdiction),119
2,VII. Joinder of Claims in Intellectual Property Cases,120
3,a) Circumstances Where Objective Joinder Becomes an Issue in International Disputes on Intellectual Property,120
4,b) Objective Joinder under the Current Law (1) Japan,121
5,(2) Other countries,122
1,Article 5. Jurisdiction with respect to Claims for Joinder,125
2,c) Proposals for Conventions and Legislation,124
3,d) Comments on the Transparency Proposal,126
1,Circumstances Where a Subjective Joinder Becomes an Issue in International Disputes on Intellectual Property,129
2,Subjective Joinder under the Current Law (1) Japan,130
3,(2) Other Countries,132
2,Proposals for Conventions and Legislation,135
3,Article 6(2) Subjective Joinder,135
1,International Jurisdiction and Provisional Measures,137
2,Circumstances Where Provisional Measures Become an Issue in International Disputes over Intellectual Property,139
3,Jurisdiction to Order Provisional Measures under the Current Law a) Japan,139
4,Comments on the Transparency Proposal (1) Subjective Joinder (Paragraph 2),137
5,Spider in the Web (Paragraph 3),137
1,3. Proposals for Conventions and Legislation,143
2,b) Other Countries,142
2,2 TArticle 13 Provisional and protective measures,143
3,24 TArticle 9. Rule with regard to provisional measure cases,144
2,4. Comments on the Transparency Proposal,145
1,IX. Parallel Proceedings,147
2,1. Circumstances Where International Parallel Litigation Becomes an Issue in International Disputes on Intellectual Property,147
3,2. International Parallel Litigation under the Current Law a) Japan,147
2,3. Proposals for Conventions and Legislation,150
1,Article 7(2) Rules relating to International Parallel Litigation,150
2,(First drafting proposal),151
