1,Recht und Gesellschaft Law and Society,1
2,Julia Gebhard,1
3,Necessity or Nuisance?,1
4,Vereinigung fur Recht und Gesellschaft Law and Society,2
5,vormals Vereinigung fiir Rechtssoziologie —,2
1,Table of Contents,9
2,Necessity or Nuisance? Recourse to Human Rights in Substantive International Criminal Law,3
3,Julia Gebhard Necessity or Nuisance? Recourse to Human Rights in,3
1,framework of international law,11
2,IV. Concluding Remarks,11
3,Chapter Two: Minority Rights Law,11
4,International Law?,11
5,g),12
6,Charter of the United Nations International Covenant on Civil and Political Rights,12
7,Chapter Four: Conclusions Drawn from Case-Law Analysis,14
8,Part Three: Perception of the Value of Human Rights Law from the View of Practitioners,14
1,Part Three: Perception of the Value of Human Rights Law from the View of Practitioners,14
2,Chapter One: Perceptions of Human Rights Law in a Diverse Professional Environment,14
3,I. Safeguarding Professional Diversity on the Bench at the ICC and the ICTY 1. General attitude of judges towards the importance of,14
1,Introduction,17
2,I. Approach and Conceptual Framework 1. Overview of the Research Topic,17
1,Chapter One: Introduction,29
2,I. Ad Hoc Tribunals,35
3,II. Scope and Methodology,22
4,Approach and Demand for Research,21
5,Practical Application: Case Law Analysis (Part II),26
1,Chapter Three: Human Rights Law and Substantive International Criminal Law,46
2,Il. ICC 1. Art.21 (3) ICC,39
3,What are ‘internationally recognized human rights’?,42
4,individuals who commit such violations”.©,46
1,Hierarchy vs Horizontal Completion,50
2,Structural Differences vs Universality,55
3,country.,58
4,which the respondent is the State.,58
5,specific area of law.,58
1,Legal Basis for the Application of Extra-Statutory Substantive Law,60
2,Ad Hoc Tribunals,61
3,ICC,62
4,Art. 21 (3) Rome Statute,63
1,The UN Secretary-General’s report calling for the establishment of the ICTY explicitly states,65
2,Art. 21 (1) (b) Rome Statute,64
3,Guidance and Interpretational Aid,68
4,The concept of nullum crimen sine lege?,69
5,Nullum Crimen Sine Lege in International Criminal Law,70
1,Chapter One: Prohibition of Torture and ‘Other Inhumane Acts’,85
2,The tribunals referred to the definition of torture in the CAT in order to identify how torture is defined under customary international law. The crime of torture as a war crime or a crime against humanity is not defined,84
3,Chapter Four: Concluding Remarks,81
4,What is at stake when it comes to the extra-statutory application of legal,81
2,How is this area of conflict solved in international criminal jurisprudence?,76
1,The ad hoc tribunals have elaborated on nullum crimen sine lege in a way that will be beneficial for the ICC in future proceedings. The ICTY was created with the explicit mission to only apply those legal norms which,76
2,Akayesu,85
2,Delalié and others (Celebići),86
2,Furundzija,90
2,Kvočka,94
1,e. Krnojelac,97
2,f. Kunarac and others,97
4,‘appropriate penalties’ .?°?,102
5,g. Brdanin,104
1,The Definition of ‘Other Inhumane Acts’,105
2,Where Could the Prohibition of Torture Have Been Referred to?,107
3,CAT,108
3,Universal Declaration of Human Rights,109
3,International Covenant on Civil and Political Rights,110
1,The Prohibition of Torture under International Criminal Law,112
2,Other Instruments Prohibiting Torture,111
3,Genocide (1) Causing serious bodily or mental harm (Art. 6 (b) Rome Statute),112
4,Imposing measures intended to prevent births within the group (Art. 6 (d) Rome Statute),115
5,(d) Rome Statute,115
1,Crimes against Humanity,116
2,(1) Torture (Art. 7 (1) (f) Rome Statute),116
3,Forced Disappearance Convention,119
4,War Crimes,122
5,(1) Grave breaches of the Geneva Conventions,122
6,(2) Other serious violations of the laws and customs applicable in international armed conflict,122
1,Chapter Two: Minority Rights Law,124
2,I. What is a Minority in the Context of Crimes under International Law?,124
3,II. Where Has Minority Rights Law Been Referred to?,127
4,IH. Where Could Minority Right Law Have Been Referred to?,129
1,The Definition of Persecution,132
2,The Definition of a Stigmatised Group within the Crime of Persecution,134
3,State Obligations regarding the Protection of Minorities from Crimes under International Law,135
4,International Covenant on Civil and Political Rights,139
2,Responsibility to Protect,144
2,International Convention on the Elimination of All Forms of Racial Discrimination,145
3,been regarded as twin concepts that both make up the principle of equality. 456,146
2,Council of Europe Framework Convention for the Protection of National Minorities,146
2,Other Instruments Relevant to the Protection of Minorities from Crimes under International Law,147
1,2. Protection of Minorities under International Criminal Law,149
2,a) Genocide (Art. 6 Rome Statute),149
3,b) Crimes against Humanity/Persecution,153
2,(1) Important Developments in Terms of Minority Protection,153
3,(1.1) Crimes against Humanity and Armed Conflict,154
1,Crimes Against Humanity and Non-State Actors,156
2,Specific Crimes and Their inherent Minority Element,157
3,Murder/Extermination,157
2,Deportation or Forcible Transfer of Population,158
2,Persecution as a Crime against Humanity with a Particularly Prominent Minority Element,159
3,Enforced Disappearance of Persons,162
1,The Crime of Apartheid,162
2,‘Ethnic Cleansing’ in International Criminal Law,163
3,War Crimes (Art. 8 Rome Statute),166
4,International Armed Conflicts,168
5,Non-International Armed Conflicts,169
1,V. Concluding Remarks,170
2,I. Where Were Women’s Human Rights Referred to?,175
3,1. Sexual Assault as Persecution,175
2,II. Where Could Women’s Human Rights Have Been Referred to?,183
3,1. Genocide,183
2,Rape as Torture,177
1,2. Definition of Rape,185
1,3. Persecution,192
1,1. State Obligations regarding Violence against Women,197
2,a. International Covenant on Civil and Political Rights,199
1,International Human Rights Instruments,202
2,d. International Convention on the Elimination of all Forms of Racial Discrimination,210
2,e. UNGA Declaration on the Elimination of Violence against Women,210
2,f. African Charter on Human and Peoples Rights (Banjul Charter),211
1,g. Beijing Declaration and Platform for Action,212
2,Protection of Women against Gender-Based Violence in International Criminal Law,213
3,Outrages upon personal dignity and inhumane treatment as war crimes,214
4,Genocide,214
5,Crimes against Humanity (1) Sexual Violence,216
1,Chapter Four: Conclusions Drawn from Case-Law Analysis,228
2,IV. Concluding Remarks,226
3,c. War Crimes,221
4,(3) Enslavement/ Sexual Slavery,220
5,(2) Persecution,216
1,Part Three: Perception of the Value of Human Rights Law from the View of Practitioners,233
2,Chapter One: Perceptions of Human Rights Law in a Diverse Professional Environment,233
3,I. Safeguarding Professional Diversity on the Bench at the ICC and the ICTY,239
4,1. General attitude of judges towards the importance of HRL in ICL,243
5,2. Specific relevance of the recourse to human rights law in substantive international criminal law,245
1,II. Professional and Personal Factors Contributing to the Attitude towards International Human Rights Law,247
2,1. Public International Law Experts/(National) Criminal Law Experts,247
3,2. Common Law/Civil Law,249
4,3. Academics/Practitioners,250
5,Chapter Two: Concluding Remarks,252
1,Conclusion,255
2,Annex,265
3,Cases,267
3,Cases,269
1,UN Committee on the Elimination of Discrimination against Women ‘Rules of Procedure’ (2001),279
2,UN Committee on the Elimination of Racial Discrimination ‘Annual Report’ (20 September 1995),279
3,mendation No 19: Violence against Women’ (30 January 1992) GAOR 47th Session,279
4,UNGA Res 96 (I) ‘The Crime of Genocide’ (11 December 1946),281
1,Literature,284
2,M Cherif Bassiouni Crimes against Humanity in International Criminal Law (2™4 ed),285
3,Doris Buss ‘Learning our lesions: The Rwanda Tribunal record on prosecuting rape’ in Clare McGlynn and Vanessa Munro Rethinking Rape Law: International and Comparative Perspectives (Routledge Abingdon 2010) 61-75.,286
