1,Populist Challenges to Constitutional Interpretation in Europe and Beyond,2
1,Comparative Constitutional Change,3
3,Review of the constitutionality of legislation,7
3,Activism of the Constitutional Court in relation to the general judiciary (constitutional complaints),7
2,Constitutional identity as a populist notion?,8
3,Constitutional interpretation under the new Fundamental Law of Hungary,8
1,Constitutional interpretation: What can Europeans learn from US debates?,10
2,16.1 Introduction,10
2,16.2 What is a constitution?,10
3,PART IV Summary,11
4,18 Populist challenges to constitutional interpretation: an assessment,11
5,List of Authors,12
6,Introduction and Acknowledgements,14
1,Introduction and Acknowledgements,17
2,Zoltan Szente,20
2,Populism and populist constitutionalism,22
3,Conceptualizing populism,22
4,Historical background,22
2,Defining constitutional interpretation,46
1,An ‘Instrument of Government’ or Instrument of Courts’?,62
2,The impact of political systems on constitutional interpretation and the case of populism,60
3,pragmatic interpretation,55
1,5. Introduction,79
2,Can there be autochthonous methods of constitutional interpretation?,80
1,5.1 Introduction,92
2,Formalism and judicial self-restraint,94
1,From judicial activism to judicial self-restraint,112
2,Zaenék Kiihn,112
3,The legal design of the Czech Constitutional Court and the rise of populism in Czech politics,112
5,(1) Courts could behave in an activist way to stop further anti-constitutional developments; (2) Courts could maintain their own approach (as before); (3) Courts could restrain themselves and try to play for time.,104
2,7.1 Introduction,126
3,transforms discontent into action’.,129
4,8.1 Introduction,143
5,The first two judgments on nationality invalidated sections of law,149
1,Fruzsina Gardos-Orosz,160
2,Introduction,160
3,Hungary is categorized as a Member State of the European Union that is,160
4,Gianmario Demuro and Riccardo Montaldo*,177
5,10.1 Could the Italian context be defined as populist?,177
6,A first question to be analysed for the purposes of this chapter is whether the,177
7,notion of constitutional identity turns into a populist notion and shows its inherently explosive content.,157
8,Lessons to be drawn from the Greek experience,157
9,It is now time to ask ourselves what lessons can be drawn from the Greek,157
1,Introduction,177
1,Democratic Backsliding? Lessons from the Polish Experience,194
1,Introduction,211
1,The relationship between populism and constitutional interpretation has,234
1,John McEldowney,250
3,Mark A. Graber,270
1,Martin Loughlin,291
2,Pablo Riberi,308
2,the Venezuelan Supreme Court decided to temporarily take on the legislative powers of Congress.*8,327
1,An assessment,330
2,Fruzsina Gardos-Orosz and Zoltan Szente,330
3,Populist challenges to constitutional interpretation,332
4,Index,343
