2,Introduction Carissa Byrne Hessick,9
3,Part I. Defining Child Pornography Crimes,9
4,A. Constitutional Issues,9
5,B. Child Pornography Definitions at Work,10
1,Introduction,11
3,NOTES,24
6,The Context and Content of New York v. Ferber,29
1,The Child Pornography Problem,34
2,Doctrinal Context,29
3,James Weinstein,29
4,The Ferber Decision,35
5,Osborne v. Ohio and Possession of Child Pornography,43
1,The Limits of the Child Pornography Exception,46
2,Definitional Limits,47
4,Justificatory Limits: The Uncertain Status of the “Harm-in-the-Circulation” Rationale,53
5,Conclusion,55
1,Setting Definitional Limits for the Child Pornography Exception,67
3,NOTES,56
4,Carissa Byrne Hessick,67
1,Osborne v. Ohio,70
2,Ashcroft v. Free Speech Coalition,71
3,Paroline v. United States,72
4,Proposing a New Definition of Child Pornography,73
5,My Proposed Definition,74
1,Part 1 (B) | Defining Child Pornography Crimes,89
2,Comparing the Harm of Creation to the Harm of Circulation,76
2,The Practical Effect of a Limited Definition,80
3,19. 394 US. 557 (1969),84
1,I. Child Pornography Law and the First Amendment: An Overview,92
2,The “Dost Test” in Child Pornography Law,93
3,A. Rationale for Categorical Exclusion: Production Harm,93
1,B. Defining Child Pornography: An Overview,95
2,II. The Dost Test,97
3,A. The Test’s Fundamental Malleability,98
2,Refining Child Pornography Law B. The Pedophile’s Perspective and The Dost Factors,100
3,1. Is the Test Objective or Subjective?,100
1,III. The Damage Done by Dost,103
2,A. First Amendment Harms,104
3,A. First Amendment Harms 1. Vagueness and Overbreadth,104
4,2. Four Corners or Extrinsic Evidence?,102
5,a. Subjective,101
6,b. Objective,101
1,Introduction to First Amendment Concerns,104
2,Dost May Be Unconstitutional Under the First Amendment as Interpreted by Ferber and Ashcroft,104
3,Practical Concerns: Dilution of the Category of Child Pornography,105
3,The Final Cost of Dost Is Cultural Not Constitutional,106
1,Conclusion,109
2,NOTES,109
1,The Language of Child Sexual Abuse and Exploitation,119
2,Mary Graw Leary,119
3,I. The Value of Precise Language,120
4,A. Labels Provide Insight,122
1,II. Labels in Criminal Victimization Discourse,124
2,A. Criminal Victimization Has a Particular Need for Sufficiently Descriptive Language,124
3,B. Legal Insight,123
4,B. The Fair Labeling Principle,126
5,III. The Language of Child Abuse and Exploitation,127
1,A. Causes of Mislabeling,129
2,1. Social Silences,129
3,2. Social Forces,133
1,B. Effects of Mislabeling,134
2,1. Confusion,134
3,2. Alarmism or Underreaction,135
1,IV. Fair Labeling in Child Sexual Abuse and Exploitation,138
2,A. “Child”,139
3,B. “Sexually Abusive Images of Children”,141
4,3. Legal Implications,136
1,C. “Child Sex Trafficking”,143
1,D. “Sexting”—“Child-Produced Child Pornography’— “Sexualized Images of Children”,146
1,Conclusion,148
1,NOTES,148
1,Part II (A) | Refining Child Pornography Law,155
2,The Special Case of Possession,155
3,Questioning the Modern Criminal Justice Focus on Child Pornography Possession,157
4,A. The High Number of Prosecutions and Penalties for Possession,158
3,1. The Market Theory,162
1,Unintended Consequences of Targeting Possessors,166
2,Ease of Enforcement and Prosecution,166
3,The Role of Public Opinion,167
4,Possessors Have Molested or Will Molest Children,162
5,Possession Is as Bad As or Worse Than Abuse,164
1,6 | The Dignitary Harm of Child Pornography—From Producers to Possessors,175
2,D. Conclusion,168
3,NOTES,169
4,A. Categorizing Pornographers,176
5,Audrey Rogers,175
1,The Harm of Child Pornography,180
2,Producers,180
3,Nonproduction Offenders,184
4,Harm Inherent in the Images,187
1,Conclusion,189
2,NOTES,190
3,4. 18 U.S.C. § 2252A,190
1,7 | Not Just “Kiddie Porn”,197
2,The Significant Harms from Child Pornography Possession,197
2,I. The Harms Victims of Child Pornography Possession Endure,198
3,A. The Harms Suffered By “Amy”*,201
3,B. The Harms Suffered By “Vicky”*°,202
2,II. Allocating the Harms Caused by Child Pornography Crimes,205
1,Part II (B) | Refining Child Pornography Law,223
2,A. The Problems from Disaggregation,206
2,B. Child Pornography Possessors Contribute to All of a Victim’s Losses,208
3,Conclusion,213
4,Not Just “Kiddie Porn”,215
1,Challenges in Investigations and Prosecutions of Child Pornography Crimes,225
2,National Juvenile Online Victimization (N-JOV) Study,226
2,Growth and Complexity of Child Pornography Crimes,227
2,Law Enforcement Response,228
1,Definitions of Child Pornography,229
2,Dual Offenders,230
3,Assets for Law Enforcement Investigations,231
4,Prosecution Response,232
5,Computer Forensics,233
1,Trial Cases,235
2,Timeliness of the forensic exam (33 percent),234
3,Lack of equipment or training of officers (24 percent),234
3,Search warrant issues (23 percent),234
3,P2P investigations (5 percent),234
3,Credentials of forensic examination or lab (5 percent),234
4,Still images that were passed to the jury or described by experts (18 percent),236
1,9 | A Critical Evaluation of the Federal Sentencing Guidelines for Child Pornography Offenses,245
2,Deciding to Refer for Federal Investigation for Prosecution,237
2,Prosecuting Sexting Cases,239
3,Conclusion,240
1,The Facts of Mr. Smith’s Case,245
2,The Guideline in Theory,248
3,Guideline 2G2.2 in Practice,250
2,Applying Enhancements,254
3,a. The “Use of a Computer” Enhancement,254
2,The “Number of Images” Enhancement,256
3,Enhancements for Sadistic or Masochistic Conduct and Depiction of a Prepubescent Child,260
3,Intermediate Tally,261
3,Enhancements for Intended Distribution,262
2,offender; more than 65 percent of defendants receive a “distribution” enhancement.,264
1,A Way Forward,268
3,Adding a Term of Supervised Release,264
4,Can Variances from the Guidelines Correct for Empirical Failures?,264
5,NOTES,269
1,Political and Empirical Controversies Threaten the Federal Child Pornography Guidelines,271
2,Federal Sentencing Basics,272
3,Challenges to the Child Pornography Guideline,276
4,Institutional Conflicts,282
1,Comparative Perspectives,284
2,Ideological Perspectives,287
2,Conclusions,289
3,NOTES,290
4,Contributors,295
1,Index,301
