1,Revisiting China’s Competition Law and Its Interaction with Intellectual Property Rights,3
2,Abstract Acronyms and Abbreviations,7
3,Introduction: China’s Successful Journey Toward A Modern Judicial System,7
4,China’s Socio-Economic Progress,7
5,Possible Ways Ahead,9
6,Conclusions,9
1,Abstract,11
2,Anti-Monopoly Commission,13
3,A. China’s Socio-Economic Progress,15
4,B. Origins of China’s Anti-Monopoly Law,16
1,Origins of China’s Patent Law,19
2,Possible conflicts between the two systems,22
1,Main Themes Covered in This Thesis,24
1,A. Important Milestones,25
2,B. China’s Competition Regime Prior to the AML,26
3,The Anti-Unfair Competition Law of 1993,26
4,The Price Law of 1997,28
5,Regulations promote fair competition and combat monopoly activities.,29
1,Monopoly agreements between business operators (Chapter IT),29
2,Abuse of dominant market position by business operators (Chapter HT),29
3,Concentration of business operators which may have the effect of eliminating competition (Chapter IV),29
4,Abuse of administrative powers for elimination of competition (Chapter V),29
1,Main Topics of Each Chapter Article numbers,30
3,Liability and penalties for violating the AML,30
4,Supplementary provisions,30
1,D. Institutional Design of Competition Agencies under the AML,31
2,Antitrust Division of the Department of Justice (DOJ) and the Federal Trade Commission (FTC) sharing responsibility of enforcing federal antitrust law.,32
4,Responsibilities of NDRC and SAIC,33
5,Judicial enforcement,33
1,II. EU Competition Policy — Main Reference for China’s Anti- Monopoly Law,36
2,A. Background Information,36
3,B. Why the US Competition Law Did Not Serve As the Main Model?,37
4,E. Future Challenges,34
5,2. Institutional design and enforcement 2.1. Significance of administrative route for both jurisdictions,41
1,2. Growing importance of private actions in both jurisdictions,42
2,3. Legal framework and comparison of stipulations,43
2,D. Dynamics of Competition Policy,46
1,IV. China’s 2017 IP Guidelines,47
2,A. China at the Crossroads between Competition Enforcement and Intellectual Property Rights,47
1,B. Characteristics and Main Principles of the IP Guidelines,48
2,(1) commitment made by the business operator to license the IPR,51
3,3.4 Compulsory license under TRIPs Agreement,55
3,3.5 Inevitable legal uncertainty of the essential facility doctrine,55
1,V. Competition Policy and IPRs: Well-Functioning Symbiosis — A Case Study,59
2,A. Brief Introduction to SEP and Related Issues,59
3,4. SEP licensing,56
4,B. Judicial Decision on Huawei v. InterDigital,61
5,2. Substantial rulings of the Chinese courts,62
1,2 IDC holds a dominant position,62
2,2.1 IDC holds a dominant position,62
2,2.2 Abuse of dominant position in licensing SEP technology,63
3,FRAND commitment — requiring Huawei to pay much higher royalties than those paid by Ap- pre and Samsung tying its SEPs with non-SEPs during licensing negotiations,63
1,3 Definition of market dominance by Guangdong High Court,64
2,3.1 Definition of market dominance by Guangdong High Court,64
2,3.2 Abuse of dominant position,65
1,3 Overview of Chinese Legal Proceedings,66
2,3.3 Chinese court sets the royalty rate,66
2,3.4 SEP-related controversies,67
1,VI Conclusions,73
1,Bibliography,75
