1,Social Statistics and Ethnic Diversity,4
2,1.5 Conclusion,18
3,References,19
1,Ann Morning,23
2,2.1 Introduction,23
1,Enumeration for political control (compter pour dominer),24
2,Non-enumeration in the name of national integration (ne pas compter au nom de V’intégration nationale),24
3,Discourse of national hybridity (compter ou ne pas compter au nom de la mixité),24
4,Enumeration for antidiscrimination (compter pour justifier l’action positive),24
1,2 Ethnic Classification in Global Perspective: A Cross-National Survey,25
2,2.3 Data and Methodology,25
1,Findings,27
2,Findings > Frequency of Ethnic Enumeration,27
4,Census Ethnicity Questions,28
5,Census Ethnicity Questions > Terminology and Geographic Distribution,28
2,2.4.2.2 The Subjectivity of Identity,31
3,Number of countries using term as: Total frequency,29
4,Table 2.3. Terminology of census ethnicity questions,29
5,2.4.3 Answering the Ethnicity Question,32
6,2.4.3.1 Response Formats,32
1,2.5 Conclusions,35
2,2.5.1 Summary of Findings,37
3,2.5.2 Evaluating Ethnic Enumeration,37
4,Table 2.6 Census ethnicity response formats by question type,35
5,2.4.3.2 Response Options,35
1,Appendix: Countries Included in Regional Groupings,40
2,Cote d’Ivoire,40
2,Democratic People’s Republic of Korea,40
3,Netherlands Antilles Nicaragua* Panama*,41
3,Réunion Rwanda,41
1,North South America Africa Europe Asia Oceania,42
2,Russian Federation* San Marino Slovakia Slovenia* Spain*,41
3,Republic of Korea*,41
4,Tahu Kukutai and Victor Thompson,44
2,T. Kukutai and V. Thompson,55
2,*Compared to Europe,61
1,References,65
1,Patrick Simon,68
1,References,88
2,Victor Piché,91
1,and Affirmative Action Policies: Where Are We and Where Do We Go?,103
1,The tradition of censuses* of the population in Great Britain dates back over,115
2,7.1 Introduction,112
3,José Luis Petruccelli,103
4,References,111
5,Though Blacks and Asians have a long history in Britain (Fryer 1984; Ramdin 1999),115
1,The testing of an ethnic question did not guarantee its implementation on the 1981 census,120
2,Appendices,135
3,Appendix 7.1: 1991 Census,135
4,Appendix 7.2: 2001 Census,136
1,Policy Networks in British Government,138
2,Ethnic Classification in Global Perspective: A Cross-National Survey of the 2000 Census Round,138
3,New OPCS Area Classifications,139
4,Introduction,142
5,Non-Malaysian Citizens,144
2,Pakistani,146
3,Other European,146
4,Others (not European or Asian),146
2,Percentage of total,154
1,Ethnic Classifications and Employment,154
2,All Malaysia Data Analysis,154
3,Classifications for Employment,156
4,Sarawak Indigenous Bumiputera Definition,157
1,Article 160,169
2,(6) In this Article ‘native’ means-,169
3,sSutdnois-qns,166
1,Article 153 of the Constitution,170
2,Appendix 8.3: Areas in Which Special Privileges May be Provided,170
3,References,170
1,Wanda Cabella and Rafael Porzecanski,173
1,classification in Uruguay belong to?,177
2,Table 9.2 Ethnic — racial identification of Uruguayan Mestizos (1996-1997),177
1,Racial Classification in Uruguay (1996-2006),177
2,Ethnic — Racial Identification of Uruguayan Mestizos (1996-1997),177
3,Main Descent (1896-1900),178
4,Racial Classification in Uruguay (2006),178
5,Racial Identification in Uruguay (1996-2006): Non-Mestizos,180
1,Table 9.7 Percentage of Uruguayan Non-whites in 1996-1997 and 2006,181
2,White 94.3 87.4 Black 0.9 2.0 Indigenous 0.2 0.4 Yellow 0.4 0.1 Mestizos,180
2,Table 9.8 Basic socioeconomic indicators of the Uruguayan population by race (1996 and 2006),185
3,Instituto Nacional de Estadistica (INE). (1998). Encuesta Continua de Hogares. Médulo de Raza,186
1,The Objective Approaches of Ethnic Origins in Belgium: Methodological Alternatives and Statistical Implications,188
1,Total population,201
2,Belges par acquisition,203
4,References,204
5,Olivier Barbary,206
1,Social Statistics and Ethnic Diversity,206
2,Ethno-linguistic type of household,211
3,Households,212
1,Total indigenous population,212
2,O. Barbary,215
3,Aguascalientes,222
4,Place of residence of zapoteco speakers at municipal (Municipes) level,222
1,Maya (Nb of speakers),223
2,from 1986 to 2006,226
1,References,240
5,Indian and Northern Affairs Canada (INAC). (2002). Basic departmental data 2000 (p. 76).,240
6,“Unaffiliated” Unions (Entries),236
2,Statistics Canada (2009a). 2006 Census Questionnaires and Guides,241
2,Statistics Canada (2009b). 2006 Census Reference Materials - Technical Report on Aboriginal Peoples,241
