1,The Constitution and Governance in Cameroon,2
3,Routledge Studies on Law in Africa,3
4,Series Editor: Makau W. Mutua,3
1,Contents,8
2,List of Abbreviations,10
1,Nigeria,14
2,Law No. 2019/019 of 24 December 2019 on the Promotion of Official Languages in Cameroon,16
2,Law No. 2016/007 of 12 July 2016 relating to the Penal Code,16
1,Table of Legislation,17
1,Introduction,22
1,A history of the constitution and governance in Cameroon,29
2,Introduction,29
3,Part I. Background,29
4,Part II. Colonial governance and administration,30
5,A. The civil law and governance in French Cameroon,30
3,Notes,28
1,10 History of constitution,31
2,B. The common law and governance in British Cameroons,32
3,C. The decolonisation process,34
4,I. French Cameroon,34
1,Part III. Post-independence constitutional developments,39
2,Federalism and the coexistence of French and British constitutional traditions,39
3,IT. Southern Cameroons,35
4,(a) Do you wish to achieve independence by joining the independent Federation of Nigeria?,36
5,(b) Do you wish to achieve independence by joining the independent Republic of the Cameroons?,36
1,22 History of Constitution,43
2,B. The Glorious Revolution of May Twentieth and the demise of the Westminster model,43
3,C. The return to multi-party democracy,44
2,Conclusion,48
2,Notes,48
1,ENstory of Constitution,49
2,The Lyttleton Constitution of 1954,50
1,ENstory of constitution,53
4,References,54
1,Part I. Semi-presidentialism and the structure of the executive,57
2,A. Structure of the executive,57
3,B. Semi-presidentialism and executive power,58
2,Part II. The President,58
3,A. Election,58
1,B. Competencies and powers,60
3,IT. Legislative powers,62
5,IV. Power to extend or abridge the parliamentary term,64
1,Emergency Powers,66
2,Foreign Affairs,69
3,Accountability,69
4,Immunity from Prosecution,69
1,Part III. The PM and the government,72
2,A. Powers of the PM,72
3,I. Formation of government,72
3,IT. Policy implementation,72
1,IT. Impeachment,70
1,III. Regulatory powers,73
1,II. The CONAC,76
2,Conclusion,77
2,Notes,78
1,Executive power and semi-presidentialism,79
1,The electoral system and the legislature,92
2,Role and powers of ELECAM,92
3,Structure of the National Electoral Commission (ELECAM),91
5,Territorial Institution Jurisdiction Membership Responsibilities,94
1,Part II. Election of members of parliament,97
2,A. National Assembly,97
3,B. The Senate,98
4,Table 3.2 Results of legislative elections,100
5,of government (when the bill relates to matters falling within the competence of their ministry),103
1,Part IV. Powers and functions of the legislature,105
2,A. The legislative domain and law making,105
3,C. The relationship between the National Assembly and Senate,103
4,receiving the bill (or five days for a bill declared urgent by the government),104
3,B. Scrutiny of the executive,108
4,I. Oral and written questions,109
5,IT. Vote of no confidence and motion of censure,110
1,Introduction to Commissions of Inquiry,112
2,III. Commissions of inquiry,112
1,Fiscal Oversight in Parliamentary Functions,114
2,C. Fiscal oversight,114
1,Democratization and Bicameralism in a One-Party Dominated State: Conclusion,119
1,References and Notes,120
1,References,128
1,Part I. Organisation of the judicial system and jurisdiction of the courts,131
2,The Supreme Court,131
3,The Court of Appeal,131
4,The Special Criminal Court,131
1,COURTS OVERVIEW,134
2,A. ACCOUNTING BY AUDIT COURTS,134
2,B. HIGH COURTS,134
3,C. COURTS OF FIRST INSTANCE,135
3,D. CUSTOMARY COURTS,136
2,II. ORDINARY COURTS WITH APPELLATE JURISDICTION,136
1,A. COURTS OF APPEAL,136
2,B. SUPREME COURT,137
3,matters and those relating to customary law,137
4,Supreme Court,137
5,Want of jurisdiction,138
1,Part II. The status and independence of the judiciary,141
2,III. Court of Impeachment,140
2,IV. State Security Court,141
3,Misinterpretation of facts,138
3,Breach of the law,139
1,A. Structure and constitutional status of the judiciary,141
2,I. Structure,141
2,IT. Constitutional status,142
1,II. Career progression,143
2,IIT. Discipline,146
2,C. Judicial independence versus accountability: a tenuous relationship,148
3,lack of independence.'®”,148
2,D. The prosecutor in the judicial landscape,150
1,Judicial scrutiny of the executive,152
2,Scope of review,152
3,Judicial power and enforceability of judgments,155
1,Conclusion,157
2,activities of the Judicial Power.,158
4,Notes,158
3,This area of its competence is complemented by Law No. 2014/028 of 14 December,160
2,References,167
1,Part I. Structure and competence of the Constitutional Council,170
2,A. Composition,170
1,I. Constitutional review,173
1,III. Ensuring the Regularity of Elections,177
2,President in the Commission on the Final Counting of Votes,177
3,C. Access,178
4,D. Procedures before the Constitutional Council,181
5,L. Constitutional Review,182
2,Il. Effect of the Council’s decisions,183
1,Part II. International treaties and the alternative to constitutional review,187
2,A. International law and the domestic legal order,187
1,E. Protecting constitutional rights and promoting democratic advancement,183
2,Decrees,188
1,Other Regulatory Instruments,188
2,B. Le contrôle de conventionnalité des lois,188
3,Conclusion,190
1,References,196
1,Part I. The immediate triggers of the Anglophone crisis in brief,200
2,self-determination,199
1,Part II. Responses to the Anglophone problem,202
2,A. Decentralisation,202
1,I. Justifying decentralisation,203
2,B. Special autonomy status,206
1,A. DEVOLVED POWERS,209
3,Participating in the formulation of national public policies relating to the Anglophone education subsystem,209
1,Setting up and managing regional development authorities,209
2,LTT. Institutional structures,211
3,A. DELIBERATIVE AND EXECUTIVE ORGANS,211
4,B. THE PUBLIC INDEPENDENT CONCILIATOR,214
5,IV. Procedural considerations,215
1,A. NEGOTIATING A SPECIAL STATUS AGREEMENT,216
2,B. NORMATIVE FOUNDATIONS OF THE SPECIAL STATUS AGREEMENT,217
1,C. Federalism,219
2,I. Justifying a return to federalism,219
1,D. Secession,222
2,Justifying secession,222
3,determination of the Southern Cameroonian people.,225
4,Republic of Cameroon.,226
1,Conclusion,229
2,Decree No. 2017/013 of 23 January 2017 on the creation of the National Commission for Bilingualism and Multiculturalism.,230
3,ibid,232
4,The speech is available at https://www.prc.cm/en/news/speeches-of-the-president/,232
1,Gunme & Ors v Attorney General of the Federal Republic of Nigeria. Suit No. FHC/ABJ/CS/30/2002,236
2,References,237
3,Managing diversity 217,238
1,Part I. Overview of constitutional provisions,242
2,A. Justiciability of human rights,242
2,B. Substantive features of human rights provisions,243
3,I. Indivisibility of human rights,243
3,I. The concept of ‘duties’,244
2,Institutional protection mechanisms,246
2,Mandate,248
2,Prospects and challenges,253
3,The Directorate for Human Rights and International Cooperation,254
1,Overview of the institutional structure,254
2,Mandate and powers,254
3,Assessment of its role in the protection and promotion of human rights,255
4,Conclusion,257
5,Notes,257
1,Constitutional engineering,265
2,References,261
1,Notes,266
2,References,267
2,Index,268
