1,MIPLC Studies,1
2,The Role of the Patent System in Stimulating Innovation and Technology Transfer for Climate Change,4
3,Including Aspects of Licensing and Competition Law,4
1,Introduction,10
2,Acknowledgment,8
2,Abstract,9
3,A. Connecting IP with Climate Change,10
3,B. Purpose of Research,10
1,I. Introduction,14
2,II. Background: International Legal Framework for Climate Change,22
3,A. Green Technology Innovation and Diffusion under International Law,22
4,1. Declaration of the UN Conference on the Human Environment (1972),22
3,A. Connecting IP with Climate Change,14
4,Green Technology 1. What is Green Technology?,16
5,Increasing Investment and Technology Transfer,19
1,VII. Conclusion,12
1,Agenda 21 (1992),22
1,Convention on Biological Diversity (1993),22
1,UN Framework Convention on Climate Change (1994),23
2,Responsibility for Vulnerable Countries,24
2,Push Factors,24
1,UN Convention and Protocols,25
2,Expert Group on Transfer of Technology,25
2,Bali Action Plan and Technology Transfer,25
2,Ad Hoc Working Group on Long-term Cooperative Action,25
3,UN Convention to Combat Desertification (1996),27
3,Kyoto Protocol (1997),27
1,Exceptions to Rights under TRIPS Article 30,28
2,Compulsory Licensing under TRIPS and Beyond a) For Public Health,30
3,b) For Climate Change?,31
4,c) Specific sector across energy sectors,32
5,Role of Patent Law A. Role of Patent Law 1. TRIPS Article 27(2) and Ordre Public,34
1,2. Business Method Patents: Bilski and Carbon Trading Inventions,37
2,3. Novelty and ‘Green’ Indication of a Known Substance,39
3,4. Non-obviousness: KSR and Green Technology,40
4,5. ‘Greenness’ and Utility Requirements,41
2,B. Role of Patent Policy,42
1,Activities by WIPO and Patent Offices,43
2,(1) Patent Cooperation Treaty,43
3,(2) Patent Classification: Catchword Index for Environmentally Sound Technology,44
4,(3) WIPO Development Agenda and Climate Change,44
5,b) Fast-tracking Services (1) UK Intellectual Property Office: Green Channel,45
1,USPTO: Green Technology Pilot Program,46
2,Preferential Treatment for Patenting Green Inventions,46
3,Benefits of Early Patenting,46
4,Non-discrimination under TRIPS Article 27(1),48
5,Verifying ‘Greenness’ Independent from Patent Grant,50
1,European Patent Office (a) Patents and Clean Energy Project,51
2,(b) Classification Scheme for Clean Energy Technologies,52
3,(c) Information Services,50
4,(2) Opportunities Provided by Patent Information,52
5,(3) Licensing Best Practices,53
1,V. Green Technology Transfer and IP,58
2,decision-making processes at the domestic level and those at the international lev- el.,58
3,2. Japan Intellectual Property Association Proposal,59
4,3. Open Innovation: GreenXchange,60
1,B. IP Issues in Green Technology Transfer,61
2,1. Effects of Non-assertion Commitments,61
3,2. IP Ownership in R&D Collaboration,62
4,3. Financing Innovation and Patenting Costs,63
5,2. Patent Law and Practices,68
1,B. Standardization and Patent Pooling,69
2,1. Green Technology Standards and Patent Pools,69
3,2. The Unocal Case: Abuse in Law of Environmental Standards,70
4,3. Green Technology Standards and IP Policies,71
2,List of Works Cited,80
1,WIPO Expert Determination,88
3,Cleantech Definition: Clean is More Than Green,90
