1,About the Author,3
2,About CALI eLangdell Press,3
2,Notices,4
3,iv,4
1,Preface,6
1,Table of Contents,10
2,Unit II: Two Types of Gross Income: Compensation and Residual Gross Income,12
3,Chapter 5: § 61(a)(1) Compensation,12
4,OLD COLONY TRUST CO. v. COMMISSIONER,12
5,COMMISSIONER v. KOWALSKI,13
6,LINDEMAN v. COMMISSIONER,13
7,Section 132,13
1,Unit III: The Possibilities for Income Shifting,13
2,Introduction to Chapters 7 through 9,13
3,Excerpt from Defining Income by Alice G. Abreu & Richard K. Greenstein,13
1,HELVERING v. CLIFFORD,15
2,Income splitting USING A NONGTANTOL CRUSE,15
3,Chapter 9: Income Shifting in the Fractured Family,15
1,Unit IV: Everything You Ever Wanted To Know About Debt but Were Afraid To Ask,15
2,Introduction to Chapters 10 through 12,15
3,Chapter 10: Borrowing and Lending,15
1,NORTH AMERICAN OIL CONSOLIDATED v. BURNET,16
2,Lewis and the enactment Of § 1341,16
1,A. The purchase of property with borrowed money—the front-end rule in Crane,16
1,Chapter 14: Depreciation and Amortization in a Realization-Based Income Tax,17
3,Reduction of property debt without a property transfer,17
4,Planning possibilities regarding the timing of realized capital gains and losses,18
1,C. The meaning of “capital asset” and “sale or exchange”,18
2,§ 1221(a)(1): the inventory or dealer election,18
3,BYRAM v. UNITED STATES,18
4,§ 1221(a)(2): certain property 'used' in the taxpayer’s trade or business,18
1,§ 1231 BAINS AND LOSSES,19
2,§$ 1245 and 1250 “depreciation reCapture”,19
2,Chapter 19: Gambling and Hobby Losses,21
3,A. Gambling losses: § 165(d),21
4,GENERAL LEGAL ADVICE MEMORANDA 2008-011,21
2,PEVSNER v. COMMISSIONER,22
3,MOSS v. COMMISSIONER,22
1,Unit VII: The Taxable Year and Methods of Accounting,22
2,Introduction to Chapters 21 and 22,22
3,Chapter 21: The Taxable Year,22
4,A. The annual accounting principle in general,22
1,Introduction,24
2,The legislative branch,26
2,The executive branch,26
3,Tax procedure overview,32
1,The Core Structures of Income and Consumption Taxation and Tax Policy,37
2,Chapter 1: The Essential Structure of the Income Tax,39
3,Gross Income (wealth increases) Less Deductions (certain wealth reductions),41
1,Taxable Income (the tax base—what is ultimately taxed),41
2,Gross Income (wealth increases: exclusion available?) Less Deductions (certain wealth reductions),43
3,Deductions (part 1): nondeductible “capital expenditures” vs. potentially deductible “expenses”,43
4,Table A: Compound Interest,46
2,Amount to Which $1 Now Will Grow by End of Specified Year at Compounded Interest,46
3,Year 3% 4% 5% 6% 7% 8% 10% 12% 15%,46
2,Table B: Present Value What $1 at End of Specified Future Year Is Worth Today,47
1,Deductions (part 2): which “expenses” are deductible and why?,51
3,Deductions (part 3): § 1001 “loss” (and more on normative income tax theory),54
4,Deductions (part 4): depreciation,55
5,§ 1016 basis adjustments,56
1,A brief introduction to the concept of “capital” gains and losses,57
2,Problems,61
4,2016 Table for Unmarried Individuals,63
5,Equals Adjusted Gross Income (Individuals),64
1,§ 62 above-the-line deductions,65
2,Personal and dependent exemption deductions,66
2,Standard deduction versus itemized deductions,66
1,§ 68: the partial phase-out of itemized deductions,68
2,§ 67: the 2% floor under “miscellaneous itemized deductions”,68
3,Alternative minimum tax,69
1,Nonemployee: Above the Line. See § 62(a)(1). Employee /,70
