1,UN Human Rights Institutions and the Environment,4
2,Developing States,2
3,a critical analysis of the potential fragmentation and cross-fertilization in this emerging field.,2
2,Addicted to Growth,5
1,Foreword,16
2,PART II Charter-Based Mechanisms,11
3,Abbreviations,10
4,9.4 Conclusion,14
1,Acknowledgments,18
2,Acknowledgments,19
1,International Cases and Complaints to Human Rights Treaty Bodies,22
1,Table of Treaties and Other Instruments,24
2,1945 United Nations Charter,24
3,Universal Declaration of Human Rights,24
4,International Convention on the Elimination of All Forms of Racial Discrimination,24
6,Convention on the Elimination of All Forms of Discrimination Against Women,25
1,Rio Declaration on Environment and Development,25
2,Convention on Biological Diversity,25
3,UN Framework Convention on Climate Change,25
4,UN Guiding Principles on Internal Displacement,25
5,Asian Human Rights Charter,25
6,2001 UNESCO Universal Declaration on Cultural Diversity,26
7,International Centre of Comparative Environmental Law - Draft of the International Covenant on the Human Right to the Environment,27
1,Institutions and the Environment,30
2,Framing the Issues,30
3,1.1 Introduction,30
2,1.2 Environmental Issues Covered,33
1,Introduction,33
2,Climate Change,33
3,Sustainable Development and Sustainable Development Goals,34
3,Other Issues Covered,35
2,Methodology,35
2,Outline of the Book and Overview of Chapters,35
1,Introduction,42
2,Overview of International Human Rights Law,42
3,International Bill of Rights,44
2,Notes,38
1,Human Rights Overview,44
2,Typology of Rights,44
3,An Overview of Human Rights Institutions,45
4,Treaty-Based Mechanisms,45
5,Charter-Based Mechanisms,46
6,Office of the High Commissioner for Human Rights,47
1,2.4 Rights Affected by Environmental Degradation,47
2,2.4.1 Right to Life,48
2,2.4.2 Right to Health,48
1,2.5 Specialized Treaties on Vulnerable Groups,50
1,2.6 Emergence of Environmental Rights and the Right to a Healthy Environment,50
2,2.6.1 Articulation of Environmental Rights,51
2,2.6.2 Developments at the UN: The Creation of Special Mandates,53
1,2.7 Other Global Efforts to Recognize Environmental Rights,54
3,2.7.1 Draft International Covenant on the Human Right to the Environment,54
1,2 Global Pact for the Environment and Related Developments,54
2,2.7.2 Global Pact for the Environment,54
2,2.8 Regional Developments,55
2,2.9 Developments at the National Level,56
2,2.10 Conclusion,57
1,ence on Human Rights in Vienna (25 June 1993),58
2,References,62
3,ASEAN (2012) Human Rights Declaration,62
4,Asian Human Rights Commission (AHRC) (1988) Asian Human Rights Charter,62
2,Commissioner for Human Rights,68
1,3.1 Human Rights Council,68
2,3.1.1 Introduction and Mandate,68
2,3.1.2 Universal Periodic Review and Working Group Recommendations,69
3,3.1.2.1 Environmental Protection,70
3,3.1.2.2 Climate Change,72
1,3.1 Indigenous Rights and Business Enterprises,76
2,3.1.2 Indigenous Peoples and Related Issues,76
3,3.1.2.4 Indigenous Rights,76
2,3.1.2 Business Enterprises and Transnational Corporations,78
3,3.1.2.5 Business Enterprises and Transnational Corporations,78
1,3.1.3 Resolutions of the HRC,78
2,3.1.3 Environmental Protection/Degradation,78
3,3.1.3.1 Environmental Protection/Degradation,78
3,3.1.3.2 Climate Change,80
1,3. Sustainable Development and Human Rights,81
2,3.1. UN Bodies Related to Environmental Issues,82
3,3.1.1 UN Human Rights Council and OHCHR — 55,82
4,3.2 Office of the High Commissioner for Human Rights,82
5,3.2.1 Environmental Protection/Degradation,82
6,3.2.2 Climate Change,83
1,3.2 Sustainable Development and SDGs,88
2,3.2.3 Sustainable Development and SDGs,88
1,3.3 Conclusion,89
1,References,97
1,Notes,90
1,4. Introduction,102
2,Mandate Holders,102
3,4.1 Appointment of a Special Rapporteur on Human Rights and the Environment,102
4,4.2 Independent Expert on Human Rights and the Environment,105
5,4.3 Special Rapporteur on Human Rights and Environment,106
2,4.5.1 Framework Principles on Human Rights and Environment,107
3,4.6 Special Rapporteur on Cultural Rights,113
3,4.7 Special Rapporteur on the Right to Food,116
3,4.8 Special Rapporteur on Extreme Poverty and Human Rights,122
1,4. Working Groups and Special Rapporteurs,124
2,4.9 The Working Group on Human Rights and Transnational Corporations and Other Business Enterprises,124
4,4.11 Special Rapporteur on Indigenous Peoples,127
5,4.12 Special Rapporteur on Climate Change and Human Rights,130
1,4.14 Conclusion,132
2,Notes,132
3,See Chapter 5,134
2,Special Rapporteurs on Human Rights and the Environment,139
1,5 Introduction and Mandate,146
2,5.2 General Comments,147
3,5.3 Environmental Management,150
1,References,140
2,5.3 Specific Topics,151
3,5.3.2 Climate Change,151
3,5.3.3 Indigenous Peoples,152
2,5.4 Individual Communications,154
2,5.5 Conclusion,164
1,Notes,165
1,Human Rights and Legal Commentary,168
2,General Comment No. 6 on the Right to Life (replaced by GC No 36),168
3,References,170
5,Introduction,174
6,General Comments,175
1,With regard to the second proposed General Comment,181
2,6.3 Concluding Observations,181
3,6.3.1 Climate Change,181
4,rights obligations as a primary consideration in its natural resource exploitation and export policies.,182
1,6.3 Sustainable Development Themes,194
2,6.3.3 Sustainable Development and Sustainable Development Goals,194
2,6.3.4 Indigenous Rights,195
2,6.3.5 Human Rights Defenders,199
2,Notes,201
3,See Section 6.3.4,203
3,See Section 6.3.3,203
1,7. Introduction and Mandate,218
2,7.1 Introduction and Mandate,218
3,7.2 General Recommendations,219
4,References,214
5,The Committee referred to inadequate and heavily polluted living condition in the Dominican Republic,207
1,7 Sustainable Development Issues,220
2,7.2 Sustainable Development and Related Topics,220
3,7.2.1 Sustainable Development and SDGs,220
3,7.2.3 Climate Change,222
2,7.3 Concluding Observations,226
3,7.3.1 Climate Change,226
3,7.3.2 Sustainable Development Goals,233
3,7.3.3 Environmental Pollution,234
3,7.3.4 Renewable Energy,237
3,7.3.5 Women Human Rights Defenders,238
2,7.4 Conclusion,238
1,Committee on the Rights of the Child,254
2,General Comments,254
3,UNFCCC Decisions,251
4,References,248
5,Notes,239
6,Korea Observations,244
1,Similar comments were made on the report of Australia,268
2,Amici Curiae Brief of Special Rapporteurs,273
3,Commit to meeting 100% of its electricity needs with renewable energy,280
4,Notes,280
1,References,290
2,Operations which may threaten the environment in areas inhabited by these communities.,304
1,Notes,313
1,References,320
2,Notes,330
3,References,330
4,Index,332
2,pygmy communities,343
3,reparations,343
3,respiratory diseases; pneumonia,343
3,rights-based approach to governance; rights-based deep decarbonization plans,344
