1,Women and the UN,2
1,Critical Reflections on Public Private Partnerships Edited by Jasmine Gideon and Elaine Unterhalter,3
2,Political Participation and Democratic Capability in Authoritarian States Lien Pham and Ance Kaleja,3
1,Contents,8
2,Contributors ix Introductory note: Learning journey for a feminist:,8
2,achievements and demanding power to women X1li TORILD SKARD Preface: Women of the UN: Shifting the Narrative by Revealing Forgotten Voices XVill FATIMA SATOR AND ELISE DIETRICHSON,8
1,4 International welfare feminism: CSW navigating cold war tensions 1949-55 REBECCA ADAMI,8
2,Who wrote CEDAW? ELLEN CHESLER,9
3,Were children’s rights ever a feminist project? LINDE LINDKVIST,9
1,Contributors,10
3,Ellen Chesler,10
2,Elise Dietrichson,11
1,Introductory note,12
2,Khushi Singh Rathore,12
2,Torild Skard,12
2,Cornelia Weiss,12
1,Introductory note,15
2,San Francisco 1945,15
3,Feminist in male-dominated society,14
4,Getting UN history right,17
5,Slow progress,17
1,Women of the UN: Shifting the Narrative by Revealing Forgotten Voices,19
2,Preface,19
3,Notes,18
3,Bibliography,18
4,Fatima Sator and Elise Dietrichson,19
1,Rediscovering women in history,20
2,Why are women in history forgotten?,21
2,Advocating for change,22
3,Notes,24
4,Katherine M. Marino,28
1,Introduction,28
2,Pan-American feminism’s equal rights treaty,29
3,Popular front Pan-American Feminism: From equal rights to human rights,32
4,Towards the United Nations: Women’s rights and human rights,33
5,Pan-American feminism shapes the United Nations,35
1,Pan-American feminist legacies in the UN and human rights,38
2,From women’s rights to human rights,42
3,Bibliography,42
1,How they shaped the UN Charter and why Southern agency is forgotten,44
2,Introduction,44
1,Introduction,44
2,Elise Dietrichson and Fatima Sator,44
3,up the legislative history of the UN and 22 volumes were published between 1945 and 1955.,46
4,Contesting the global hegemonic orthodoxy: Global IR and feminist critique,46
5,The Latin American contribution to women’s rights at the UNCIO,47
1,Women delegates at the UNCIO,48
2,How women’s rights were included in the UN charter,48
3,The equal rights of men and women,49
4,Nondiscrimination based on sex,49
5,Article 8—Equal participation in the United Nations,50
1,The origins of a separate commission on the status of women,51
2,Southern women delegates and Western resistance,51
2,Human rights and the UN Charter,53
3,Locating agency in the South,53
2,The limitations of third world feminism in locating positive agency from the South,54
1,Conclusion,57
2,Elise Dietrichson and Fatima Sator,59
1,The Blue Book Series-The United Nations and The Advancement of Women,61
1,Bibliography,63
2,Politics of Feminism. Bloomington: Indiana University Press: 1-47.,64
2,Introduction,66
3,The most remembered: Vijaya Lakshmi Pandit,67
2,Excavating hidden histories,68
3,The most remembered: Hansa Mehta,70
1,The Universal Declaration of Human Rights (UDHR) was adopted in the year 1948,70
2,Equal Rights for Women are Not Enough. — Begum Shareefah Hamid Ali.*°,73
3,The forgotten envoys: Begum Shareefah Hamid Ali and Lakshmi Menon,73
1,Conclusion,76
1,Notes,76
1,Introduction,82
2,International welfare feminism — a hidden historical narrative in the UN?,83
3,Indian Suffragettes: Female Identities and Transnational Network,80
3,India in the United Nations: Interplay of Interests and Principles,80
1,Equal Pay for Women Issues,85
2,Equal pay for women and the need for a separate female division within the ILO,85
3,Resistance from US women’s organisations of all-female UN body,85
4,Reverting the notion of “equal pay” for women,88
5,Equal pay for women—a question for the Commission on the Status of Women?,90
6,Dorothy Kenyon (US) and Mary Sutherland (UK) wanted the CSW to refer the 1949 draft on equal pay for equal work back to the ILO,90
1,International welfare feminism and its relevance today,92
2,Notes,93
2,Rebecca Adami,95
2,Bibliography,96
1,Introduction,98
2,Roland Burke,98
3,Manufacturing monolithic cultures: Colonial cynicism on human rights for women,101
4,Conclusions: Traditional abuses or abuses of tradition?,108
5,Notes,109
1,Roland Burke,111
1,Bibliography,113
1,Introduction,115
1,History of international conferences on women,116
2,The world plan of action,122
2,Outcome,125
3,Notes,126
2,United Nations International Years,127
1,Introduction,131
2,Ellen Chesler,131
3,Getting to a declaration on women’s rights,132
4,Bibliography,129
1,Who was Annie Jiagge?,134
2,Leticia Ramos Shahani and the drafting of the CEDAW,138
3,When Shahani transferred to the section of the Secretariat staffing the CSW in,140
1,Conclusion,145
1,Notes,146
3,Bibliography,150
4,Constitutuonalizing Women’s Equality,151
5,Introduction  International norm-making on women’s rights and children’s rights is often,152
1,Introduction,152
2,Were children’s rights ever a feminist project?,154
2,From human rights to children’s rights,154
2,Gender and the UN convention on the rights of the Child,156
1,Concluding reflections,160
2,Bibliography,164
1,Introduction,166
2,Cornelia Weiss,166
3,The Sponsor,166
4,The unlikely genesis of the groundbreaking Security Council resolution,168
5,Advocating to the security council,170
1,Socializing and drafting,172
3,Arria formula meeting,173
4,Conclusion,177
5,Acknowledgement,177
3,Cornelia Weiss,179
8,Mendez 2008: 224,182
1,United Nations,183
3,AROUND THE WORLD; Liechtenstein Women Win Right to Vote,183
7,Creating UNSCR 1325,186
9,The role of women in the history of the United Nations should be seen in the context of emerging and re-emerging debates in International History and Inter- national Relations.,188
1,Varieties of agency,190
2,Notes,193
2,Bibliography,194
2,Index,196
