1,"Consumer Data Protection in Brazil, China and Germany: A Comparative Study",1
1,German Federal Ministry of Justice and Consumer Protection,1
1,State Administration for Industry and Commerce of the People´s Republic of China,1
1,"National Consumer Secretariat, Ministry of Justice of the Federal Republic of Brazil",1
1,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH (eds.),1
1,"Board of Editors: Rainer Metz, Jörg Binding, Pan Haifeng",1
1,Coordinating Editor: Florian Huber,1
1,"Consumer Data Protection in Brazil, China and Germany",3
1,Published by Göttingen University Press 2016,4
1,"Consumer Data Protection in Brazil, China and Germany: A Comparative Study",5
1,Edited by German Federal Ministry of Justice and Consumer Protection,5
1,State Administration for Industry and Commerce of the People´s Republic of China,5
1,"National Consumer Secretariat, Ministry of Justice of the Federal Republic of Brazil",5
1,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,5
1,"Board of Editors: Rainer Metz, Jörg Binding, Pan Haifeng",5
1,Coordinating Editor: Florian Huber,5
1,Göttingen University Press 2016,5
1,Bibliographic information published by the Deutsche Nationalbibliothek,6
1,This work is protected by German Intellectual Property Right Law.,6
1,It is also available as an Open Access version through the publisher’s homepage and the Göttingen University Catalogue (GUK) at the Göttingen State and University Library (http://www.sub.uni-goettingen.de).,6
1,The license terms of the online version apply.,6
1,Set and layout: Franziska Pannach,6
1,Cover design: Jutta Pabst,6
1,Cover picture: Maksim Kabakou/shutterstock.com,6
1,© 2016 Göttingen University Press,6
1,http://univerlag.uni-goettingen.de,6
1,ISBN: 978-3-86395-236-5,6
1,Table of Contents,7
1,Chapter 1: Study Structure,7
1,"Chapter 2: Country Studies on Consumer Data Protection (Brazil, China, Germany) and International Initiatives",7
1,"Chapter 3: Law in Practice: Current Issues, Challenges and Case-Law for the Enforcement of Laws and Regulations on Consumer Data Protection",10
1,Chapter 4: Comparative Thematic Issues of Consumer Data Protection,12
1,Chapter 1: Study Structure,13
1,A. Project Summary,13
1,B. Research Activities,15
1,C. General Overview of the Study,16
1,"Chapter 2: Country Studies on Consumer Data Protection (Brazil, China, Germany) and International Initiatives",19
1,A. Consumer Data Protection in Brazil (Prof. Dr. Danilo Doneda),19
1,A. Consumer Data Protection in Brazil (Prof. Dr. Danilo Doneda),19
2,B. Consumer Data Protection in China,41
2,(Prof. Dr. Zhou H anhua),41
2,C. Consumer Data Protection in Germany,77
2,(Prof. Dr. Gerald Spindler),77
2,D. Review of International Initiatives on Consumer Data Protection,140
2,(Consumers International),140
1,"Chapter 3: Law in Practice: Current Issues, Challenges and Case-Law for the Enforcement of  Laws and Regulations on Consumer Data Protection",159
2,A. Current Judicial and Administrative Issues of Consumer Data Protection in Brazil (Prof. Dr. Danilo Doneda),159
2,Súmula 323/STJ:,162
2,Súmula 359/STJ:,162
2,Súmula 385/STJ:,163
2,B. Current Consumer Data Protection Issues Before Chinese Tribunals (Prof. Dr. Zhou H anhua),169
2,C. Current Issues and Case Law Concerning Consumer Data Protection in Germany and Europe (Prof. Dr. Gerald Spindler),187
2,D. Challenges of New Technologies for Consumer Data Protection (Privacy International with Consumers International),201
1,Chapter 4: Comparative Thematic Issues of Consumer Data Protection,209
