1,Populist Challenges to Constitutional Interpretation in Europe and Beyond,2
1,Comparative Constitutional Change,3
2,Series editors:,3
2,Also in the series:,3
3,Icelandic Constitutional Reform,3
3,Dynamic Federalism,3
3,"Peace, Discontent and Constitutional Law",3
3,New Challenges to Constitutional Adjudication in Europe,3
3,Constitutional Change and Popular Sovereignty,3
1,Populist Challenges to Constitutional Interpretation in Europe and Beyond,4
1,Contents,6
2,PART I: Theoretical implications,6
3,Populism and populist constitutionalism,6
3,The art of constitutional interpretation,6
3,An ‘Instrument of Government’ or ‘Instrument of Courts’? The impact of political systems on constitutional interpretation and the case of populism,6
3,Can there be autochthonous methods of constitutional interpretation?,7
2,PART II: Constitutional interpretation and populism in Europe,7
3,Formalism and judicial self-restraint as tools against populism? Considerations regarding recent developments of the Austrian Constitutional Court,7
3,The Czech Constitutional Court in times of populism: From judicial activism to judicial self-restraint,7
3,"Popular initiatives, populism and the Croatian constitutional court",8
3,Constitutional identity as a populist notion? The Council of State and the forging of the Greek constitutional identity through the crisis,8
3,Constitutional interpretation under the new Fundamental Law of Hungary,8
3,The populist reforms in Italy and the instrument of the constitutionally conforming interpretation,8
3,Whatever works: constitutional interpretation in Poland in times of populism,9
3,Non sequiturs in constitutional adjudication: populism or epistemic deficit?,9
3,Constitutional interpretation and populism in contemporary Spain,9
3,"Populism, UK sovereignty, the rule of law and Brexit",9
2,PART III: An Outlook,10
2,"15 Born populist: the Trump administration, the courts and the Constitution of the United States",10
2,16 Constitutional interpretation: What can Europeans learn from US debates?,10
2,17 Populist and non-democratic reading of the constitution – Sad lessons from Latin America,10
1,PART IV,11
2,Summary,11
2,18 Populist challenges to constitutional interpretation: an assessment,11
1,List of Authors,12
2,Introduction and Acknowledgements,14
1,Part I,18
2,Theoretical implications,18
2,1 Populism and populist constitutionalism,20
3,1.1 Introduction,20
3,1.2 The impalpable concept of populism,20
3,1.3 Conceptualizing populism,22
4,1.3.1 Historical background,22
4,1.3.2 The dimensions of populism,23
4,1.3.3 Types of populism,26
3,1.4 The mysterious notion of populist constitutionalism,27
4,"1.4.1 Authoritarian, illiberal, or populist constitutionalism?",28
4,"1.4.2 Populist constitutionalism: an oxymoron, or a special kind of constitutional system?",29
4,1.4.3 Defining populist constitutionalism: positive and negative criteria,32
5,1.4.3.1.1 CRITICISM OF THE SEPARATION OF LAW AND POLITICS,33
5,1.4.3.1.2 ANTI-ELITISM,34
5,1.4.3.1.3 ANTI-INSTITUTIONALISM,35
5,1.4.3.1.4 ANTI-PLURALISM,36
5,1.4.3.1.5 ILLIBERALISM,37
5,1.4.3.2.1 POPULAR SOVEREIGNTY AND DIRECT DEMOCRACY,38
5,1.4.3.2.2 AUTHENTIC POPULAR REPRESENTATION,39
5,1.4.3.2.3 EXTREME MAJORITARIANISM,40
5,1.4.3.2.4 THE STRONG LEADER (PERSONIFICATION OF POWER) AND THE STRENGTHENING OF EXECUTIVE POWER,41
5,1.4.3.2.5 THE INSTRUMENTALIZATION OF LAW,42
5,1.4.3.2.6 OTHER (SECONDARY) CRITERIA,43
2,The art of constitutional interpretation,46
2,2.1 Defining constitutional interpretation,46
2,2.2 Classifying interpretive theories,48
3,2.2.1 Monist and pluralistic theories,48
3,2.2.2 Other classifications of interpretive theories,51
2,2.3 Main interpretive theories,54
3,2.3.1 Interpretive modalities,54
3,2.3.2 Substantive interpretation,56
3,"2.3.3 Other interpretive aids: judicial doctrines, constructions, standards, tests and legal maxims",57
2,2.4 Conclusion,59
2,An ‘Instrument of Government’ or ‘Instrument of Courts’? The impact of political systems on constitutional interpretation and the case of populism,60
2,3.1 Introduction,60
2,3.2 Do political systems generate their own rules of constitutional interpretation?,62
3,3.2.1 Hypotheses,62
3,3.2.2 Written rules on constitutional interpretation – in the liberal world and beyond,63
2,3.3 Populist constitutionalism and constitutional interpretation – instruments and limits,72
2,3.4 Escalating or de-escalating populism: the role of courts in constitutional interpretation,75
2,3.5 Conclusions,77
2,Can there be autochthonous methods of constitutional interpretation?,79
2,4.1 Introduction,79
2,4.2 Substantive constitutional provisions,80
2,4.3 Interpretations of substantive provisions,82
2,4.4 Methods of constitutional interpretation,85
2,4.5 Conclusion,88
1,Part II,90
2,Constitutional interpretation and populism in Europe,90
3,5 Formalism and judicial self-restraint as tools against populism,92
4,Considerations regarding recent developments of the Austrian Constitutional Court,92
5,Konrad Lachmayer,92
6,5.1 Introduction,92
6,5.2 Populism in Austria,93
7,5.2.1 Populism – what kind of populism?,93
7,5.2.2 The Austrian Freedom Party and the rise of populism in Austria,94
7,5.2.3 Recent development: the Freedom Party in Austrian government – part II (2017–2019),98
6,5.3 The Kurz Governments,100
7,5.3.1 Kurz I (2017–2019),100
7,5.3.2 Kurz II (2020–),102
6,5.4 Changing approaches of the Austrian Constitutional Court,103
7,5.4.1 Judicial approaches towards populism,103
7,5.4.2 Promoting Rights in a European Context (1970–2008),104
7,5.4.3 The Slovenian Minority Case Law,106
7,5.4.4 Protecting Rights in a European Context (2008–2020),108
7,5.4.5 Surveillance Case Law,109
6,5.5 Conclusion – The Austrian Constitutional Court maintains its own approach,110
3,6 The Czech Constitutional Court in times of populism,112
4,From judicial activism to judicial self-restraint,112
5,Zdeněk Kühn,112
6,6.1 The legal design of the Czech Constitutional Court and the rise of populism in Czech politics,112
6,6.2 The two decades of expansion of the powers of the Constitutional Court and the decade of slow retreat,116
5,Zdeněk Kühn,119
6,6.3   Review of the constitutionality of legislation,119
5,Zdeněk Kühn,121
6,6.4   Activism of the Constitutional Court in relation to the general judiciary (constitutional complaints),122
5,Zdeněk Kühn,123
6,6.5   The personal homogeneity of the first Constitutional Court and the heterogeneity of the second and third court?,124
5,Zdeněk Kühn,125
6,6.6   Conclusions,125
