1,MIPLC Studies,1
1,The Role of the Patent System in Stimulating Innovation and Technology Transfer for Climate Change,1
2,Including Aspects of Licensing and Competition Law,1
1,MIPLC Studies,3
2,Edited by,3
3,"Prof. Dr. Christoph Ann, LL.M. (Duke Univ.)",3
3,Technische Universität München,3
3,Prof. Robert Brauneis,3
3,The George Washington University Law School,3
3,"Prof. Dr. Josef Drexl, LL.M. (Berkeley)",3
3,Max Planck Institute for Intellectual Property and Competition Law,3
3,Prof. Dr. Thomas M.J. Möllers,3
3,University of Augsburg,3
3,"Prof. Dr. Dres. h.c. Joseph Straus,",3
3,Max Planck Institute for Intellectual Property and Competition Law,3
2,Volume 13,3
1,Hee-Eun Kim,4
1,The Role of the Patent System in Stimulating Innovation and Technology Transfer for Climate Change,4
2,Including Aspects of Licensing and Competition Law,4
1,To my family,6
1,Acknowledgment,8
1,Abstract,9
1,Table of Contents,10
2,Abstract,10
2,Introduction,10
2,Defining Green Technology,10
2,Background: International Legal Framework for Climate Change,10
2,Role of the Patent System,11
2,Green Technology Transfer and IP,11
2,Balancing IP and Competition,12
2,Conclusion,12
2,List of Works Cited,12
1,Introduction,14
2,Connecting IP with Climate Change,14
2,Purpose of Research,14
1,Role of the Patent System,34
2,Role of Patent Law,34
3,TRIPS Article 27(2) and Ordre Public,34
1,Business Method Patents: Bilski and Carbon Trading Inventions,37
2,Novelty and ‘Green’ Indication of a Known Substance,39
1,Defining Green Technology,16
2,Green Technology,16
3,What is Green Technology?,16
1,Facts and Trends in Green Patent Filing,17
2,Increasing Investment and Technology Transfer,19
1,Background: International Legal Framework for Climate Change,22
2,Green Technology Innovation and Diffusion under International Law,22
3,Declaration of the UN Conference on the Human Environment (1972),22
4,Agenda 21 (1992),22
5,Convention on Biological Diversity (1993),22
6,UN Framework Convention on Climate Change (1994),23
1,Responsibility for Vulnerable Countries,24
2,Push Factors,24
3,Expert Group on Transfer of Technology,25
4,Bali Action Plan and Technology Transfer,25
5,Ad Hoc Working Group on Long-term Cooperative Action,25
1,UN Convention to Combat Desertification (1996),27
2,Kyoto Protocol (1997),27
1,Compatibility with TRIPS Flexibilities,28
2,"Technology Transfer Obligation under TRIPS Articles 7, 8(1) and 66(2)",28
3,Exceptions to Rights under TRIPS Article 30,28
1,Compulsory Licensing under TRIPS and Beyond,30
2,For Public Health,30
3,For Climate Change?,31
1,Role of the Patent System,34
2,Role of Patent Law,34
3,TRIPS Article 27(2) and Ordre Public,34
1,Business Method Patents: Bilski and Carbon Trading Inventions,37
2,Novelty and ‘Green’ Indication of a Known Substance,39
2,Non-obviousness: KSR and Green Technology,40
3,KSR,40
3,Graham v. John Deere,40
2,Leapfrog v. Fisher-Price,41
2,‘Greenness’ and Utility Requirements,41
3,Brenner v. Manson,41
3,Application of Anthony,41
3,Application of Antony,41
3,In re Fisher,41
2,Role of Patent Policy,42
2,Activities by WIPO and Patent Offices,43
3,World Intellectual Property Organization,43
3,Patent Cooperation Treaty,43
3,Patent Classification: Catchword Index for Environmentally Sound Technology,44
3,WIPO Development Agenda and Climate Change,44
3,Fast-tracking Services,45
3,UK Intellectual Property Office: Green Channel,45
3,USPTO: Green Technology Pilot Program,46
3,Preferential Treatment for Patenting Green Inventions,46
2,Information Services,50
3,European Patent Office,51
2,Opportunities Provided by Patent Information,52
2,Licensing Best Practices,53
1,Green Technology Transfer and IP,58
2,Initiatives by IP Communities,58
3,Eco-Patent Commons,58
3,Japan Intellectual Property Association Proposal,59
3,Open Innovation: GreenXchange,60
1,IP Issues in Green Technology Transfer,61
2,Effects of Non-assertion Commitments,61
2,IP Ownership in R&D Collaboration,62
2,Financing Innovation and Patenting Costs,63
1,Balancing IP and Competition,66
2,Patent Litigation and Developments in Law and Practices,66
3,GE’s ‘039 Patent,66
2,Patent Law and Practices,68
2,Standardization and Patent Pooling,69
3,Green Technology Standards and Patent Pools,69
2,The Unocal Case: Abuse in Law of Environmental Standards,70
2,Green Technology Standards and IP Policies,71
2,Figure 2. IP Policies of Selected Green Technology Standard-Setting Organizations,73
1,Conclusion,78
1,List of Works Cited,80
2,Articles:,80
3,Ronald M. Daignault,80
3,Estelle Derclaye,80
3,Graeme B. Dinwoodie,80
3,Rochelle C. Dreyfuss,80
3,Hideo Doi,80
3,John F. Duffy,80
3,Bill  Eggertson,80
3,William Fisher,80
3,Damien Geradin,80
3,Michael Hasper,80
3,Cameron Hutchison,80
3,Mark D. Janis,80
3,F. Scott Kieff,80
3,Hee-Eun Kim,80
3,Edmund W. Kitch,80
3,Michael Kremer,80
3,Heidi Williams,80
3,Chi Chung Lee,81
3,Yilin Hu,81
3,Markus W. Ribbe,81
3,Michael Lehmann,81
3,Mark A. Lemley,81
3,Carl Shapiro,81
3,Rainer Moufang,81
3,Janis  M.  Mueller,81
3,James Nurton,81
3,Karolina Schoeler,81
3,Urs Steiner Brandt,81
3,Gert Tinggaard Svendsen,81
3,Joseph Straus,81
3,James Thuo Gathii,81
3,Craig Waldman,81
3,Margaret Ward,81
3,Bettina  Weiss,81
3,Meital Werner,81
3,Heinz Goddar,81
3,Tim Wilson,81
2,Books:,81
3,Henry William Chesbrough,81
3,Daniel Gervais,82
3,Paul Gipe,82
3,Larry M. Goldstein and Brian N. Kearsey,82
3,Fritz Machlup,82
3,"James  Manwell,  Jon  Mcgowan  and  Anthony  Rogers,",82
3,"Ron Pernick,",82
3,"Nuno Pires De Carvalho,",82
3,"Claudia Tapia,",82
3,"Michael Trimborn,",82
2,Cases:,82
3,Europe:,82
3,United States:,82
4,"Panasonic Corp. FTC Docket No. C-4274, File No. 091-0050, Jan. 6, 2010, available at http://www.ftc.gov/os/caselist/0910050.shtm",83
2,"Governmental, Non-Governmental or Inter-Governmental Sources:",83
3,ANSI (American National Standards Institute):,83
3,ASTM (American Society for Testing and Materials):,83
3,AWEA (American Wind Energy Association):,83
3,CBD:,83
3,CENELEC (European Committee for Electrotechnical Standardization):,83
3,EPO:,84
3,IEC (International Electrotechnical Commission):,85
3,IPCC:,85
3,ISO:,85
3,JPO:,85
3,OECD:,85
4,"Antoine  Dechezleprêtre,  Matthieu  Glachant,  Ivan  Haščič,  Nick  Johnstone  and  Yann Ménère,",85
4,"Nick Johnstone, Ivan Haščič and David Popp,",85
4,"Alfred A. Oteng-Yeboah,",85
4,"Cristina Tébar Less and Steven McMillan,",85
3,SAC (Standardization Administration of the People’s Republic of China):,85
3,SEMI (Semiconductor Equipment and Materials International):,85
3,SIPO:,86
3,UKIPO:,86
3,UN:,86
4,"H.E. Apisai Ielemia,",86
3,UNFCCC:,86
4,"Christiana Figueres,",87
3,UNITAID:,87
3,USEPA:,87
3,USPTO:,87
3,WIPO:,87
4,"Francis Gurry,",87
4,"Antony Taubman,",87
4,"Lutz Mailänder,",88
3,World Bank:,88
3,WTO:,88
2,Reports:,88
4,"Bernice Lee, Ilian Iliev and Felix Preston,",89
2,News media:,89
3,Bloomberg:,89
4,Ben  Sills,89
3,Reuters:,89
4,Scott Malone,89
3,The New York Times:,89
4,Keith Bradsher,89
4,Sewell Chan,89
4,Elisabeth  Rosenthal,89
3,Press Releases:,89
2,"The Internet, Electronic Media and Other Nonprint Resources:",90
4,"Timothy J. Burger,",90
4,"Liang Ji,",90
4,"Eric Lane,",90
4,"Eileen McDermott,",90
4,"Catherine Saez,",90
4,"Don Tapscott,",90
2,Other Unpublished or Forthcoming Sources:,90
4,"Eric Bland,",90
4,"Josef Drexl,",90
4,"Karin Hoisl,",90
4,"F. Scott Kieff,",90
4,"Wendy Neal, Ashok Gadgil and Josephin Mutugu,",90
4,"Chief Judge Randall R. Rader,",91
4,"Mark Sajewycz,",91
4,"Stanisław Sołtysiński,",91
